ordering,triple,err_mHa,source,status
physical,"(3, 5, 6)",377.0349873355894,new,OK
physical,"(3, 7, 8)",222.06970764752577,new,OK
physical,"(0, 4, 8)",214.50849171642173,reused_c2,
physical,"(2, 8, 9)",181.54105957480837,new,OK
physical,"(2, 5, 6)",313.9870513749452,new,OK
physical,"(0, 6, 7)",218.63787417716551,reused_c2,
physical,"(4, 5, 7)",320.7518663923237,new,OK
physical,"(5, 6, 7)",269.86705160719634,reused_c2,
physical,"(0, 8, 9)",218.00639165689884,new,OK
physical,"(4, 6, 8)",301.16552450996005,reused_c2,
physical,"(2, 4, 9)",269.01113135746255,new,OK
physical,"(1, 7, 9)",229.400497251123,reused_c2,
physical,"(2, 6, 8)",181.39410336065254,new,OK
physical,"(1, 3, 5)",264.65016424447094,reused_c2,
physical,"(2, 4, 8)",211.96232394178605,new,OK
physical,"(3, 6, 9)",269.1237568078595,reused_c2,
physical,"(3, 5, 8)",256.63551158590536,new,OK
physical,"(0, 3, 8)",264.42994988792015,new,OK
physical,"(0, 4, 6)",218.63787417716551,new,OK
physical,"(2, 4, 5)",297.572227797807,new,OK
physical,"(4, 6, 9)",219.74517877720336,reused_c2,
physical,"(1, 2, 9)",184.2193054631851,new,OK
physical,"(3, 6, 8)",252.07637671432437,new,OK
physical,"(5, 6, 9)",219.74517877720334,new,OK
physical,"(0, 2, 4)",218.63787417716551,reused_c2,
physical,"(2, 5, 9)",269.01113135746255,new,OK
physical,"(0, 1, 6)",181.4337155473007,new,OK
physical,"(2, 3, 8)",209.41772909270463,new,OK
physical,"(0, 3, 6)",218.63787417716551,new,OK
physical,"(0, 4, 7)",220.94528600747142,new,OK
rand030,"(1, 3, 4)",208.57439595299977,new,OK
rand030,"(1, 6, 9)",180.80944123270638,new,OK
rand030,"(0, 3, 9)",219.53133801661284,new,OK
rand030,"(5, 7, 9)",225.51907819164006,new,OK
rand030,"(3, 4, 8)",312.40547991695064,new,OK
rand030,"(2, 7, 8)",278.4899127463314,new,OK
rand030,"(2, 5, 8)",278.49100491546784,new,OK
rand030,"(2, 3, 7)",258.6286302631331,new,OK
rand030,"(1, 6, 8)",183.83115425594275,new,OK
rand030,"(5, 8, 9)",224.87713366234095,new,OK
rand030,"(3, 5, 6)",258.45881412318937,new,OK
rand030,"(3, 7, 8)",269.76518166253794,new,OK
rand030,"(0, 4, 8)",221.6264897501814,new,OK
rand030,"(2, 8, 9)",226.0536951449632,new,OK
rand030,"(2, 5, 6)",261.59036403842254,new,OK
rand030,"(0, 6, 7)",232.76088771434812,new,OK
rand030,"(4, 5, 7)",257.285637722342,new,OK
rand030,"(5, 6, 7)",257.285637722342,new,OK
rand030,"(0, 8, 9)",220.3108013426629,new,OK
rand030,"(4, 6, 8)",267.7643486568222,new,OK
rand030,"(2, 4, 9)",228.22474073875122,new,OK
rand030,"(1, 7, 9)",182.84943411716714,new,OK
rand030,"(2, 6, 8)",278.49100491546784,new,OK
rand030,"(1, 3, 5)",217.11478691755116,new,OK
rand030,"(2, 4, 8)",278.49100491546784,new,OK
rand030,"(3, 6, 9)",225.51907819164006,new,OK
rand030,"(3, 5, 8)",269.7914899179175,new,OK
rand030,"(0, 3, 8)",221.6264897501814,new,OK
rand030,"(0, 4, 6)",232.76088771434812,new,OK
rand030,"(2, 4, 5)",261.6916048314497,new,OK
rand030,"(4, 6, 9)",225.7856504448492,new,OK
rand030,"(1, 2, 9)",180.80944123270638,new,OK
rand030,"(3, 6, 8)",267.7643486568222,new,OK
rand030,"(5, 6, 9)",218.99413220689556,new,OK
rand030,"(0, 2, 4)",228.69222770517263,new,OK
rand030,"(2, 5, 9)",228.22474073875122,new,OK
rand030,"(0, 1, 6)",226.34083359055168,new,OK
rand030,"(2, 3, 8)",278.49100491546784,new,OK
rand030,"(0, 3, 6)",232.76088771434812,new,OK
rand030,"(0, 4, 7)",232.76088771434812,new,OK
rand037,"(1, 3, 4)",267.2247928867302,new,OK
rand037,"(1, 6, 9)",272.62519586994574,new,OK
rand037,"(0, 3, 9)",221.71351006283578,new,OK
rand037,"(5, 7, 9)",178.28194404063157,new,OK
rand037,"(3, 4, 8)",265.94322986008035,new,OK
rand037,"(2, 7, 8)",171.00294952262374,new,OK
rand037,"(2, 5, 8)",209.74605681332292,new,OK
rand037,"(2, 3, 7)",219.10862988749892,new,OK
rand037,"(1, 6, 8)",265.8621350457597,new,OK
rand037,"(5, 8, 9)",181.15212751154797,new,OK
rand037,"(3, 5, 6)",307.91785029341946,new,OK
rand037,"(3, 7, 8)",171.79986305156714,new,OK
rand037,"(0, 4, 8)",225.334468251452,new,OK
rand037,"(2, 8, 9)",182.25772972674915,new,OK
rand037,"(2, 5, 6)",307.3434266024435,new,OK
rand037,"(0, 6, 7)",219.88083575518314,new,OK
rand037,"(4, 5, 7)",249.32581139236376,new,OK
rand037,"(5, 6, 7)",305.02964802292354,new,OK
rand037,"(0, 8, 9)",221.36916446487209,new,OK
rand037,"(4, 6, 8)",313.7998708256218,new,OK
rand037,"(2, 4, 9)",175.59684296815092,new,OK
rand037,"(1, 7, 9)",227.95429410695522,new,OK
rand037,"(2, 6, 8)",249.21833505137857,new,OK
rand037,"(1, 3, 5)",267.2247928867302,new,OK
rand037,"(2, 4, 8)",209.74605681332292,new,OK
rand037,"(3, 6, 9)",170.467823216252,new,OK
rand037,"(3, 5, 8)",315.45946029372374,new,OK
rand037,"(0, 3, 8)",225.334468251452,new,OK
rand037,"(0, 4, 6)",204.3559131370918,new,OK
rand037,"(2, 4, 5)",259.542994987088,new,OK
rand037,"(4, 6, 9)",170.467823216252,new,OK
rand037,"(1, 2, 9)",227.5484027918564,new,OK
rand037,"(3, 6, 8)",315.52160831783647,new,OK
rand037,"(5, 6, 9)",173.07147313175176,new,OK
rand037,"(0, 2, 4)",204.3559131370918,new,OK
rand037,"(2, 5, 9)",175.59684296815092,new,OK
rand037,"(0, 1, 6)",219.57356842745492,new,OK
rand037,"(2, 3, 8)",209.74605681332292,new,OK
rand037,"(0, 3, 6)",213.36178899071,new,OK
rand037,"(0, 4, 7)",219.88083575518314,new,OK
rand007,"(1, 3, 4)",304.5305241513336,new,OK
rand007,"(1, 6, 9)",227.78549077537048,new,OK
rand007,"(0, 3, 9)",217.85019032460883,new,OK
rand007,"(5, 7, 9)",219.67120761325543,reused_c2,
rand007,"(3, 4, 8)",328.29968370257666,new,OK
rand007,"(2, 7, 8)",186.6340484580009,new,OK
rand007,"(2, 5, 8)",340.5595519118556,new,OK
rand007,"(2, 3, 7)",255.8458898518392,reused_c2,
rand007,"(1, 6, 8)",221.6377001311667,reused_c2,
rand007,"(5, 8, 9)",226.03679669467436,new,OK
rand007,"(3, 5, 6)",367.37565041709354,new,OK
rand007,"(3, 7, 8)",340.3832397559485,new,OK
rand007,"(0, 4, 8)",219.0999715854449,reused_c2,
rand007,"(2, 8, 9)",186.81690661103545,new,OK
rand007,"(2, 5, 6)",301.90961442474685,new,OK
rand007,"(0, 6, 7)",212.1238972681727,reused_c2,
rand007,"(4, 5, 7)",315.280145507411,new,OK
rand007,"(5, 6, 7)",255.9476032054704,reused_c2,
rand007,"(0, 8, 9)",268.3356225339608,new,OK
rand007,"(4, 6, 8)",340.71379782044266,reused_c2,
rand007,"(2, 4, 9)",187.1297892679591,new,OK
rand007,"(1, 7, 9)",189.72591267387796,reused_c2,
rand007,"(2, 6, 8)",340.52008347398476,new,OK
rand007,"(1, 3, 5)",304.07945309189887,reused_c2,
rand007,"(2, 4, 8)",340.71379782044266,new,OK
rand007,"(3, 6, 9)",269.1237568080016,reused_c2,
rand007,"(3, 5, 8)",326.73877269285344,new,OK
rand007,"(0, 3, 8)",225.7160233333497,new,OK
rand007,"(0, 4, 6)",212.1238972681727,new,OK
rand007,"(2, 4, 5)",367.37565041709354,new,OK
rand007,"(4, 6, 9)",269.1237568080016,reused_c2,
rand007,"(1, 2, 9)",227.78549077537048,new,OK
rand007,"(3, 6, 8)",277.74638565394747,new,OK
rand007,"(5, 6, 9)",232.94094787676656,new,OK
rand007,"(0, 2, 4)",212.1238972681727,reused_c2,
rand007,"(2, 5, 9)",184.32552739534813,new,OK
rand007,"(0, 1, 6)",261.58721156549535,new,OK
rand007,"(2, 3, 8)",227.2009619731694,new,OK
rand007,"(0, 3, 6)",212.1238972681727,new,OK
rand007,"(0, 4, 7)",212.1238972681727,new,OK
rand032,"(1, 3, 4)",264.5329133923342,new,OK
rand032,"(1, 6, 9)",226.18011800869553,new,OK
rand032,"(0, 3, 9)",218.63562871145172,new,OK
rand032,"(5, 7, 9)",218.63562871145172,new,OK
rand032,"(3, 4, 8)",311.74189499945817,new,OK
rand032,"(2, 7, 8)",262.6569115776576,new,OK
rand032,"(2, 5, 8)",304.89771552575195,new,OK
rand032,"(2, 3, 7)",263.05827750758937,new,OK
rand032,"(1, 6, 8)",261.3062004627764,new,OK
rand032,"(5, 8, 9)",229.12341203144672,new,OK
rand032,"(3, 5, 6)",300.6632547731529,new,OK
rand032,"(3, 7, 8)",311.74189499945817,new,OK
rand032,"(0, 4, 8)",265.19099625173135,new,OK
rand032,"(2, 8, 9)",229.00962193475394,new,OK
rand032,"(2, 5, 6)",300.7266036548444,new,OK
rand032,"(0, 6, 7)",217.31649050056666,new,OK
rand032,"(4, 5, 7)",310.8321411927468,new,OK
rand032,"(5, 6, 7)",305.1727474454244,new,OK
rand032,"(0, 8, 9)",218.55757921720186,new,OK
rand032,"(4, 6, 8)",304.3009280544542,new,OK
rand032,"(2, 4, 9)",219.21382964628043,new,OK
rand032,"(1, 7, 9)",178.82441322564003,new,OK
rand032,"(2, 6, 8)",305.40979335934804,new,OK
rand032,"(1, 3, 5)",260.46878816275586,new,OK
rand032,"(2, 4, 8)",304.6212601260727,new,OK
rand032,"(3, 6, 9)",218.63562871145172,new,OK
rand032,"(3, 5, 8)",304.3009280544542,new,OK
rand032,"(0, 3, 8)",265.19099625173135,new,OK
rand032,"(0, 4, 6)",178.0123701784797,new,OK
rand032,"(2, 4, 5)",300.7266036548444,new,OK
rand032,"(4, 6, 9)",218.63562871145172,new,OK
rand032,"(1, 2, 9)",233.4571846858502,new,OK
rand032,"(3, 6, 8)",304.3009280544542,new,OK
rand032,"(5, 6, 9)",218.63562871145172,new,OK
rand032,"(0, 2, 4)",172.9705599205671,new,OK
rand032,"(2, 5, 9)",218.7705960717592,new,OK
rand032,"(0, 1, 6)",219.33076233452286,new,OK
rand032,"(2, 3, 8)",304.3009280544542,new,OK
rand032,"(0, 3, 6)",178.0123701784797,new,OK
rand032,"(0, 4, 7)",223.96827111394035,new,OK
rand047,"(1, 3, 4)",316.7499232378681,new,OK
rand047,"(1, 6, 9)",225.24362190260305,new,OK
rand047,"(0, 3, 9)",264.9001080140181,new,OK
rand047,"(5, 7, 9)",218.0317291063405,new,OK
rand047,"(3, 4, 8)",315.1370014198935,new,OK
rand047,"(2, 7, 8)",189.21116529301062,new,OK
rand047,"(2, 5, 8)",268.2433524576142,new,OK
rand047,"(2, 3, 7)",333.0525199797414,new,OK
rand047,"(1, 6, 8)",227.18488103386392,new,OK
rand047,"(5, 8, 9)",228.17239860741,new,OK
rand047,"(3, 5, 6)",465.6435806971677,new,OK
rand047,"(3, 7, 8)",268.81307293925084,new,OK
rand047,"(0, 4, 8)",266.66757092765533,new,OK
rand047,"(2, 8, 9)",228.22474073875122,new,OK
rand047,"(2, 5, 6)",392.97396132038466,new,OK
rand047,"(0, 6, 7)",269.24270135719917,new,OK
rand047,"(4, 5, 7)",465.67214725988214,new,OK
rand047,"(5, 6, 7)",465.65544164115204,new,OK
rand047,"(0, 8, 9)",269.0894875143979,new,OK
rand047,"(4, 6, 8)",266.6401819129787,new,OK
rand047,"(2, 4, 9)",221.85393581469805,new,OK
rand047,"(1, 7, 9)",232.02237067410005,new,OK
rand047,"(2, 6, 8)",268.2433524576142,new,OK
rand047,"(1, 3, 5)",316.7499232378681,new,OK
rand047,"(2, 4, 8)",267.2117465993926,new,OK
rand047,"(3, 6, 9)",264.09922272549034,new,OK
rand047,"(3, 5, 8)",266.9042159977062,new,OK
rand047,"(0, 3, 8)",272.4282645154394,new,OK
rand047,"(0, 4, 6)",269.2801117498664,new,OK
rand047,"(2, 4, 5)",465.5951924442361,new,OK
rand047,"(4, 6, 9)",264.09922272549034,new,OK
rand047,"(1, 2, 9)",224.63348521391248,new,OK
rand047,"(3, 6, 8)",266.6401819129787,new,OK
rand047,"(5, 6, 9)",264.09922272549034,new,OK
rand047,"(0, 2, 4)",268.30451744626237,new,OK
rand047,"(2, 5, 9)",221.85393581469805,new,OK
rand047,"(0, 1, 6)",181.37501276985634,new,OK
rand047,"(2, 3, 8)",268.2433524576142,new,OK
rand047,"(0, 3, 6)",269.2801117498664,new,OK
rand047,"(0, 4, 7)",268.447068465302,new,OK
rand029,"(1, 3, 4)",323.403662223944,new,OK
rand029,"(1, 6, 9)",226.33103451529735,new,OK
rand029,"(0, 3, 9)",263.30417046885213,new,OK
rand029,"(5, 7, 9)",218.67227026958602,new,OK
rand029,"(3, 4, 8)",364.3595753782609,new,OK
rand029,"(2, 7, 8)",383.7507984983137,new,OK
rand029,"(2, 5, 8)",440.74997993820995,new,OK
rand029,"(2, 3, 7)",248.302091663013,new,OK
rand029,"(1, 6, 8)",262.29972978369796,new,OK
rand029,"(5, 8, 9)",276.0695933499982,new,OK
rand029,"(3, 5, 6)",369.26528505210854,new,OK
rand029,"(3, 7, 8)",369.6159812564481,new,OK
rand029,"(0, 4, 8)",268.79670854406436,new,OK
rand029,"(2, 8, 9)",275.5551576974922,new,OK
rand029,"(2, 5, 6)",378.5110025953582,new,OK
rand029,"(0, 6, 7)",268.9627100736454,new,OK
rand029,"(4, 5, 7)",443.7334836942002,new,OK
rand029,"(5, 6, 7)",442.7236874349676,new,OK
rand029,"(0, 8, 9)",264.38141216606414,new,OK
rand029,"(4, 6, 8)",364.5379667452504,new,OK
rand029,"(2, 4, 9)",268.0640959292635,new,OK
rand029,"(1, 7, 9)",186.73557001858575,new,OK
rand029,"(2, 6, 8)",442.7814854545051,new,OK
rand029,"(1, 3, 5)",323.403662223944,new,OK
rand029,"(2, 4, 8)",364.8581881141109,new,OK
rand029,"(3, 6, 9)",267.95713657267936,new,OK
rand029,"(3, 5, 8)",364.28643440263465,new,OK
rand029,"(0, 3, 8)",268.79670854406436,new,OK
rand029,"(0, 4, 6)",268.9637248518295,new,OK
rand029,"(2, 4, 5)",373.86761199431453,new,OK
rand029,"(4, 6, 9)",268.0640959292635,new,OK
rand029,"(1, 2, 9)",227.8327913484208,new,OK
rand029,"(3, 6, 8)",364.28643440263465,new,OK
rand029,"(5, 6, 9)",268.0640959292635,new,OK
rand029,"(0, 2, 4)",225.41992693119005,new,OK
rand029,"(2, 5, 9)",268.0640959292635,new,OK
rand029,"(0, 1, 6)",225.27481077330867,new,OK
rand029,"(2, 3, 8)",364.28682046130234,new,OK
rand029,"(0, 3, 6)",218.46804557562473,new,OK
rand029,"(0, 4, 7)",268.7843819142266,new,OK
