chain,triple,err_lucj,S0
newchain02,"(3, 6, 9)",541.2609457795759,5.194608349903776
newchain02,"(3, 7, 8)",515.607910505648,4.687150958038624
newchain02,"(3, 7, 9)",516.3903179574785,5.56918897848759
newchain02,"(3, 8, 9)",479.99857698912416,8.232076044802287
newchain02,"(4, 5, 6)",573.0242859590762,0.7204130983087718
newchain02,"(4, 5, 7)",543.6418808814967,1.0949937268925862
newchain02,"(4, 5, 8)",540.7405008066357,3.757880793207284
newchain02,"(4, 5, 9)",550.6206200292114,4.639918813656251
newchain02,"(4, 6, 7)",543.3607828254007,1.372338495016349
newchain02,"(4, 6, 8)",543.1522508511755,4.035225561331047
newchain02,"(4, 6, 9)",547.4752556192257,4.917263581780013
newchain02,"(4, 7, 8)",520.5334218454203,4.409806189914861
newchain02,"(4, 7, 9)",522.3704545088843,5.291844210363828
newchain02,"(4, 8, 9)",486.70782656101073,7.954731276678525
newchain02,"(5, 6, 7)",548.0173027875512,1.3723384950163493
newchain02,"(5, 6, 8)",547.85101844171,4.035225561331047
newchain02,"(5, 6, 9)",552.1950733980034,4.917263581780013
newchain02,"(5, 7, 8)",524.158793647282,4.409806189914861
newchain02,"(5, 7, 9)",526.1160356242334,5.291844210363828
newchain02,"(5, 8, 9)",490.67841680755464,7.954731276678526
newchain02,"(6, 7, 8)",528.7645004372017,4.687150958038624
newchain02,"(6, 7, 9)",525.1882835665178,5.56918897848759
newchain02,"(6, 8, 9)",492.6069677670837,8.232076044802287
newchain02,"(7, 8, 9)",472.5856019412005,8.606656673386102
newchain03,"(0, 1, 2)",512.378421638231,8.606656673386103
newchain03,"(0, 1, 3)",518.1326985165172,8.23207604480229
newchain03,"(0, 1, 4)",514.290951676152,7.954731276678526
newchain03,"(0, 1, 5)",517.1858038826329,7.954731276678526
newchain03,"(0, 1, 6)",507.50792356510124,8.23207604480229
newchain03,"(0, 1, 7)",507.4117146364534,8.606656673386103
newchain03,"(0, 1, 8)",535.584331107807,11.2695437397008
newchain03,"(0, 1, 9)",537.3945702514824,12.151581760149767
newchain03,"(0, 2, 3)",514.3540155854361,5.56918897848759
newchain03,"(0, 2, 4)",513.4064603731323,5.291844210363828
newchain03,"(0, 2, 5)",516.2369620044008,5.291844210363828
newchain03,"(0, 2, 6)",506.500367536967,5.569188978487591
newchain03,"(0, 2, 7)",511.15108173907583,5.943769607071405
newchain03,"(0, 2, 8)",512.2331857345674,8.606656673386103
newchain03,"(0, 2, 9)",559.049371211823,9.488694693835068
newchain03,"(0, 3, 4)",526.1602334473965,4.917263581780013
newchain03,"(0, 3, 5)",527.91193667076,4.917263581780013
newchain03,"(0, 3, 6)",517.4034485161511,5.194608349903776
newchain03,"(0, 3, 7)",520.230008204111,5.56918897848759
newchain03,"(0, 3, 8)",527.133198347336,8.232076044802287
newchain03,"(0, 3, 9)",570.3093695801531,9.114114065251254
newchain03,"(0, 4, 5)",528.5704157806767,4.639918813656251
newchain03,"(0, 4, 6)",516.3938869767355,4.917263581780014
newchain03,"(0, 4, 7)",518.9607950583728,5.291844210363828
newchain03,"(0, 4, 8)",525.9776320036868,7.954731276678526
newchain03,"(0, 4, 9)",570.1072943771806,8.836769297127493
newchain03,"(0, 5, 6)",518.3527905549754,4.917263581780014
newchain03,"(0, 5, 7)",519.7250534177505,5.291844210363828
newchain03,"(0, 5, 8)",526.5473418436164,7.954731276678526
newchain03,"(0, 5, 9)",570.9757953020977,8.836769297127493
newchain03,"(0, 6, 7)",509.6536652121246,5.569188978487591
newchain03,"(0, 6, 8)",519.4510914514163,8.23207604480229
newchain03,"(0, 6, 9)",557.9545273290476,9.114114065251254
newchain03,"(0, 7, 8)",527.130351119836,8.606656673386103
newchain03,"(0, 7, 9)",563.0873699076267,9.488694693835068
