system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,S0,S1,S2,S3,S4
H10,identity,"(0, 2, 3)",identity_0-2-3,491.4806864689707,1.0000000000004057,252,252,3232,OK,233.2070232490526,0.6329303916639427,0.2309942512773198,0.3930745534684346,0.0689139490862049,1.84987718892325,0.944611007936508,0.866739,0.9840769230769232,5.56918897848759,32.71133887812261,5.169732010793134,285.42952934929866,169.10885571413243
H10,identity,"(0, 2, 6)",identity_0-2-6,492.0593372179187,1.0000000000004017,252,252,3182,OK,294.25998017798884,0.5757256819880452,0.2309942512773198,0.3930745534684346,0.0689139490862049,1.870800899690233,0.9436437896825396,0.8653655,0.9633725940821602,5.569188978487591,32.71133887812261,5.341101593391358,285.34150165301867,174.71458420390536
H10,identity,"(0, 2, 7)",identity_0-2-7,484.534736524088,1.0000000000003952,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2319436803322576,0.3930745534684346,0.0708128071960806,1.908814772455374,0.9409388611111112,0.856511,0.9806102081551183,5.943769607071405,34.39719120740505,5.743953434637765,300.76430204359957,197.57586457766618
H10,identity,"(0, 3, 4)",identity_0-3-4,502.3437463768481,1.0000000000003992,252,252,3232,OK,233.2070232490526,0.6329303916639429,0.2296476784811865,0.3930745534684346,0.0662208034939385,1.7903221239470046,0.9478941865079366,0.8757125,0.9837326885029676,4.917263581780013,29.784871299114517,4.580261609314773,258.7478605719707,136.42250254971566
H10,identity,"(0, 2, 8)",identity_0-2-8,472.76989256416704,1.0000000000004037,252,252,3182,OK,303.8089550003589,0.552231926660376,0.2455465690749904,0.3930745534684346,0.0980185846815462,2.0705253777776003,0.9327570873015874,0.836432,0.9681014347681014,8.606656673386103,53.53198902735181,8.427097710013102,467.8501280014692,451.119302144843
H10,identity,"(0, 2, 9)",identity_0-2-9,487.2541096978864,1.0000000000004017,252,252,3182,OK,247.27858328064744,0.6375995619759883,0.2627417683711285,0.3930745534684346,0.1324089832738224,2.7066803550849774,0.902242738095238,0.751797,0.9255641910145048,9.488694693835068,59.422901756181986,9.323650655018852,517.46038378852,554.0383768821471
H10,identity,"(0, 3, 5)",identity_0-3-5,502.1327165142839,1.000000000000398,252,252,3232,OK,233.2070232490526,0.6329303916639428,0.2296476784811865,0.3930745534684346,0.0662208034939385,1.7917989883745682,0.9478071984126984,0.874836,0.9740557039297978,4.917263581780013,29.784871299114517,4.649720541019613,258.7440469833228,138.49132789111832
H10,identity,"(0, 4, 6)",identity_0-4-6,501.63496461475887,1.0000000000003983,251,252,3182,OK,295.8198576831057,0.5749080116609866,0.2296476784811865,0.3930745534684346,0.0662208034939385,1.8093927060657728,0.94716409561753,0.874842,0.8802039082412915,4.917263581780014,29.784871299114517,4.689176196683781,258.6598328756907,139.66650951709772
H10,identity,"(0, 4, 7)",identity_0-4-7,491.8506385829078,1.0000000000003977,252,251,3232,OK,295.8198576831057,0.5749080116609866,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.830936329929692,0.9452073095238096,0.868927,0.8659990126243036,5.291844210363828,31.470723628396957,5.109732073575934,274.0826332662716,160.80696590266393
H10,identity,"(0, 3, 6)",identity_0-3-6,497.9087696589479,1.000000000000402,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2300448222223819,0.3930745534684346,0.0670150909763292,1.8150117600702451,0.9469552222222222,0.8729485,0.9573592118806058,5.194608349903776,31.02548654884017,4.976834808508902,269.7874020724399,154.40872140719247
H10,identity,"(0, 4, 5)",identity_0-4-5,507.37888900637176,1.0000000000004057,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2292505347399912,0.3930745534684346,0.0654265160115478,1.7935964410950318,0.9479152182539684,0.875861,0.9586497255845424,4.639918813656251,28.544256049388864,4.347667800774481,247.61647778657363,124.10094292299016
H10,identity,"(0, 3, 7)",identity_0-3-7,488.4993240064803,1.0000000000004043,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2309942512773198,0.3930745534684346,0.0689139490862049,1.834996791658445,0.9449503452380952,0.8670905,0.9597835624451594,5.56918897848759,32.71133887812261,5.387076841699696,285.2102024630208,176.21849613132522
H10,identity,"(0, 3, 8)",identity_0-3-8,482.0882508525921,1.0000000000004108,252,252,3232,OK,306.0917193849022,0.5500036044192987,0.2445971400200526,0.3930745534684346,0.0961197265716705,2.014645588391304,0.9364335793650792,0.845926,0.9534591194968554,8.232076044802287,51.84613669806937,8.075516420994337,452.29602842089037,418.68432827037634
H10,identity,"(0, 3, 9)",identity_0-3-9,493.0284419537516,1.000000000000404,252,252,3232,OK,247.27858328064744,0.6375995619759882,0.2617923393161906,0.3930745534684346,0.1305101251639467,2.6571064089275103,0.9077972063492064,0.762318,0.909255898366606,9.114114065251254,57.737049426899546,8.975863617057275,501.90628420794116,518.2398813071452
H10,identity,"(0, 4, 8)",identity_0-4-8,486.45040599536935,1.000000000000404,252,252,3182,OK,300.31919403956664,0.5554887797095325,0.2441999962788572,0.3930745534684346,0.0953254390892798,2.0125674116597363,0.9366000198412698,0.844925,0.983419689119171,7.954731276678526,50.60552144834372,7.805561844814962,441.1684592241412,395.00452735415695
H10,identity,"(0, 4, 9)",identity_0-4-9,497.717474328427,1.0000000000004057,252,252,3182,OK,247.27858328064744,0.6375995619759884,0.2613951955749953,0.3930745534684346,0.129715837681556,2.658516564741835,0.907071873015873,0.7617675,0.9205038547415428,8.836769297127493,56.496434177173896,8.711204344797205,490.778715011192,492.1519828697465
H10,identity,"(0, 5, 6)",identity_0-5-6,502.03949755075337,1.0000000000004028,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2296476784811865,0.3930745534684346,0.0662208034939385,1.8123104467770088,0.94716125,0.873859,0.9686988847583644,4.917263581780014,29.784871299114517,4.657078032618022,258.6560192870428,138.71046983146124
H10,identity,"(0, 5, 7)",identity_0-5-7,491.24879544774024,1.000000000000399,252,252,3232,OK,295.8198576831057,0.5749080116609866,0.2305971075361244,0.3930745534684346,0.0681196616038142,1.8305027220810952,0.945239011904762,0.868644,0.8560665292487029,5.291844210363828,31.470723628396957,5.092028037930188,274.0788196776237,160.24980708974937
H10,identity,"(0, 5, 8)",identity_0-5-8,486.4407790371281,1.0000000000004006,252,252,3232,OK,374.3630554883097,0.4943643243316059,0.2441999962788572,0.3930745534684346,0.0953254390892798,2.0126238869442523,0.9365701746031746,0.845508,0.9766777408637872,7.954731276678526,50.60552144834372,7.7981716528705745,441.1646456354933,394.6305428372079
H10,identity,"(0, 5, 9)",identity_0-5-9,497.71747432850066,1.0000000000004134,252,252,3232,OK,247.27858328064744,0.6375995619759884,0.2613951955749953,0.3930745534684346,0.129715837681556,2.6594218729678816,0.9068897857142856,0.761775,0.9140150085943068,8.836769297127493,56.496434177173896,8.711204344797205,490.7749014225441,492.1519828697465
H10,identity,"(0, 6, 7)",identity_0-6-7,487.79015163836,1.000000000000402,252,252,3232,OK,295.8198576831057,0.5749080116609865,0.2309942512773198,0.3930745534684346,0.0689139490862049,1.8504842598042832,0.944452996031746,0.867483,0.8613477924089853,5.569188978487591,32.71133887812261,5.331979338068889,285.1221747667408,174.4161830187193
H10,identity,"(0, 6, 8)",identity_0-6-8,486.55486483324495,1.0000000000004063,252,252,3182,OK,372.931064268756,0.4962774758602947,0.2445971400200526,0.3930745534684346,0.0961197265716705,2.043662748797429,0.9349005277777778,0.8430355,0.8703874822891641,8.23207604480229,51.84613669806937,8.052517081429288,452.20800072461043,417.4919013673215
H10,identity,"(0, 6, 9)",identity_0-6-9,491.9770508179244,1.0000000000004026,252,252,3182,OK,247.27858328064744,0.6375995619759882,0.2617923393161907,0.3930745534684346,0.1305101251639467,2.6715023060101277,0.9063955436507936,0.761006,0.9161975972443922,9.114114065251254,57.737049426899546,8.975863617057275,501.81825651166116,518.2398813071452
H10,identity,"(0, 7, 8)",identity_0-7-8,483.11733698523176,1.0000000000003977,252,252,3232,OK,300.31919403956664,0.5554887797095325,0.2455465690749904,0.3930745534684346,0.0980185846815462,2.0901207768577494,0.9316167777777776,0.835959,0.9833289577316882,8.606656673386103,53.53198902735181,8.385909990970854,467.6308011151913,448.9144416210117
H10,identity,"(0, 7, 9)",identity_0-7-9,486.786296091978,1.0000000000003997,252,252,3232,OK,247.27858328064744,0.6375995619759884,0.2627417683711285,0.3930745534684346,0.1324089832738224,2.6965265473355178,0.9032334761904762,0.752811,0.9231187745877626,9.488694693835068,59.422901756181986,9.323650655018852,517.241056902242,554.0383768821471
H10,identity,"(1, 2, 4)",identity_1-2-4,559.4266088877324,1.000000000000407,252,252,3232,OK,294.5243494375287,0.5732385911630595,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.5802291616968862,0.9560906428571428,0.906391,0.9198664440734556,4.409806189914862,25.57981089956679,4.010349222220406,227.31707324557817,102.58397474562275
H10,identity,"(0, 8, 9)",identity_0-8-9,450.533798639567,1.0000000000003937,252,252,3182,OK,257.11435362020563,0.6288742346048453,0.2763446571138613,0.3930745534684346,0.159614760759288,2.7342630259603684,0.8998328492063492,0.7441695,0.9973942429054192,12.151581760149767,78.55769957612875,11.942631302608653,684.3268828601117,938.1856420188018
H10,identity,"(1, 2, 5)",identity_1-2-5,560.0498839605326,1.0000000000004057,252,252,3232,OK,365.3931112773181,0.5176330377054383,0.2134019082399863,0.3930745534684346,0.0337292630115381,1.5859943033302095,0.9557817857142856,0.905365,0.9480422622747048,4.409806189914862,25.57981089956679,4.072804217449622,227.31325965693023,104.18156171331944
H10,identity,"(1, 2, 3)",identity_1-2-3,560.3751655731584,1.000000000000402,252,252,3232,OK,365.3931112773181,0.5176330377054384,0.2137990519811817,0.3930745534684346,0.0345235504939288,1.6000650922280786,0.9549564087301587,0.9037015,0.9284328273028192,4.687150958038624,26.820426149292445,4.200531022993582,238.4446424423273,112.66003209001121
H10,identity,"(1, 2, 6)",identity_1-2-6,558.061885492827,1.0000000000004046,252,252,3232,OK,365.3931112773181,0.5176330377054383,0.2137990519811817,0.3930745534684346,0.0345235504939288,1.608695897805242,0.9545472976190476,0.9010945,0.9781040059716348,4.687150958038625,26.820426149292445,4.394899945156856,238.35661474604734,117.87308941260886
H10,identity,"(1, 2, 7)",identity_1-2-7,546.2033076698782,1.0000000000004097,252,252,3232,OK,365.3931112773181,0.5176330377054384,0.2147484810361196,0.3930745534684346,0.0364224086038045,1.6468385463426898,0.952572630952381,0.894533,0.9430961573818716,5.0617315866224395,28.506278478574885,4.801546037460448,253.77941513662822,136.8742084715453
H10,identity,"(1, 2, 8)",identity_1-2-8,577.2854788098903,1.000000000000402,252,252,3232,OK,240.1625352889134,0.6137443107057516,0.2283513697788523,0.3930745534684346,0.0636281860892701,2.037003146564639,0.932500011904762,0.833447,0.8734638424010375,7.724618652937137,47.641076298521654,7.487409012518435,420.86524109449783,356.7082240436294
H10,identity,"(1, 2, 9)",identity_1-2-9,486.32667028443154,1.000000000000406,252,252,3232,OK,233.34141210869143,0.6168087900914776,0.2455465690749904,0.3930745534684346,0.0980185846815463,1.955129992867968,0.9375150753968254,0.847988,0.9989535057557184,8.606656673386103,53.53198902735182,8.385909990970854,470.47549688154857,448.91444162101175
H10,identity,"(1, 3, 4)",identity_1-3-4,564.46222868278,1.0000000000004057,252,252,3232,OK,365.3773667024529,0.5188705860538558,0.2124524791850485,0.3930745534684346,0.0318304049016624,1.4905450036767312,0.9601639047619048,0.9185255,0.9871180842279108,4.035225561331047,23.89395857028435,3.635768593636591,211.76297366499932,86.87290414749371
H10,identity,"(1, 3, 5)",identity_1-3-5,564.0533523285916,1.0000000000004046,252,252,3232,OK,365.4335079906108,0.5175877685217029,0.2124524791850485,0.3930745534684346,0.0318304049016624,1.492135874780652,0.96014826984127,0.9185265,0.9061371841155236,4.035225561331047,23.89395857028435,3.7126177172858195,211.75916007635138,88.70913392413102
H10,identity,"(1, 3, 6)",identity_1-3-6,561.6485988556237,1.0000000000003952,252,252,3232,OK,365.4504865056092,0.5174272757180145,0.2128496229262439,0.3930745534684346,0.0326246923840531,1.5179630133391768,0.9587366944444444,0.914148,0.9487672110150496,4.31257032945481,25.134573820010004,4.045027288694411,222.8025151654685,101.67003699164458
H10,identity,"(1, 3, 7)",identity_1-3-7,547.7107979882971,1.0000000000004057,252,252,3232,OK,365.4335079906108,0.5175877685217027,0.2137990519811817,0.3930745534684346,0.0345235504939288,1.537884185045141,0.9573740833333332,0.9098805,0.9589508196721312,4.687150958038625,26.820426149292445,4.459063572942393,238.22531555604937,119.59398525310155
