system,chain,triple,tag,err_lucj,full_capture,n_unique_alpha,n_unique_beta,depth,status,err_sqd,captured,retained_J,retained_J_samespin,retained_J_oppspin,entropy_alpha,gini_alpha,top15_mass_alpha,w16_w15_alpha,role,triple_parsed,S0,is_floor,is_default
H10,newchain02,"(0, 1, 4)",newchain02_0-1-4,623.0759245410402,1.000000000000406,252,252,3282,OK,266.52467244554765,0.5880891405568266,0.22248600929104237,0.34964657949280487,0.09532543908927983,1.7624744380697224,0.9478362301587302,0.8763175,0.9959768265207596,,"(0, 1, 4)",7.954731276678526,False,False
H10,newchain02,"(0, 1, 5)",newchain02_0-1-5,629.7287023411027,1.000000000000406,252,252,3282,OK,266.3610349082797,0.5821042565729267,0.22248600929104237,0.34964657949280487,0.09532543908927986,1.7798419548522513,0.9474084087301587,0.8760175,0.9811516652024599,,"(0, 1, 5)",7.954731276678526,False,False
H10,newchain02,"(2, 3, 5)",newchain02_2-3-5,567.474278190752,1.0000000000004,251,248,3332,OK,375.6047217735237,0.45766408215116805,0.17713560345450086,0.34964657949280487,0.0046246274161968375,0.9157490408355667,0.9766202470119522,0.952088,0.9803410705826623,,"(2, 3, 5)",1.3723384950163493,False,False
H10,newchain02,"(3, 5, 6)",newchain02_3-5-6,566.3152480086567,1.0000000000004088,250,245,3332,OK,371.04749121888415,0.47258836449376546,0.17618617439956302,0.34964657949280487,0.0027257693063211593,0.8389954322278746,0.978658228,0.955453,0.9122046390635161,,"(3, 5, 6)",0.9977578664325344,False,False
H10,newchain02,"(2, 4, 8)",newchain02_2-4-8,537.6428234818986,1.000000000000408,252,251,3282,OK,267.95520146849674,0.5773714523703799,0.1916879212521715,0.34964657949280487,0.03372926301153811,1.030961451603532,0.971224369047619,0.93063,0.9239475500345066,,"(2, 4, 8)",4.409806189914862,False,False
H10,newchain02,"(1, 2, 9)",newchain02_1-2-9,606.6784996161721,1.0000000000004037,252,252,3282,OK,220.58152725607982,0.6185183807387892,0.2238325820871756,0.34964657949280487,0.09801858468154631,1.7497717649300863,0.9490314841269841,0.8842405,0.9010909674314135,,"(1, 2, 9)",8.606656673386103,False,False
H10,newchain02,"(5, 6, 9)",newchain02_5-6-9,552.1950733980034,1.0000000000004092,252,252,3282,OK,279.9459604451924,0.5766041053381085,0.20793369149337174,0.34964657949280487,0.06622080349393862,1.333513360788881,0.9619643253968254,0.907501,0.9490618972470629,,"(5, 6, 9)",4.917263581780013,False,False
H10,newchain02,"(1, 2, 7)",newchain02_1-2-7,627.4267445671082,1.0000000000003992,252,252,3282,OK,219.03899004587936,0.6131660393344314,0.1930344940483047,0.34964657949280487,0.03642240860380452,1.4723062799592062,0.959577865079365,0.904814,0.9828554537392846,,"(1, 2, 7)",5.0617315866224395,False,False
H10,newchain02,"(4, 5, 7)",newchain02_4-5-7,543.6418808814967,1.0000000000003992,247,249,3282,OK,369.99990347351996,0.4829410842433418,0.17673845971330548,0.34964657949280487,0.0038303399338061165,0.7826207964960237,0.9792364858299595,0.9568825,0.9589875790953831,,"(4, 5, 7)",1.0949937268925862,False,False
H10,newchain02,"(1, 5, 8)",newchain02_1-5-8,622.2136027651786,1.0000000000004061,252,252,3282,OK,224.55519873383435,0.6183273110582781,0.2052908099949043,0.34964657949280487,0.06093504049700372,1.568597721498831,0.9536463968253969,0.8779705,0.9914661443760493,,"(1, 5, 8)",7.0726932562295595,False,False
H10,newchain02,"(4, 5, 6)",newchain02_4-5-6,573.0242859590762,1.0000000000004092,245,248,3282,OK,370.9492068298879,0.46367118228020854,0.17578903065836765,0.34964657949280487,0.0019314818239304394,0.839288873790303,0.9785928612244897,0.9571215,0.953858717844018,,"(4, 5, 6)",0.7204130983087718,False,False
H10,newchain02,"(0, 2, 5)",newchain02_0-2-5,590.8322432763154,1.0000000000004126,252,252,3282,OK,217.05249847760211,0.661384164224307,0.20888312054830957,0.34964657949280487,0.06811966160381425,1.5605071968114348,0.9554124047619048,0.8943285,0.9931392235609103,,"(0, 2, 5)",5.291844210363828,False,False
H10,newchain02,"(2, 5, 6)",newchain02_2-5-6,579.9922035348733,1.0000000000003997,250,250,3282,OK,375.6702119756339,0.4485854504621289,0.17713560345450086,0.34964657949280487,0.0046246274161968375,0.9662897614228791,0.975497848,0.948984,0.9589899713467048,,"(2, 5, 6)",1.3723384950163495,False,False
H10,newchain02,"(0, 5, 8)",newchain02_0-5-8,525.542435944808,1.0000000000004072,252,252,3282,OK,274.9855412688875,0.5931782803102723,0.22248600929104237,0.34964657949280487,0.09532543908927983,1.4403197837913588,0.9596275753968254,0.9026185,0.9972991222147198,,"(0, 5, 8)",7.954731276678526,False,False
