group,system,chain,score,k,top1,recall,regret,regret_p90,regret_worst,beats_default_top5
dev,H10,rand007,S0,10,False,False,0.168783788842993,0.168783788842993,0.168783788842993,
dev,H10,rand007,S_int,1,False,False,0.5130191422251992,0.5130191422251992,0.5130191422251992,
dev,H10,rand007,S_int,3,False,False,0.5034562108725873,0.5034562108725873,0.5034562108725873,
dev,H10,rand007,S_int,5,False,False,0.168783788842993,0.168783788842993,0.168783788842993,True
dev,H10,rand007,S_int,10,False,False,0.06925118969874065,0.06925118969874065,0.06925118969874065,
dev,H10,rand007,S0_plus_Sint,1,False,False,0.5130191422251992,0.5130191422251992,0.5130191422251992,
dev,H10,rand007,S0_plus_Sint,3,False,False,0.5034562108725873,0.5034562108725873,0.5034562108725873,
dev,H10,rand007,S0_plus_Sint,5,False,False,0.168783788842993,0.168783788842993,0.168783788842993,True
dev,H10,rand007,S0_plus_Sint,10,False,False,0.06925118969874065,0.06925118969874065,0.06925118969874065,
dev,H10,rand007,__random__,1,0.0275,0.0275,0.9568066435571423,2.3328623025776296,2.348389803718596,
dev,H10,rand007,__random__,3,0.0245,0.077,0.43531464328288866,0.957638032949949,1.9632388222227761,
dev,H10,rand007,__random__,5,0.0325,0.142,0.43531464328288866,0.518328319830036,1.5295645638956674,
dev,H10,rand007,__random__,10,0.02,0.2455,0.168783788842993,0.43531464328288866,0.9568066435571423,
dev,N2,identity,S0,1,True,True,0.0,0.0,0.0,
dev,N2,identity,S0,3,True,True,0.0,0.0,0.0,
dev,N2,identity,S0,5,True,True,0.0,0.0,0.0,True
dev,N2,identity,S0,10,True,True,0.0,0.0,0.0,
dev,N2,identity,S_int,1,False,False,0.3112915222081558,0.3112915222081558,0.3112915222081558,
dev,N2,identity,S_int,3,False,True,0.0,0.0,0.0,
dev,N2,identity,S_int,5,False,True,0.0,0.0,0.0,True
dev,N2,identity,S_int,10,False,True,0.0,0.0,0.0,
dev,N2,identity,S0_plus_Sint,1,True,True,0.0,0.0,0.0,
dev,N2,identity,S0_plus_Sint,3,True,True,0.0,0.0,0.0,
dev,N2,identity,S0_plus_Sint,5,True,True,0.0,0.0,0.0,True
dev,N2,identity,S0_plus_Sint,10,True,True,0.0,0.0,0.0,
dev,N2,identity,__random__,1,0.006,0.006,0.3587622999418904,3.373537106779187,3.6737464993131526,
dev,N2,identity,__random__,3,0.008,0.024,0.28466340228378945,0.8907032082387086,3.373537106775114,
dev,N2,identity,__random__,5,0.009,0.041,0.19656699030483418,0.3112915222081558,1.1178607912791039,
dev,N2,identity,__random__,10,0.005,0.072,0.11737389333313694,0.28466340228378945,0.3587622999418904,
dev,N2,reverse,S0,1,True,True,0.0,0.0,0.0,
dev,N2,reverse,S0,3,True,True,0.0,0.0,0.0,
dev,N2,reverse,S0,5,True,True,0.0,0.0,0.0,True
dev,N2,reverse,S0,10,True,True,0.0,0.0,0.0,
dev,N2,reverse,S_int,1,True,True,0.0,0.0,0.0,
dev,N2,reverse,S_int,3,True,True,0.0,0.0,0.0,
dev,N2,reverse,S_int,5,True,True,0.0,0.0,0.0,True
dev,N2,reverse,S_int,10,True,True,0.0,0.0,0.0,
dev,N2,reverse,S0_plus_Sint,1,True,True,0.0,0.0,0.0,
dev,N2,reverse,S0_plus_Sint,3,True,True,0.0,0.0,0.0,
dev,N2,reverse,S0_plus_Sint,5,True,True,0.0,0.0,0.0,True
dev,N2,reverse,S0_plus_Sint,10,True,True,0.0,0.0,0.0,
dev,N2,reverse,__random__,1,0.0225,0.0225,0.2647220502974882,2.868853135881407,3.124150952370259,
dev,N2,reverse,__random__,3,0.029,0.0805,0.2647220502974882,0.2647220502974882,2.868853135881407,
dev,N2,reverse,__random__,5,0.0245,0.1135,0.1738325813957523,0.2647220502974882,2.7766926996863583,
dev,N2,reverse,__random__,10,0.022,0.25,0.1593680231797201,0.2647220502974882,0.3050911600045219,
dev,N2,r039,S0,1,False,False,0.0,0.0,0.0,
dev,N2,r039,S0,3,False,False,0.0,0.0,0.0,
dev,N2,r039,S0,5,False,False,0.0,0.0,0.0,True
dev,N2,r039,S0,10,False,True,0.0,0.0,0.0,
dev,N2,r039,S_int,1,False,False,0.0,0.0,0.0,
dev,N2,r039,S_int,3,False,False,0.0,0.0,0.0,
dev,N2,r039,S_int,5,False,False,0.0,0.0,0.0,True
dev,N2,r039,S_int,10,False,False,0.0,0.0,0.0,
dev,N2,r039,S0_plus_Sint,1,False,False,0.0,0.0,0.0,
dev,N2,r039,S0_plus_Sint,3,False,False,0.0,0.0,0.0,
dev,N2,r039,S0_plus_Sint,5,False,False,0.0,0.0,0.0,True
dev,N2,r039,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
dev,N2,r039,__random__,1,0.025,0.025,1.0660461106558345,1.5059006303474394,2.77832110875756,
dev,N2,r039,__random__,3,0.0225,0.0675,0.559398060815513,1.1632661754372933,1.5059006303474394,
dev,N2,r039,__random__,5,0.026,0.121,0.0,0.9930703625236531,1.3564803351061108,
dev,N2,r039,__random__,10,0.0275,0.247,0.0,0.5447767794197689,1.0660461106558345,
heldout,H10,newchain00,S0,1,False,False,1.3592555080693052,1.3592555080693052,1.3592555080693052,
heldout,H10,newchain00,S0,3,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,S0,5,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,True
heldout,H10,newchain00,S0,10,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,S_int,1,False,False,0.09247767423473452,0.09247767423473452,0.09247767423473452,
heldout,H10,newchain00,S_int,3,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,S_int,5,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,True
heldout,H10,newchain00,S_int,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain00,S0_plus_Sint,1,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,S0_plus_Sint,3,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,S0_plus_Sint,5,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,True
heldout,H10,newchain00,S0_plus_Sint,10,False,False,0.05517146319115548,0.05517146319115548,0.05517146319115548,
heldout,H10,newchain00,__random__,1,0.019,0.019,0.7263581096973348,3.0095345206202606,3.036839725959731,
heldout,H10,newchain00,__random__,3,0.0265,0.0745,0.35527894304253593,0.7554312898803004,1.994370397470745,
heldout,H10,newchain00,__random__,5,0.0255,0.1245,0.17053510654353182,0.663515791802691,1.1829083127648625,
heldout,H10,newchain00,__random__,10,0.0255,0.2365,0.09247767423473452,0.3441996120639869,0.7263581096973348,
heldout,H10,newchain01,S0,1,False,False,0.8674022308375103,0.8674022308375103,0.8674022308375103,
heldout,H10,newchain01,S0,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,S0,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain01,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,S_int,1,False,False,0.8674022308375103,0.8674022308375103,0.8674022308375103,
heldout,H10,newchain01,S_int,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,S_int,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain01,S_int,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,S0_plus_Sint,1,False,False,0.8674022308375103,0.8674022308375103,0.8674022308375103,
heldout,H10,newchain01,S0_plus_Sint,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain01,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain01,__random__,1,0.0225,0.0225,0.8674022308375103,2.0555978051410926,2.7234215375478654,
heldout,H10,newchain01,__random__,3,0.0255,0.07,0.3918083325433574,0.9426890924997257,2.722665488066896,
heldout,H10,newchain01,__random__,5,0.018,0.103,0.11484812449746493,0.4509230073529662,0.9958871969071568,
heldout,H10,newchain01,__random__,10,0.0225,0.245,0.03567174930276639,0.38779986993485355,0.8238560306460131,
heldout,H10,newchain02,S0,1,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,
heldout,H10,newchain02,S0,3,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,
heldout,H10,newchain02,S0,5,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,True
heldout,H10,newchain02,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain02,S_int,1,False,False,0.46009282814579283,0.46009282814579283,0.46009282814579283,
heldout,H10,newchain02,S_int,3,False,False,0.46009282814579283,0.46009282814579283,0.46009282814579283,
heldout,H10,newchain02,S_int,5,False,False,0.46009282814579283,0.46009282814579283,0.46009282814579283,False
heldout,H10,newchain02,S_int,10,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,
heldout,H10,newchain02,S0_plus_Sint,1,False,False,0.46009282814579283,0.46009282814579283,0.46009282814579283,
heldout,H10,newchain02,S0_plus_Sint,3,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,
heldout,H10,newchain02,S0_plus_Sint,5,False,False,0.02408913292696854,0.02408913292696854,0.02408913292696854,True
heldout,H10,newchain02,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain02,__random__,1,0.0235,0.0235,0.8869472470813307,1.8973807077137357,1.9411117537531333,
heldout,H10,newchain02,__random__,3,0.025,0.0675,0.4445736693855261,0.907044392474295,1.9093975064523996,
heldout,H10,newchain02,__random__,5,0.022,0.1225,0.3966568494879159,0.49954447404581037,1.875004003810315,
heldout,H10,newchain02,__random__,10,0.025,0.226,0.09689154040863102,0.4445736693855261,0.9085924073885834,
heldout,H10,newchain03,S0,1,False,False,1.6218955706009224,1.6218955706009224,1.6218955706009224,
heldout,H10,newchain03,S0,3,False,False,0.09213030729064177,0.09213030729064177,0.09213030729064177,
heldout,H10,newchain03,S0,5,False,False,0.0920885788697732,0.0920885788697732,0.0920885788697732,False
heldout,H10,newchain03,S0,10,False,False,0.004472490993590786,0.004472490993590786,0.004472490993590786,
heldout,H10,newchain03,S_int,1,False,False,0.75248837528046,0.75248837528046,0.75248837528046,
heldout,H10,newchain03,S_int,3,False,False,0.09213030729064177,0.09213030729064177,0.09213030729064177,
heldout,H10,newchain03,S_int,5,False,False,0.0920885788697732,0.0920885788697732,0.0920885788697732,False
heldout,H10,newchain03,S_int,10,False,False,0.004472490993590786,0.004472490993590786,0.004472490993590786,
heldout,H10,newchain03,S0_plus_Sint,1,False,False,0.75248837528046,0.75248837528046,0.75248837528046,
heldout,H10,newchain03,S0_plus_Sint,3,False,False,0.09213030729064177,0.09213030729064177,0.09213030729064177,
heldout,H10,newchain03,S0_plus_Sint,5,False,False,0.0920885788697732,0.0920885788697732,0.0920885788697732,False
heldout,H10,newchain03,S0_plus_Sint,10,False,False,0.004472490993590786,0.004472490993590786,0.004472490993590786,
heldout,H10,newchain03,__random__,1,0.0235,0.0235,0.9484598811887462,1.7244933866950756,3.572594105076983,
heldout,H10,newchain03,__random__,3,0.0265,0.075,0.19948512422521483,0.9484598811887462,1.7120614425148137,
heldout,H10,newchain03,__random__,5,0.021,0.1095,0.0920885788697732,0.75248837528046,1.6312648262396432,
heldout,H10,newchain03,__random__,10,0.0195,0.2255,0.004472490993590786,0.10047281229869895,0.8798665671394713,
heldout,H10,newchain04,S0,1,False,False,0.09544724089827103,0.09544724089827103,0.09544724089827103,
heldout,H10,newchain04,S0,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,S0,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain04,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,S_int,1,False,False,0.3283372147920055,0.3283372147920055,0.3283372147920055,
heldout,H10,newchain04,S_int,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,S_int,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain04,S_int,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,S0_plus_Sint,1,False,False,0.3283372147920055,0.3283372147920055,0.3283372147920055,
heldout,H10,newchain04,S0_plus_Sint,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain04,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain04,__random__,1,0.024,0.024,0.9345116391685427,1.726373230931526,1.7297314202626726,
heldout,H10,newchain04,__random__,3,0.0225,0.07,0.3716445719491663,0.9592081579233336,1.7278952331619701,
heldout,H10,newchain04,__random__,5,0.023,0.1345,0.34288311210320427,0.9303299791143029,1.726232477888483,
heldout,H10,newchain04,__random__,10,0.0185,0.2365,0.09544724089827103,0.35372436306389066,0.9345116391685427,
heldout,H10,newchain05,S0,1,False,False,1.2603868017465534,1.2603868017465534,1.2603868017465534,
heldout,H10,newchain05,S0,3,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,
heldout,H10,newchain05,S0,5,False,False,0.0043597416777306445,0.0043597416777306445,0.0043597416777306445,True
heldout,H10,newchain05,S0,10,False,False,0.0043597416777306445,0.0043597416777306445,0.0043597416777306445,
heldout,H10,newchain05,S_int,1,False,False,0.4849414648429077,0.4849414648429077,0.4849414648429077,
heldout,H10,newchain05,S_int,3,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,
heldout,H10,newchain05,S_int,5,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,True
heldout,H10,newchain05,S_int,10,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,
heldout,H10,newchain05,S0_plus_Sint,1,False,False,0.4849414648429077,0.4849414648429077,0.4849414648429077,
heldout,H10,newchain05,S0_plus_Sint,3,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,
heldout,H10,newchain05,S0_plus_Sint,5,False,False,0.41743265030768545,0.41743265030768545,0.41743265030768545,True
heldout,H10,newchain05,S0_plus_Sint,10,False,False,0.0043597416777306445,0.0043597416777306445,0.0043597416777306445,
heldout,H10,newchain05,__random__,1,0.019,0.019,1.0662673926859865,1.7822206131767249,1.7921531045898902,
heldout,H10,newchain05,__random__,3,0.021,0.067,0.48039424037799905,1.0662673926859865,1.7822206131767249,
heldout,H10,newchain05,__random__,5,0.0235,0.117,0.4786810591584945,0.5806976116562186,1.7031256806716268,
heldout,H10,newchain05,__random__,10,0.017,0.233,0.41743265030768545,0.48039424037799905,1.0662673926859865,
heldout,H10,newchain06,S0,1,False,False,0.5414021417227661,0.5414021417227661,0.5414021417227661,
heldout,H10,newchain06,S0,3,False,True,0.0,0.0,0.0,
heldout,H10,newchain06,S0,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain06,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain06,S_int,1,False,False,0.02980475719555241,0.02980475719555241,0.02980475719555241,
heldout,H10,newchain06,S_int,3,False,False,0.02980475719555241,0.02980475719555241,0.02980475719555241,
heldout,H10,newchain06,S_int,5,False,False,0.02980475719555241,0.02980475719555241,0.02980475719555241,True
heldout,H10,newchain06,S_int,10,False,False,0.02980475719555241,0.02980475719555241,0.02980475719555241,
heldout,H10,newchain06,S0_plus_Sint,1,False,False,0.5414021417227661,0.5414021417227661,0.5414021417227661,
heldout,H10,newchain06,S0_plus_Sint,3,False,False,0.02980475719555241,0.02980475719555241,0.02980475719555241,
heldout,H10,newchain06,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
heldout,H10,newchain06,S0_plus_Sint,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain06,__random__,1,0.026,0.026,1.0617149005793325,1.69472912630399,2.3848228442883914,
heldout,H10,newchain06,__random__,3,0.0255,0.0635,0.5380653228810139,1.0706570307459373,1.7139337826842438,
heldout,H10,newchain06,__random__,5,0.026,0.117,0.19167021052499722,0.6501190597507774,1.6544723194306292,
heldout,H10,newchain06,__random__,10,0.019,0.2145,0.02980475719555241,0.5372066428390835,1.0706570307459373,
heldout,H10,newchain07,S0,1,False,False,0.5307246738394918,0.5307246738394918,0.5307246738394918,
heldout,H10,newchain07,S0,3,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,
heldout,H10,newchain07,S0,5,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,True
heldout,H10,newchain07,S0,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain07,S_int,1,False,False,0.5386756488429553,0.5386756488429553,0.5386756488429553,
heldout,H10,newchain07,S_int,3,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,
heldout,H10,newchain07,S_int,5,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,True
heldout,H10,newchain07,S_int,10,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,
heldout,H10,newchain07,S0_plus_Sint,1,False,False,0.5386756488429553,0.5386756488429553,0.5386756488429553,
heldout,H10,newchain07,S0_plus_Sint,3,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,
heldout,H10,newchain07,S0_plus_Sint,5,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,True
heldout,H10,newchain07,S0_plus_Sint,10,False,False,0.016181841525080138,0.016181841525080138,0.016181841525080138,
heldout,H10,newchain07,__random__,1,0.02,0.02,0.543707380355338,2.296665025550862,2.3176045491224437,
heldout,H10,newchain07,__random__,3,0.0205,0.068,0.06722754309124948,0.5486645612321601,2.296665025550862,
heldout,H10,newchain07,__random__,5,0.022,0.115,0.06190620979043711,0.5352546856854274,2.2691424049033366,
heldout,H10,newchain07,__random__,10,0.024,0.219,0.040437489270156377,0.06722754309124948,0.543707380355338,
heldout,H10,newchain08,S0,1,True,True,0.0,0.0,0.0,
heldout,H10,newchain08,S0,3,True,True,0.0,0.0,0.0,
heldout,H10,newchain08,S0,5,True,True,0.0,0.0,0.0,True
heldout,H10,newchain08,S0,10,True,True,0.0,0.0,0.0,
heldout,H10,newchain08,S_int,1,False,False,0.10524710561791666,0.10524710561791666,0.10524710561791666,
heldout,H10,newchain08,S_int,3,False,False,0.10524710561791666,0.10524710561791666,0.10524710561791666,
heldout,H10,newchain08,S_int,5,False,False,0.10524710561791666,0.10524710561791666,0.10524710561791666,True
heldout,H10,newchain08,S_int,10,False,True,0.0,0.0,0.0,
heldout,H10,newchain08,S0_plus_Sint,1,False,False,0.47259433541966744,0.47259433541966744,0.47259433541966744,
heldout,H10,newchain08,S0_plus_Sint,3,False,False,0.10524710561791666,0.10524710561791666,0.10524710561791666,
heldout,H10,newchain08,S0_plus_Sint,5,False,True,0.0,0.0,0.0,True
