triple,captured,err_sqd,err_lucj,S0,S_int,S0_plus_Sint,system,chain
"(0, 3, 9)",0.6375995619759882,247.27858328064744,493.0284419537516,9.114114065251254,29.41740736781398,2.231724076638172,H10,identity
"(0, 4, 8)",0.5554887797095325,300.31919403956664,486.45040599536935,7.954731276678526,30.868645766088783,1.9231200469079495,H10,identity
"(0, 4, 9)",0.6375995619759884,247.27858328064744,497.717474328427,8.836769297127493,29.14618960511809,2.1017587862828715,H10,identity
"(0, 5, 6)",0.5749080116609866,295.8198576831057,502.03949755075337,4.917263581780014,14.921110590703275,-0.6784324351300788,H10,identity
"(0, 5, 7)",0.5749080116609866,295.8198576831057,491.24879544774024,5.291844210363828,16.61418023973207,-0.3824469045795422,H10,identity
"(0, 5, 8)",0.4943643243316059,374.3630554883097,486.4407790371281,7.954731276678526,30.868645766088783,1.9231200469079495,H10,identity
"(0, 5, 9)",0.6375995619759884,247.27858328064744,497.71747432850066,8.836769297127493,29.14618960511809,2.1017587862828715,H10,identity
"(0, 6, 7)",0.5749080116609865,295.8198576831057,487.79015163836,5.569188978487591,16.885398002427962,-0.25248161422424104,H10,identity
"(0, 6, 8)",0.4962774758602947,372.931064268756,486.55486483324495,8.23207604480229,31.139863528784673,2.0530853372632505,H10,identity
"(0, 6, 9)",0.6375995619759882,247.27858328064744,491.9770508179244,9.114114065251254,29.41740736781398,2.231724076638172,H10,identity
"(0, 7, 8)",0.5554887797095325,300.31919403956664,483.11733698523176,8.606656673386103,32.83293317781347,2.3490708678137877,H10,identity
"(0, 7, 9)",0.6375995619759884,247.27858328064744,486.786296091978,9.488694693835068,31.110477016842776,2.527709607188709,H10,identity
"(1, 2, 4)",0.5732385911630595,294.5243494375287,559.4266088877324,4.409806189914862,18.336636400702766,-0.561085643954464,H10,identity
"(0, 8, 9)",0.6288742346048453,257.11435362020563,450.533798639567,12.151581760149767,45.36494254319949,4.833276558676202,H10,identity
"(1, 2, 5)",0.5176330377054383,365.3931112773181,560.0498839605326,4.409806189914862,18.336636400702766,-0.561085643954464,H10,identity
"(1, 2, 3)",0.5176330377054384,365.3931112773181,560.3751655731584,4.687150958038624,18.60785416339866,-0.4311203535991628,H10,identity
"(1, 2, 6)",0.5176330377054383,365.3931112773181,558.061885492827,4.687150958038625,18.60785416339866,-0.43112035359916245,H10,identity
"(1, 2, 7)",0.5176330377054384,365.3931112773181,546.2033076698782,5.0617315866224395,20.300923812427456,-0.1351348230486259,H10,identity
"(1, 2, 8)",0.6137443107057516,240.1625352889134,577.2854788098903,7.724618652937137,34.55538933878417,2.1704321284388657,H10,identity
"(1, 2, 9)",0.6168087900914776,233.34141210869143,486.32667028443154,8.606656673386103,32.83293317781347,2.3490708678137877,H10,identity
"(1, 3, 4)",0.5188705860538558,365.3773667024529,564.46222868278,4.035225561331047,16.64356675167397,-0.8570711745050009,H10,identity
"(1, 3, 5)",0.5175877685217029,365.4335079906108,564.0533523285916,4.035225561331047,16.64356675167397,-0.8570711745050009,H10,identity
"(1, 3, 6)",0.5174272757180145,365.4504865056092,561.6485988556237,4.31257032945481,16.914784514369863,-0.7271058841496993,H10,identity
"(1, 3, 7)",0.5175877685217027,365.4335079906108,547.7107979882971,4.687150958038625,18.60785416339866,-0.43112035359916245,H10,identity
"(1, 3, 8)",0.5775381093186457,296.5457231982533,583.8429223898673,7.3500380243533225,32.86231968975537,1.8744465978883285,H10,identity
"(1, 4, 6)",0.5174272757180144,365.4504865056092,560.9308518479885,4.035225561331047,16.64356675167397,-0.8570711745050009,H10,identity
"(1, 4, 7)",0.5732385911630595,294.5243494375287,546.812813851047,4.409806189914862,18.336636400702766,-0.561085643954464,H10,identity
"(1, 4, 5)",0.5188705860538558,365.3773667024529,565.0408631486865,3.7578807932072844,16.372348988978075,-0.9870364648603022,H10,identity
"(1, 3, 9)",0.5734402956236083,295.92940093880316,488.2740544528162,8.23207604480229,31.139863528784677,2.0530853372632514,H10,identity
"(1, 4, 8)",0.5760241298828297,296.56640998204864,584.1618795127914,7.0726932562295595,32.591101927059476,1.7444813075330274,H10,identity
"(1, 4, 9)",0.5734402956236082,295.92940093880316,488.8009651316905,7.954731276678526,30.868645766088783,1.9231200469079495,H10,identity
"(1, 5, 6)",0.5174272757180144,365.4504865056092,561.1955870000518,4.035225561331048,16.64356675167397,-0.8570711745050006,H10,identity
"(1, 5, 7)",0.5175877685217027,365.4335079906108,546.0847367918423,4.409806189914862,18.336636400702766,-0.561085643954464,H10,identity
"(1, 5, 8)",0.5760241298828006,296.56640998204773,584.1618795127523,7.0726932562295595,32.591101927059476,1.7444813075330274,H10,identity
"(1, 5, 9)",0.5734402956236082,295.92940093880316,488.9572222500247,7.954731276678526,30.868645766088783,1.9231200469079495,H10,identity
"(1, 6, 7)",0.4588397102591525,458.2753501346808,544.3809363233801,4.687150958038625,18.60785416339866,-0.43112035359916245,H10,identity
"(1, 6, 8)",0.5596740718651256,303.7640003041826,585.564134664561,7.3500380243533225,32.86231968975537,1.8744465978883285,H10,identity
"(1, 6, 9)",0.5634385197749637,300.6037081154602,484.8996585090717,8.23207604480229,31.139863528784677,2.0530853372632514,H10,identity
"(1, 7, 8)",0.6137443107057515,240.1625352889134,577.9300398812346,7.724618652937137,34.55538933878417,2.1704321284388657,H10,identity
"(1, 7, 9)",0.6258653439561566,230.3124333400728,474.67299515584216,8.606656673386103,32.83293317781347,2.3490708678137877,H10,identity
"(1, 8, 9)",0.6131574261325994,238.4666851471939,486.22364910041506,11.2695437397008,47.087398704170184,4.6546378193012785,H10,identity
"(2, 3, 4)",0.470193930372267,458.6996615694874,540.6851205638086,1.3723384950163493,2.389101225317248,-3.162638125992493,H10,identity
"(2, 3, 5)",0.470193930372267,458.6996615694874,541.0026169440396,1.3723384950163493,2.389101225317248,-3.162638125992493,H10,identity
"(2, 3, 6)",0.470193930372267,458.6996615694874,539.6067880171182,1.6496832631401122,2.6603189880131404,-3.032672835637192,H10,identity
"(2, 3, 7)",0.4730280434619366,458.549396056509,530.0189981918413,2.024263891723927,4.353388637041936,-2.7366873050866554,H10,identity
"(2, 3, 8)",0.4590415324649288,458.3386915538306,547.5086243016101,4.687150958038624,18.60785416339865,-0.43112035359916373,H10,identity
"(2, 4, 5)",0.470193930372267,458.6996615694874,545.2776097498262,1.0949937268925867,2.117883462621356,-3.292603416347794,H10,identity
"(2, 3, 9)",0.5700632483773542,301.5627342514975,486.4930198325359,5.569188978487591,16.885398002427955,-0.25248161422424165,H10,identity
"(2, 4, 6)",0.470193930372267,458.6996615694874,542.2122562598126,1.3723384950163493,2.389101225317248,-3.162638125992493,H10,identity
"(2, 4, 7)",0.4700962892052299,458.69520919153393,532.3435046244614,1.746919123600164,4.082170874346044,-2.8666525954419564,H10,identity
"(2, 4, 8)",0.4726305812957362,446.27385466703015,550.75311593738,4.409806189914862,18.336636400702755,-0.5610856439544649,H10,identity
"(2, 4, 9)",0.5700632483773542,301.5627342514975,490.8176562598747,5.291844210363828,16.614180239732065,-0.3824469045795429,H10,identity
"(2, 5, 7)",0.4714804052538836,458.62551271719366,532.3435046244169,1.746919123600164,4.082170874346044,-2.8666525954419564,H10,identity
"(2, 5, 6)",0.4704020787680804,457.9529596286971,543.1771423041924,1.3723384950163495,2.389101225317248,-3.162638125992493,H10,identity
"(2, 5, 8)",0.4726305812957362,446.27385466703015,551.4698100513806,4.409806189914862,18.336636400702755,-0.5610856439544649,H10,identity
"(2, 5, 9)",0.6275684925998496,238.28833543724937,491.50023303505463,5.291844210363828,16.614180239732065,-0.3824469045795429,H10,identity
"(2, 6, 7)",0.4730280434619365,458.549396056509,531.6427135952173,2.024263891723927,4.353388637041936,-2.7366873050866554,H10,identity
"(2, 6, 8)",0.4726305812957362,446.27385466703015,553.8632310039402,4.687150958038624,18.60785416339865,-0.43112035359916373,H10,identity
"(2, 6, 9)",0.6275684925998497,238.28833543724937,488.5840816896678,5.569188978487591,16.885398002427955,-0.25248161422424165,H10,identity
"(2, 7, 8)",0.5176993128688027,365.3359286769646,550.1193139525977,5.0617315866224395,20.300923812427442,-0.13513482304862717,H10,identity
"(3, 4, 6)",0.470193930372267,458.6996615694874,553.4540947178695,0.9977578664325344,0.6960315762884526,-3.45862365654303,H10,identity
"(3, 4, 5)",0.470193930372267,458.6996615694874,557.0073591449445,0.7204130983087715,0.42481381359256054,-3.5885889468983314,H10,identity
"(2, 7, 9)",0.6297827813983574,236.38581837080696,482.54092677266146,5.943769607071405,18.57846765145675,0.043503916326294856,H10,identity
"(2, 8, 9)",0.5643467347777683,293.95766463686533,472.41898156670106,8.606656673386103,32.83293317781346,2.3490708678137864,H10,identity
"(3, 4, 7)",0.470193930372267,458.6996615694874,541.5446224819824,1.3723384950163489,2.389101225317248,-3.1626381259924936,H10,identity
"(3, 4, 8)",0.4590415324649288,458.3386915538306,565.5018429449194,4.035225561331047,16.64356675167396,-0.8570711745050019,H10,identity
"(3, 4, 9)",0.6297827813983574,236.38581837080696,500.5664767903282,4.917263581780013,14.921110590703268,-0.6784324351300798,H10,identity
"(3, 5, 7)",0.470193930372267,458.6996615694874,540.5769523617865,1.372338495016349,2.3891012253172486,-3.1626381259924936,H10,identity
"(3, 5, 6)",0.470193930372267,458.6996615694874,553.454094717849,0.9977578664325344,0.6960315762884526,-3.45862365654303,H10,identity
"(3, 5, 9)",0.6297827813983574,236.38581837080696,500.25944676279187,4.917263581780013,14.921110590703268,-0.6784324351300798,H10,identity
"(3, 5, 8)",0.4590313394325113,458.35173990481337,565.201136334216,4.035225561331047,16.64356675167396,-0.8570711745050019,H10,identity
"(3, 6, 7)",0.470193930372267,458.6996615694874,539.3711060573256,1.649683263140112,2.66031898801314,-3.032672835637192,H10,identity
"(3, 6, 8)",0.459059116929777,458.3452761510429,567.1426743153676,4.312570329454809,16.914784514369853,-0.7271058841497007,H10,identity
"(3, 6, 9)",0.6297827813983575,236.38581837080696,496.8874054361265,5.194608349903776,15.192328353399159,-0.5484671447747786,H10,identity
"(3, 7, 8)",0.459357921052832,458.2881897578508,561.4996559537894,4.687150958038624,18.60785416339865,-0.43112035359916373,H10,identity
"(4, 5, 6)",0.470193930372267,458.6996615694874,558.0968137061868,0.7204130983087718,0.42481381359256043,-3.5885889468983314,H10,identity
"(4, 5, 7)",0.470193930372267,458.6996615694874,544.946579989209,1.0949937268925862,2.1178834626213563,-3.292603416347794,H10,identity
"(3, 7, 9)",0.6297827813983575,236.38581837080696,488.66257223161114,5.56918897848759,16.885398002427955,-0.252481614224242,H10,identity
"(3, 8, 9)",0.5735870187954646,294.8068205631822,483.352752545243,8.232076044802287,31.139863528784666,2.0530853372632496,H10,identity
"(4, 5, 8)",0.459059116929777,458.3452761510429,570.4812612901807,3.757880793207284,16.372348988978068,-0.987036464860303,H10,identity
"(4, 5, 9)",0.6297827813983574,236.38581837080696,506.6369116046303,4.639918813656251,14.649892828007376,-0.8083977254853808,H10,identity
"(4, 6, 7)",0.470193930372267,458.6996615694874,542.0729876263124,1.372338495016349,2.389101225317248,-3.1626381259924936,H10,identity
"(4, 6, 8)",0.517642676055443,365.4517569539335,570.7414890433693,4.035225561331047,16.64356675167396,-0.8570711745050019,H10,identity
"(4, 6, 9)",0.6297827813983573,236.38581837080696,501.6909540244754,4.917263581780013,14.921110590703268,-0.6784324351300798,H10,identity
"(4, 7, 8)",0.518163284684482,365.0589076076844,564.8098887030768,4.409806189914861,18.336636400702755,-0.5610856439544654,H10,identity
"(4, 7, 9)",0.6297827813983574,236.38581837080696,493.12499741593376,5.291844210363828,16.614180239732065,-0.3824469045795429,H10,identity
"(4, 8, 9)",0.5738656579728079,294.5982984505724,489.0113889032852,7.954731276678525,30.868645766088775,1.9231200469079486,H10,identity
"(5, 6, 7)",0.470193930372267,458.6996615694874,541.7645566288201,1.3723384950163493,2.389101225317248,-3.162638125992493,H10,identity
"(5, 6, 8)",0.5176426760554429,365.4517569539335,571.1225565093488,4.035225561331047,16.64356675167396,-0.8570711745050019,H10,identity
"(5, 6, 9)",0.6297827813983574,236.38581837080696,501.96925772790826,4.917263581780013,14.921110590703268,-0.6784324351300798,H10,identity
"(5, 7, 8)",0.518163284684482,365.0589076076844,564.1432761711078,4.409806189914861,18.336636400702755,-0.5610856439544654,H10,identity
"(5, 8, 9)",0.6306276897312906,231.5027027367096,489.0626742584745,7.954731276678526,30.868645766088775,1.9231200469079488,H10,identity
"(5, 7, 9)",0.6297827813983574,236.38581837080696,492.4005382871979,5.291844210363828,16.614180239732065,-0.3824469045795429,H10,identity
"(6, 7, 8)",0.5181632846844821,365.0589076076844,566.5868313190527,4.687150958038624,18.60785416339865,-0.43112035359916373,H10,identity
"(6, 7, 9)",0.6297827813983574,236.38581837080696,489.737505837744,5.56918897848759,16.885398002427955,-0.252481614224242,H10,identity
"(6, 8, 9)",0.6258450900157321,230.86586030434563,489.91002699465633,8.232076044802287,31.139863528784666,2.0530853372632496,H10,identity
"(7, 8, 9)",0.6230070889245248,230.2839613082117,486.8114958338241,8.606656673386102,32.83293317781346,2.3490708678137855,H10,identity
"(1, 4, 7)",0.5780884770024218,268.87516285398937,573.5291565729196,4.409806189914862,13.191491282784412,0.617085206162739,H10,physical
"(2, 4, 6)",0.5516742832724483,297.572227797807,543.5469793089061,1.3723384950163493,2.9880413592596136,-2.2371528475291296,H10,physical
"(1, 6, 8)",0.6894747491861564,183.58452992042817,627.8038481413378,7.3500380243533225,25.998589859332228,3.852094548579001,H10,physical
"(0, 2, 7)",0.65710199899811,221.6289189077152,569.2231987578032,5.943769607071405,3.4467711708105098,-0.3418599900202717,H10,physical
"(1, 2, 6)",0.6397214424179712,220.4397209424638,571.9299272141676,4.687150958038625,14.649054299901215,0.9624364639516151,H10,physical
"(1, 6, 7)",0.578889164121683,270.74337446453,572.0075332408144,4.687150958038625,12.926598138930522,0.6849058742832588,H10,physical
"(3, 6, 9)",0.5923666542545941,269.1237568078595,547.2182783110471,5.194608349903776,3.070711011121628,-0.7009384708301027,H10,physical
"(1, 5, 7)",0.6203579204161187,226.48491392501313,570.3142466378042,4.409806189914862,13.086358383890362,0.6001456775496181,H10,physical
"(5, 7, 9)",0.6583515136233303,219.32371513488567,549.2362237674264,5.291844210363828,2.445886449236744,-0.7628719108431414,H10,physical
"(2, 3, 5)",0.5322891496125512,304.7670319220908,532.6775449619952,1.3723384950163493,4.126223078761183,-2.0537634232171635,H10,physical
"(0, 2, 9)",0.5933187615824217,268.5719206638488,602.4733056805492,9.488694693835068,4.273475509101486,1.2037353553015042,H10,physical
"(0, 5, 7)",0.6586595808195449,220.94528600747145,577.3358597889278,5.291844210363828,1.4253454432487593,-0.9273064860679573,H10,physical
"(5, 6, 7)",0.5721703343610745,269.86705160719634,548.1555388011898,1.3723384950163493,1.1604522993948714,-2.531622965810606,H10,physical
"(0, 2, 6)",0.6615930986901128,218.63787417716551,569.8481240247384,5.569188978487591,2.9880413592596136,-0.5650156996659602,H10,physical
"(1, 5, 6)",0.6511451413497085,210.0243033866711,576.4553827275219,4.035225561331048,12.627628572339466,0.3769899679039298,H10,physical
"(2, 6, 9)",0.59629229067241,268.3478007147997,541.864767463621,5.569188978487591,4.008582365247599,-0.40058112444114413,H10,physical
"(4, 6, 8)",0.5457347834575439,301.16552450996005,591.3582465847495,4.035225561331047,14.337576918690624,0.6525052370982565,H10,physical
"(1, 3, 5)",0.5687982412580788,264.65016424447094,572.0086899395964,4.035225561331047,13.870943190735085,0.5773189208290161,H10,physical
"(0, 6, 7)",0.6615930986901126,218.63787417716551,577.0673355190486,5.569188978487591,1.2655851982889208,-0.8425462893343163,H10,physical
"(2, 4, 7)",0.6955385362149424,172.14939218691416,541.6021254577306,1.746919123600164,3.4467711708105098,-2.0139971378834405,H10,physical
"(3, 4, 6)",0.4530670348135028,386.4008031346869,551.1723763754235,0.9977578664325344,2.0501700051336424,-2.5375101939180875,H10,physical
"(0, 3, 4)",0.658659580819545,220.94528600747145,575.4256702109072,4.917263581780013,2.31506314898753,-0.9331937141754387,H10,physical
"(0, 1, 9)",0.6547827697182128,219.9049260850092,588.6505862537001,12.151581760149767,14.018195621075389,3.8348176993476843,H10,physical
"(3, 8, 9)",0.6386663352819468,225.71215968089663,542.4601412591485,8.232076044802287,16.601432543074228,2.6894059131113277,H10,physical
