dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin
15,15,225,32,37,2756,14814,OK,49.22033479513743,0.9620023579000732,r039,"(3, 6, 9)",0.2520385717615004,0.44636076490732335,0.057716378615677424
15,15,225,44,44,2756,14814,OK,53.32064297364525,0.9586843253266693,r039,"(7, 8, 9)",0.27872558517826085,0.44636076490732335,0.11109040544919838
15,15,225,32,33,2736,14814,OK,68.95021345904695,0.9423934605786739,r039,"(1, 5, 6)",0.24888885410723485,0.44636076490732335,0.05141694330714636
15,15,225,38,40,2736,14814,OK,44.664896552149,0.9647967029331338,r039,"(1, 2, 7)",0.2508459376336095,0.44636076490732335,0.055331110359895644
15,15,225,42,42,2736,14814,OK,39.53086646883719,0.972737887074901,r039,"(0, 5, 8)",0.27774704341507356,0.44636076490732335,0.10913332192282374
15,15,225,38,41,2764,14814,OK,31.307073886935655,0.9762021976868118,r039,"(1, 2, 9)",0.2787255851782609,0.44636076490732335,0.11109040544919843
15,15,225,35,46,2764,14814,OK,31.307073886935655,0.9762021976868117,r039,"(0, 1, 9)",0.3066052327229123,0.44636076490732335,0.1668497005385012
15,15,225,40,39,2756,14814,OK,44.76206515614933,0.9692307391254825,r039,"(3, 8, 9)",0.27774704341507356,0.44636076490732335,0.10913332192282374
15,15,225,31,32,2726,14812,OK,45.75080481754412,0.9643927567155179,r039,"(2, 3, 4)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,35,33,2726,14814,OK,38.688189150647645,0.9674939870277988,r039,"(2, 6, 7)",0.22513746598003634,0.44636076490732335,0.003914167052749291
15,15,225,37,39,2736,14814,OK,51.71034096474614,0.9620186330560143,r039,"(0, 3, 6)",0.2520385717615004,0.44636076490732335,0.05771637861567742
15,15,225,36,42,2736,14814,OK,31.307073886935655,0.9762021976868118,r039,"(0, 1, 3)",0.27774704341507356,0.44636076490732335,0.1091333219228238
15,15,225,29,33,2726,14814,OK,49.68586330053881,0.9571792171749969,r039,"(3, 5, 6)",0.22318038245366167,0.44636076490732335,2.607619655227535e-66
15,15,225,42,42,2736,14814,OK,39.53086646883719,0.972737887074901,r039,"(0, 3, 8)",0.27774704341507356,0.44636076490732335,0.10913332192282374
15,15,225,36,34,2736,14814,OK,49.74748074573654,0.9570155385460307,r039,"(1, 3, 8)",0.27459732576080803,0.44636076490732335,0.10283388661429267
15,15,225,39,38,2766,14814,OK,47.068027818241376,0.9629024200878443,r039,"(1, 3, 9)",0.27774704341507356,0.44636076490732335,0.1091333219228238
15,15,225,43,37,2734,14814,OK,31.307073886935655,0.9762021976868117,r039,"(0, 1, 2)",0.2787255851782609,0.44636076490732335,0.11109040544919842
15,15,225,40,39,2756,14814,OK,44.76206515614933,0.9692307391254825,r039,"(5, 8, 9)",0.27774704341507356,0.44636076490732335,0.10913332192282374
15,15,225,29,33,2726,14812,OK,49.68586330053881,0.9571792171749969,r039,"(3, 4, 5)",0.22318038245366167,0.44636076490732335,4.1123931627165904e-67
15,15,225,31,32,2726,14814,OK,45.75080481754412,0.9643927567155179,r039,"(2, 3, 6)",0.22415892421684902,0.44636076490732335,0.0019570835263746453
15,15,225,47,48,2764,14814,OK,38.886291139135665,0.9707238680482776,r039,"(0, 8, 9)",0.30660523272291224,0.44636076490732335,0.16684970053850112
15,15,225,32,37,2756,14812,OK,49.22033479513743,0.9620023579000732,r039,"(4, 5, 9)",0.2520385717615004,0.44636076490732335,0.057716378615677424
15,15,225,39,38,2766,14814,OK,47.068027818241376,0.9629024200878443,r039,"(1, 5, 9)",0.27774704341507356,0.44636076490732335,0.1091333219228238
15,15,225,35,32,2726,14814,OK,49.74748074573654,0.9570155385460307,r039,"(3, 5, 8)",0.24888885410723482,0.44636076490732335,0.05141694330714631
15,15,225,32,37,2756,14814,OK,49.22033479513743,0.9620023579000732,r039,"(5, 6, 9)",0.2520385717615004,0.44636076490732335,0.057716378615677424
