dim_alpha,dim_beta,dim,n_unique_alpha,n_unique_beta,depth,two_qubit_count,status,err_mHa,captured,ordering,triple,retained_J,retained_J_samespin,retained_J_oppspin,err_lucj,full_capture
15,15,225,44,47,2696,14814,OK,46.56101398974499,0.965979281459412,identity,"(0, 7, 9)",0.2914818675554194,0.46557389435310936,0.11738984075772951,191.13416703146413,1.0000000000001312
15,15,225,46,46,2654,14814,OK,31.307073886935655,0.9762021976868116,identity,"(0, 8, 9)",0.3162117974458052,0.46557389435310936,0.16684970053850112,173.93339520938866,1.000000000000128
15,15,225,40,34,2688,14814,OK,29.068263305447317,0.9781335524780966,identity,"(1, 2, 3)",0.2594739605933152,0.46557389435310936,0.05337402683352101,222.46989511181425,1.0000000000001308
15,15,225,40,34,2672,14812,OK,29.068263305447317,0.9781335524780966,identity,"(1, 2, 4)",0.2594739605933152,0.46557389435310936,0.05337402683352101,222.46989511181425,1.0000000000001308
15,15,225,40,34,2696,14814,OK,29.068263305447317,0.9781335524780966,identity,"(1, 2, 5)",0.2594739605933152,0.46557389435310936,0.05337402683352101,222.46989511181425,1.0000000000001308
15,15,225,40,34,2672,14814,OK,29.068263305447317,0.9781335524780966,identity,"(1, 2, 6)",0.2594739605933152,0.46557389435310936,0.05337402683352101,222.46989511181425,1.0000000000001308
15,15,225,35,35,2696,14814,OK,27.133941327647904,0.9788648172146902,identity,"(1, 2, 7)",0.26045250235650247,0.46557389435310936,0.055331110359895644,218.63625060402114,1.0000000000001326
15,15,225,38,38,2672,14814,OK,32.43364529834025,0.9770425035292898,identity,"(1, 2, 8)",0.28518243224688833,0.46557389435310936,0.10479097014066731,201.60100754070243,1.0000000000001337
15,15,225,40,38,2672,14814,OK,31.870454303643214,0.9788639618129475,identity,"(1, 2, 9)",0.2883321499011539,0.46557389435310936,0.11109040544919843,195.77003062991594,1.00000000000013
15,15,225,34,32,2688,14812,OK,46.02280850293994,0.9581210331383865,identity,"(1, 3, 4)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
15,15,225,34,32,2696,14814,OK,46.02280850293994,0.9581210331383865,identity,"(1, 3, 5)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
15,15,225,34,32,2688,14814,OK,46.02280850293994,0.9581210331383865,identity,"(1, 3, 6)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
15,15,225,35,38,2696,14814,OK,27.934429967942265,0.9784605395115765,identity,"(1, 3, 7)",0.2594739605933152,0.46557389435310936,0.053374026833521,222.34307368525208,1.0000000000001275
15,15,225,36,33,2688,14814,OK,51.781914492949,0.9562949301626548,identity,"(1, 3, 8)",0.284203890483701,0.46557389435310936,0.10283388661429267,205.66206399405473,1.0000000000001321
15,15,225,45,42,2688,14814,OK,31.870454303643214,0.9788639618129475,identity,"(1, 3, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.76319712480972,1.000000000000132
15,15,225,34,32,2696,14812,OK,46.02280850293994,0.9581210331383865,identity,"(1, 4, 5)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
15,15,225,34,32,2672,14812,OK,46.02280850293994,0.9581210331383865,identity,"(1, 4, 6)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
15,15,225,35,38,2696,14812,OK,27.934429967942265,0.9784605395115765,identity,"(1, 4, 7)",0.2594739605933152,0.46557389435310936,0.053374026833521,222.34307368525208,1.0000000000001275
15,15,225,36,33,2672,14812,OK,51.781914492949,0.9562949301626548,identity,"(1, 4, 8)",0.284203890483701,0.46557389435310936,0.10283388661429267,205.66206399405473,1.0000000000001321
15,15,225,45,42,2672,14812,OK,31.870454303643214,0.9788639618129475,identity,"(1, 4, 9)",0.28735360813796657,0.46557389435310936,0.1091333219228238,199.76319712480972,1.000000000000132
15,15,225,34,32,2696,14814,OK,46.02280850293994,0.9581210331383865,identity,"(1, 5, 6)",0.25849541883012783,0.46557389435310936,0.05141694330714636,226.24324468826273,1.000000000000131
