# norb=10 nelec=[3, 3] total_shots=1000000
# source_qpy=outputs/n2_cas610_155_lucj_unmasked.qpy
# bit_order_mode=qiskit
# convention: qiskit little-endian (qubit 0 = rightmost char); alpha=qubits[0:norb], beta=qubits[norb:2*norb] (see stage2.convert_bit_order for other modes)
# <bitstring> <count>
01100000011000000110 1
00001011000001001100 1
01001001001000010100 1
00100100010001000110 1
00010000110100001010 1
00100011000010001010 1
10100000101100000100 1
00010010100001001100 1
01000100011000010010 1
00010100100001001010 1
00000110010010000011 1
10100010000100010001 1
01000010101000001001 1
01000001011100000100 1
00100101000010010100 1
10000100011000010001 1
00100100010100010001 1
00100010100010001010 1
00000010110111000000 1
00001000110110001000 1
00010101000010000011 1
00101000101100001000 1
10000001100010110000 1
01000100011100010000 1
00100000110011010000 1
01010001000000001011 1
00101001000000010101 1
00101100000100000101 1
00000010110100100010 1
00100000111100000100 1
00010000110001000011 1
00001001100101000100 1
00001001101000010100 1
00100010100010001100 1
01000001011010000010 1
10100000100110000001 1
00000011011010010000 1
00000101011000010010 1
00010001100011000010 1
00000100111000001100 1
00001110000100001001 1
11000001000000011001 1
00100100100000100101 1
00010010100000101100 1
00110000100000001011 1
00001001010100010100 1
01100000010000101100 1
10000011000000010101 1
10100000101100000010 1
00101100000001001010 1
11000000100000110100 1
10100000101010000010 1
01000100010010001001 1
00000101100100010010 1
00001100010001100010 1
10001000100100100001 1
00110000100101000100 1
10100000100100000101 1
00010101000000110010 1
00000100110010100100 1
11001000000000100011 1
10000101000000010011 1
00100001010110000001 1
11000001000100000011 1
00001101000100000101 1
00010001100010010001 1
00001011000001001010 1
00100100011010010000 1
00000011011100010000 1
00010001100010100010 1
00100000111010000010 1
10100100000000001011 1
10100000100010000011 1
01110000000000100110 1
00000110010100101000 1
11100000000000000111 1
00000101100110010000 1
11000001001100000100 1
01100100000000010110 1
10001001000010001010 1
10001001000000010110 1
00010100100000101010 1
10100100000000100110 1
10000100100010010001 1
10000110000010000011 1
00010101000110000001 1
01000010011000010100 1
00100100010011000010 1
00000110010110000001 1
00000100111010001000 1
01001001000100100100 1
00100010011000010010 1
01000001010000101100 1
00101000100100100010 1
00100100010000111000 1
00100010100100100001 1
10100000101000000110 1
00110100000011010000 1
00100010010000001101 1
11000100000000010101 1
01000001101000000011 1
00001010101100000100 1
00110100000000011001 1
00000101100010010100 1
00010001100100001001 1
00101100000000110100 1
