ordering,cap_exact,cap_cisd,cap_cisd_alpha,cap_cisd_beta,err_sub_mHa,cap_cisd_product
q076,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q077,0.9597908499947916,0.9728021182846992,0.9807767585095293,0.9807767585095294,45.44012350510229,0.9619230500324596
q078,0.9836919901327649,0.9935629372624756,0.9953310347314301,0.9953310347314303,23.163986107007872,0.9906838686995395
q079,0.9576736040681938,0.9899613700747838,0.9946307748921015,0.9946307748921015,53.476525806004815,0.9892903783624623
q080,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q081,0.9635366559779395,0.9912418488307584,0.9949509510254438,0.9949509510254438,52.23837528120612,0.9899273949464351
q082,0.9569506117509312,0.9762813705588632,0.9790790359686103,0.9790790359686106,36.625261441002976,0.9585957586732236
q083,0.9656721784433754,0.992687673947349,0.9939378589025958,0.9939378589025959,44.20044876960105,0.9879124673598765
q084,0.9792051772986361,0.9886074552574947,0.9915776863130237,0.9915776863130239,28.83748232110861,0.9832263079938894
q085,0.9575094254000032,0.9863980279963648,0.9911961075748522,0.9906749909865629,54.633930275102216,0.9819531949376329
q086,0.9555146075807107,0.9855854383970512,0.9915635132226575,0.9915635132226576,59.62042239720233,0.9831982007544593
q087,0.9635264381581257,0.983719522112517,0.9901920858741318,0.9901920858741319,47.73218630670328,0.9804803669277641
q088,0.9601763086190439,0.9898938119703379,0.9925409279140902,0.9925409279140903,50.166975939504255,0.9851374935845634
q089,0.9756346200436294,0.9907690752854644,0.9939341037429246,0.9939341037429247,31.042566544698506,0.9879050025832509
q090,0.9556363014502803,0.9856731384995099,0.9900667655669645,0.9901542903010982,59.2425031511965,0.9803188556106616
q091,0.9622108475531889,0.9894618827112311,0.992960444211163,0.9929604442111631,52.77202678379922,0.9859704437680303
q092,0.9666924282566722,0.9931208911023458,0.9941544674800943,0.9941544674800944,42.18845572260932,0.98834310521063
q093,0.9601763086190439,0.9898938119703379,0.9925409279140902,0.9925409279140903,50.166975939504255,0.9851374935845634
q094,0.9604395448282151,0.9905923241279352,0.9930351635761349,0.993035163576135,49.27020591030384,0.986118836098681
q095,0.9668298160654663,0.9938194032599432,0.9946487031421389,0.994648703142139,41.3107508382069,0.9893260426623389
q096,0.9601201646739601,0.9900980884658905,0.9930351635761349,0.9925409279140903,50.19545725980379,0.9856280427071774
q097,0.9670114163672396,0.9944173647162119,0.9967137926295695,0.9967137926295695,45.82443187379681,0.9934383844180205
q098,0.9596803162094726,0.9896766392052198,0.9938205904888278,0.9925409279140903,51.34585807989822,0.9864076110639103
q099,0.9567077270838892,0.9867182960848843,0.9907780863099646,0.9907780863099647,56.26839023339869,0.9816412163120357
q100,0.967240846834265,0.9868360149219254,0.9929052321449156,0.9929052321449157,44.99307245370687,0.9858608000207487
q101,0.958061913617943,0.9900748833288805,0.9946307748921015,0.9947442881461983,52.67222544820527,0.9894032821383452
q102,0.9562058877852171,0.9865011233197665,0.9920577488847021,0.9907780863099647,57.73780778460491,0.9829090779489567
