score,system,chain,n,rho_captured,p_captured,rho_sqd,p_sqd,regret_frac
T1,H10,newchain02,43,-0.04692361042289808,0.7650954580474825,0.1475674680206285,0.3449989712811718,0.5409282370327779
T1,H10,newchain03,43,-0.486020732635827,0.0009526488219914752,0.4629478421235506,0.001771864523001657,1.648777142641415
T1,H10,newchain04,43,-0.26114036991778883,0.09075222873164399,0.27146498934738345,0.07825632209361874,1.7295751189051658
T1,H10,newchain05,43,0.21841580265199123,0.15939810170412957,-0.253240081622036,0.10131642102371796,1.2294372104484057
T1,H10,newchain06,43,-0.22158387873167087,0.1532837790054279,0.21063180736256157,0.17517179919836767,0.19167021052499722
T1,H10,newchain07,43,-0.3515988257997736,0.020776898992081117,0.3802072455729394,0.011904591924838372,0.5529132064392049
T1,H10,newchain08,43,-0.10428875708281667,0.5057090149877573,0.12878961865833347,0.410462443245273,0.446009777729879
T1,H10,newchain09,43,0.08465773451188807,0.5893693461165644,0.030798801410722658,0.8445659908505005,0.7699064571772862
T1,H10,newchain10,43,-0.3148687513239228,0.039731817875050666,0.37185355548686566,0.014076232713969046,0.5490854128361787
T1,H10,newchain11,43,0.12270450225344856,0.43310689095387167,-0.17751834815741524,0.2547710022462202,1.3827022029664844
T1,N2,identity,120,-0.10767491998601326,0.24176745689082524,0.08374180093938981,0.3631695006819932,0.18740378623982895
T1,N2,reverse,40,-0.13327244392417403,0.412314462551927,0.2593574255875571,0.10607359272746886,0.1593680231797201
T1,N2,r039,40,0.21325411410445722,0.18642572060472867,-0.21651367537522484,0.17962469008361226,0.0
T2,H10,identity,120,-0.17334215597030697,0.05831104992585468,0.21641240041353418,0.017593136772054905,0.01296069053186328
T2,H10,physical,40,0.09638615530735942,0.5540853736578646,0.0039027604942990022,0.9809319096802398,2.929648580624772
T2,H10,rand007,40,-0.5473119389005014,0.00025736538962304906,0.5011313846469765,0.0009883860839101294,1.5295645638956674
T2,H10,newchain00,43,0.15599376191164682,0.3178386837574937,-0.16128200312190258,0.30150279819911935,0.0
T2,H10,newchain01,43,-0.6438468779991507,3.195490638954236e-06,0.6203177586389699,9.126111972448404e-06,2.7234215375478654
T2,H10,newchain02,43,-0.025547903592968414,0.8708187014461665,-0.06682070989768117,0.6702991913947539,0.47396918370764923
T2,H10,newchain03,43,-0.2276356881800889,0.14208430928290364,0.15445745736361335,0.322687195612481,0.20165757421434855
T2,H10,newchain04,43,-0.32261130804833127,0.03486299924403851,0.3416824800064854,0.02492863762809132,0.3283372147920055
T2,H10,newchain05,43,-0.023671783939343913,0.8802335127047244,0.046482618209006246,0.7672414242446461,0.48039424037799905
T2,H10,newchain06,43,0.1267705350477477,0.417899832192147,-0.20489369232880986,0.1874968568374731,0.6501190597507774
T2,H10,newchain07,43,-0.31292353125022565,0.04103860367349491,0.32314962988614987,0.034543586084634904,2.296665025550862
T2,H10,newchain08,43,-0.27365152820340916,0.07579182463227208,0.27108790469649224,0.07868762057055931,2.0236063496579035
T2,H10,newchain09,43,-0.09642053649469602,0.5385043119313221,-0.08226790789845782,0.5999581632447704,1.3125351615806704
T2,H10,newchain10,43,-0.16810494785339983,0.28123630534215127,0.09337967825093811,0.5514480777838813,1.6768276248010896
T2,H10,newchain11,43,-0.277057922119622,0.07207435017363499,0.1905247682184982,0.2210325392565045,0.09251996654668738
T2,N2,identity,120,-0.23882920623474962,0.008614410874763001,0.156998825123495,0.0868098408522353,0.18740378623982895
T2,N2,reverse,40,-0.3828989379773118,0.014743664386185925,0.4036084747594084,0.009805798555053149,2.868853135881407
T2,N2,r039,40,-0.43072006745854513,0.005529341105912811,0.3336657388430513,0.03537065380006026,1.3610281239092368
