ordering,kind,perm,seed,dim,err_sub_mHa,retained_J,captured,n_unique,top1
r038,random,9731402568,2026,225,56.472023510337976,0.15716164758048246,0.9581838695707242,110,0.985144
r038,random,9731402568,7,225,56.472023510337976,0.15716164758048246,0.9581838695707242,115,0.985163
r039,random,0914723658,2026,225,49.22033479513743,0.2530171135246877,0.9620023579000732,135,0.975494
r039,random,0914723658,7,225,49.22033479513743,0.2530171135246877,0.9620023579000732,155,0.975593
r040,random,0587391426,2026,225,49.22033479513743,0.20177540738390254,0.9620023579000733,147,0.973354
r040,random,0587391426,7,225,49.22033479513743,0.20177540738390254,0.9620023579000733,151,0.973482
r041,random,1078563924,2026,225,53.19571574693782,0.21583874255308233,0.9613159465939567,146,0.979637
r041,random,1078563924,7,225,52.82828631693803,0.21583874255308233,0.9613159465939567,132,0.979683
r042,random,9183752640,2026,225,49.22033479513743,0.2447605946897819,0.9620023579000732,115,0.987393
r042,random,9183752640,7,225,49.22033479513743,0.2447605946897819,0.9620023579000732,117,0.987402
r043,random,4293085176,2026,225,44.08318695864466,0.21038193379562523,0.9659647090422339,111,0.989459
r043,random,4293085176,7,225,44.08318695864466,0.21038193379562523,0.9659647090422339,110,0.989573
r044,random,9680475321,2026,225,48.08456878863865,0.20177540738390254,0.9762021976868117,162,0.973146
r044,random,9680475321,7,225,48.084568788738125,0.20177540738390254,0.9762021976868117,157,0.973262
r045,random,3059142786,2026,225,37.4275159622357,0.22531270314639748,0.9709023194917986,140,0.973851
r045,random,3059142786,7,225,37.4275159622357,0.22531270314639748,0.9709023194917986,143,0.974017
r046,random,8762301549,2026,225,21.654647891949708,0.1976471479664497,0.9823124393334213,104,0.988614
r046,random,8762301549,7,225,38.688189150647645,0.1976471479664497,0.9823124393334213,104,0.98865
r047,random,6923514870,2026,225,103.30311883564036,0.13771375603709798,0.8449034091971122,84,0.989042
r047,random,6923514870,7,225,103.30311883564036,0.13771375603709798,0.8449034091971122,81,0.989135
r048,random,4135628907,2026,225,46.56101398964552,0.2671197706481154,0.9625038249610784,100,0.989646
r048,random,4135628907,7,225,46.56101398964552,0.2671197706481154,0.9625038249610784,94,0.989758
r049,random,0521648739,2026,225,59.1661704662414,0.156812106759571,0.957474216083312,115,0.984908
r049,random,0521648739,7,225,59.1661704662414,0.156812106759571,0.957474216083312,116,0.984953
r050,random,9537102468,2026,225,50.369107233848354,0.23511186368601109,0.9620186330560142,147,0.976893
r050,random,9537102468,7,225,50.63877690564311,0.23511186368601109,0.9620186330560142,152,0.976979
r051,random,3801246795,2026,225,38.88629113924935,0.2627984486580364,0.9707238680482775,153,0.968448
r051,random,3801246795,7,225,38.88629113924935,0.2627984486580364,0.9707238680482775,159,0.968617
r052,random,0423871956,2026,225,37.64002782114062,0.23493709327555534,0.973486996530022,224,0.952198
r052,random,0423871956,7,225,37.64002782114062,0.23493709327555534,0.973486996530022,212,0.952175
r053,random,1704259863,2026,225,47.351690524138235,0.20723221614135967,0.9656912735808332,142,0.979066
r053,random,1704259863,7,225,40.85990977564791,0.20723221614135967,0.9656912735808332,144,0.979154
r054,random,1503279684,2026,225,57.11591743524025,0.17404950045762935,0.9563624112870663,98,0.980886
r054,random,1503279684,7,225,57.11591743524025,0.17404950045762935,0.9563624112870663,92,0.980967
