ordering,permutation,err_mHa,retained_J,captured,retained_J_recomputed,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,s2_ss_L3,s2_ss_L4,s2_ss_L5,s2_ss_L6,s2_ss_L7
r018,5946217038,103.30311883573984,0.1375389856266422,0.8449034091971127,0.03728487740205871,0.2886510844514137,0.1438049449167267,0.4334972239861007,0.06388942934046948,0.06648950845268395,0.061289350228255025,0.6311904529696877,0.26238090593937524,1.0,0.19376528888794145,0.0,1.1434963232779782e-12,0.26238090593937524,0.42822546145582624,0.6780215609821899
r019,9743061528,44.32014149094243,0.1868236082410527,0.966754661228433,0.08367300510159588,0.2737266453400494,0.22287147310882977,0.3245818175712691,0.26729070951599304,0.03837272108807984,0.49620869794390626,0.6931994257180389,0.41488954631036606,0.9715093051257119,0.3481908255192396,0.07104739406513637,0.28619998089822857,0.41488954631036606,0.7949599749316747,0.7949599749325013
r020,8724615390,51.485574365287334,0.2337622845539292,0.9620023579000732,0.12545061232072538,0.15753432966274766,0.24524985843179253,0.0698188008937028,0.13910117703916494,0.18562793790803886,0.09257441617029102,0.7203728873516062,0.4407457747032125,1.0,0.28094861742639604,0.0,0.1953517401586805,0.4407457747032125,0.5149909807462081,0.8556353210130202
r021,4698501327,103.7849887429445,0.2188590604635827,0.8036495659782102,0.10462872475736017,0.3630448500772939,0.2925924761684863,0.4334972239861016,0.2123635650481561,0.36343777986805714,0.061289350228255025,0.6509846803220529,0.3019693606441059,1.0,0.3569097203840157,0.19535174015777973,0.30196936064237967,0.3019693606441059,0.5479554635850025,0.6399386497529785
r022,4951072386,46.56101398964552,0.2286371912111187,0.965979281459412,0.11696618888812997,0.24722070616567832,0.18390839090573013,0.3105330214256265,0.37885893167761,0.32589927193996326,0.43181859141525675,0.7384540347596413,0.4769080695192828,1.0,0.2796224466967366,0.0,0.07445343774311353,0.4769080695192828,0.7433072037451427,0.9091517592595514
r023,8279065143,44.287653358694,0.2423688109656519,0.9659647090422336,0.13764004085305162,0.2624952816706518,0.21445754191567704,0.3105330214256265,0.3214036587017279,0.21098872598819904,0.43181859141525675,0.7164178790675746,0.4328357581351492,1.0,0.2825212829252785,0.0521732611169167,0.14642754553616924,0.4328357581351492,0.43283575813604996,0.8320925779349431
r024,9851426730,49.22033479513743,0.1923651096194482,0.9620023579000732,0.07651605623571954,0.2759378499012751,0.1987597839364122,0.353115915866138,0.04911264476085591,0.05038770328636906,0.04783758623534276,0.5922552283816683,0.18451045676333663,1.0,0.18567715687218916,0.0,0.019800846676139003,0.18451045676333663,0.35604312196143667,0.8556353210123624
r025,3048251697,51.571220196535705,0.157965418933214,0.9394902763932312,0.054957397921560215,0.30165987668885197,0.2329977079321334,0.3703220454455705,0.07374982877583881,0.03837272108807984,0.10912693646359778,0.6378748820094289,0.304240458893146,0.9715093051257119,0.2892954592064359,0.0,0.1953517401577798,0.304240458893146,0.764787080271912,0.9278176605056085
r026,9271865043,52.220197781096545,0.2360693756571208,0.962230389499678,0.1246931325384921,0.2354680464057491,0.26838139999084026,0.20255469282065788,0.16982532258855054,0.24707622900681003,0.09257441617029102,0.5774648152507361,0.15492963050147218,1.0,0.23681290836259908,0.08068442445733424,0.08068442445815968,0.15492963050147218,0.42132876472553127,0.8320925779331417
r027,6150294738,122.79472277309367,0.129282000035831,0.8473286705237688,0.02738813261331662,0.2984295289474743,0.2055543478970623,0.3913047099978863,0.07381296033892798,0.08633657044960093,0.061289350228255025,0.6509846803216401,0.30196936064328017,1.0,0.2689855679466733,9.005474553968703e-13,0.24752500127559704,0.30196936064328017,0.4872801175022729,0.7762940736841584
r028,3759082146,37.46107336874616,0.2669450002376595,0.9726632618918942,0.15603344391685922,0.29566928856777586,0.13024433266444513,0.4610942444711066,0.31942703331622635,0.25177230515214427,0.3870817614803085,0.6076019206758776,0.21520384135175508,1.0,0.23327072430037465,0.02000907837543049,0.07218233949234729,0.21520384135175508,0.6201378030776658,0.8154895432363463
r030,5701329648,72.52642260294095,0.1807199731350549,0.9148523085428776,0.07217930612033634,0.2993488839827573,0.18240667355884627,0.4162910944066682,0.15693837558420312,0.31387675116840624,9.468287754585217e-34,0.7532444478906105,0.506488895781221,1.0,0.29011507599500924,0.0,0.1953517401586805,0.506488895781221,0.5973371365237138,0.669519476017203
r031,8493021756,44.9164590125406,0.1911271048248668,0.9665290386112734,0.08523336205618615,0.19422422608663384,0.16845880868638183,0.21998964348688585,0.27947313980052385,0.12712768818579095,0.43181859141525675,0.7178248667091234,0.4356497334182467,1.0,0.2443619441245415,0.0,1.8013235497065487e-12,0.4356497334182467,0.5786712352756124,0.9091517592584095
r032,9172483560,37.53826112424008,0.2027539491470899,0.9762021976868118,0.093577693993582,0.21139554650458153,0.2024110690699793,0.2203800239391838,0.07431026569117967,0.10078294514701658,0.04783758623534276,0.5871733202396978,0.17434664047939563,1.0,0.1945512914257529,0.0,0.08068442445733424,0.17434664047939563,0.5149909807456237,0.5149909807464502
r033,3964175820,47.219959413887125,0.1632474572802154,0.9651212314269844,0.05952703042481463,0.3472549518209805,0.1532631721376875,0.5412467315042735,0.31941276615883374,0.12453442655151568,0.5142911057661518,0.5403422122286671,0.08068442445733424,1.0,0.15346771368582074,0.0,0.08068442445733424,0.08068442445733424,0.3304805239827971,0.4213287647255312
r034,6542307819,49.29836282273925,0.2576706176853187,0.9579916591064588,0.137759423316812,0.32178784225920665,0.25227097452052744,0.39130470999788586,0.3565411894900068,0.26008062344211696,0.4530017555378967,0.746755552108247,0.49351110421649397,1.0,0.3366615618756172,0.0,0.3219784390178102,0.49351110421649397,0.659355659731729,0.9091517592584087
r035,2158903674,49.22033479513743,0.2604703277627672,0.962002357900073,0.15100890835365333,0.19549733215729054,0.17123384191448948,0.21976082240009157,0.17071421623395044,0.22624877942105417,0.1151796530468467,0.6337670398255139,0.26753407965102777,1.0,0.17918662221536094,0.0,0.0521732611169168,0.26753407965102777,0.3930258330846727,0.432835758136049
r036,4936781025,51.69630671363734,0.2339192295581201,0.9394214584438768,0.12153582139138439,0.30539312914133443,0.23730687940330647,0.37347937887936244,0.31292576357573326,0.5585094603399626,0.06734206681150393,0.505784978463903,0.15173181852475595,0.8598381384030501,0.16781027591808806,0.0,0.08068442445847664,0.15173181852475595,0.24371500469331647,0.585494290386439
r037,567832491,37.51000375729774,0.2553635265821271,0.9707238680482774,0.13851690309904527,0.16995330550268117,0.1830921460590067,0.15681446494635562,0.27152790697284646,0.06339963629509338,0.4796561776505995,0.5468311080110307,0.09366221602206139,1.0,0.15391019859086302,0.0,0.09366221602206139,0.09366221602206139,0.24859184652353422,0.5149909807464502
r038,9731402568,56.472023510337976,0.1571616475804824,0.9581838695707242,0.05309446424468814,0.23454039625185363,0.24870076856452344,0.2203800239391838,0.06708707834236921,0.08633657044939566,0.04783758623534276,0.8520558670950418,0.7041117341900834,1.0,0.47694458286784275,0.1953517401577798,0.41450570961297695,0.7041117341900834,0.8471332360491751,0.8471332360503185
r039,914723658,49.22033479513743,0.2530171135246877,0.9620023579000732,0.14297509724178334,0.1842893815311849,0.14858911957548282,0.21998964348688702,0.3080690931254252,0.22300370818729293,0.3931344780635574,0.5128413469591796,0.1658445555153091,0.8598381384030501,0.16825076158972,0.0,0.11367129439749185,0.1658445555153091,0.16584455551620986,0.42822546145558515
r040,587391426,49.22033479513743,0.2017754073839025,0.9620023579000732,0.09056841844491785,0.33774184144239905,0.197183308834259,0.47830037405053916,0.2558853740018284,0.06339963629509338,0.44837111170856353,0.5468311080110307,0.09366221602206139,1.0,0.17735103392759444,0.0,0.09366221602206139,0.09366221602206139,0.4418807201304234,0.4963250794981065
r041,1078563924,53.01200103193793,0.2158387425530823,0.9613159465939568,0.10847382135229057,0.3097905817634295,0.16887780996132537,0.45070335356553365,0.4205898949712389,0.32688868417632594,0.5142911057661518,0.5000000000005712,1.1424025649492987e-12,1.0,0.1258772839303499,0.0,0.0,1.1424025649492987e-12,0.26639913422405853,0.4850090192537923
r042,9183752640,49.22033479513743,0.2447605946897819,0.9620023579000732,0.1240096378298955,0.18870294996148368,0.17485120710230828,0.20255469282065905,0.1440548989472569,0.23421949507592213,0.05389030281859167,0.6735417793405384,0.3470835586810768,1.0,0.2836077864732025,0.07104739406513624,0.26639913422291606,0.3470835586810768,0.4213287647240724,0.5149909807464502
