triple,budget,status,err_mHa,captured,wall_s,dim
"(1, 2, 3)",15,OK,365.3931112773181,0.5176330377054384,1.13252592086792,225
"(1, 2, 4)",5,OK,465.9875781404228,0.40498478862987614,1.1012670993804932,25
"(1, 2, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1284501552581787,64
"(1, 2, 4)",10,OK,458.77483945119303,0.4486034205091412,1.1319479942321777,100
"(1, 2, 4)",15,OK,294.5243494375287,0.5732385911630595,1.1314778327941895,225
"(1, 2, 5)",5,OK,465.9875781404228,0.40498478862987614,1.1025662422180176,25
"(1, 2, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1321711540222168,64
"(1, 2, 5)",10,OK,458.77036243655044,0.4487487018379794,1.1295688152313232,100
"(1, 2, 5)",15,OK,365.3931112773181,0.5176330377054383,1.1304218769073486,225
"(1, 2, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1018083095550537,25
"(1, 2, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1269099712371826,64
"(1, 2, 6)",10,OK,458.78706641676104,0.447909876441085,1.1250951290130615,100
"(1, 2, 6)",15,OK,365.3931112773181,0.5176330377054383,1.1271908283233643,225
"(1, 2, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1021099090576172,25
"(1, 2, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1330969333648682,64
"(1, 2, 7)",10,OK,458.76238480906386,0.45790178737274045,1.1294982433319092,100
"(1, 2, 7)",15,OK,365.3931112773181,0.5176330377054384,1.1382570266723633,225
"(1, 2, 8)",5,OK,465.9875781404228,0.40498478862987614,1.0998008251190186,25
"(1, 2, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1214869022369385,64
"(1, 2, 8)",10,OK,458.8115905347472,0.4380644407357623,1.1182560920715332,100
"(1, 2, 8)",15,OK,240.1625352889134,0.6137443107057516,1.128699779510498,225
"(1, 2, 9)",5,OK,465.9875781404228,0.40498478862987614,1.0980181694030762,25
"(1, 2, 9)",8,OK,460.5944441943688,0.4281959178354901,1.1266188621520996,64
"(1, 2, 9)",10,OK,376.308278777234,0.49099225481650605,1.1372411251068115,100
"(1, 2, 9)",15,OK,233.34141210869143,0.6168087900914776,1.1321141719818115,225
"(1, 3, 4)",5,OK,465.9875781404228,0.40498478862987614,1.1321349143981934,25
"(1, 3, 4)",8,OK,458.81235333945904,0.43786136826828376,1.1229760646820068,64
"(1, 3, 4)",10,OK,458.76238480906386,0.4579017873727405,1.1201798915863037,100
"(1, 3, 4)",15,OK,365.3773667024529,0.5188705860538558,1.121422290802002,225
"(1, 3, 5)",5,OK,465.9875781404228,0.40498478862987614,1.103294849395752,25
"(1, 3, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1210579872131348,64
"(1, 3, 5)",10,OK,458.76238480906386,0.4579017873727405,1.1287720203399658,100
"(1, 3, 5)",15,OK,365.4335079906108,0.5175877685217029,1.132615089416504,225
"(1, 3, 6)",5,OK,465.9875781404228,0.40498478862987614,1.1020166873931885,25
"(1, 3, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1268689632415771,64
"(1, 3, 6)",10,OK,458.76238480906386,0.45790178737274045,1.1255359649658203,100
"(1, 3, 6)",15,OK,365.4504865056092,0.5174272757180145,1.1296300888061523,225
"(1, 3, 7)",5,OK,465.9875781404228,0.40498478862987614,1.1052849292755127,25
"(1, 3, 7)",8,OK,458.81235333945904,0.43786136826828376,1.123002290725708,64
"(1, 3, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1261520385742188,100
"(1, 3, 7)",15,OK,365.4335079906108,0.5175877685217027,1.1336898803710938,225
"(1, 3, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1029438972473145,25
"(1, 3, 8)",8,OK,458.81235333945904,0.43786136826828376,1.110461950302124,64
"(1, 3, 8)",10,OK,458.8115905347472,0.4380644407357623,1.128735065460205,100
"(1, 3, 8)",15,OK,296.5457231982533,0.5775381093186457,1.1302838325500488,225
"(1, 3, 9)",5,OK,465.9875781404228,0.40498478862987614,1.1010971069335938,25
"(1, 3, 9)",8,OK,458.81235333945904,0.43786136826828376,1.125330924987793,64
"(1, 3, 9)",10,OK,372.3771489029106,0.49359580526178665,1.1293880939483643,100
"(1, 3, 9)",15,OK,295.92940093880316,0.5734402956236083,1.1296758651733398,225
"(1, 4, 5)",5,OK,465.9875781404228,0.40498478862987614,1.1055660247802734,25
"(1, 4, 5)",8,OK,458.81235333945904,0.43786136826828376,1.1236052513122559,64
"(1, 4, 5)",10,OK,458.76238480906386,0.4579017873727404,1.1252648830413818,100
"(1, 4, 5)",15,OK,365.3773667024529,0.5188705860538558,1.123595952987671,225
"(1, 4, 6)",5,OK,465.9875781404228,0.4049847886298761,1.1063499450683594,25
"(1, 4, 6)",8,OK,458.81235333945904,0.43786136826828376,1.1136360168457031,64
"(1, 4, 6)",10,OK,458.76238480906386,0.4579017873727404,1.1293187141418457,100
"(1, 4, 6)",15,OK,365.4504865056092,0.5174272757180144,1.1217572689056396,225
"(1, 4, 7)",5,OK,465.9875781404228,0.40498478862987614,1.104675054550171,25
"(1, 4, 7)",8,OK,458.81235333945904,0.43786136826828376,1.1129519939422607,64
"(1, 4, 7)",10,OK,458.76238480906386,0.4579017873727404,1.1239087581634521,100
"(1, 4, 7)",15,OK,294.5243494375287,0.5732385911630595,1.148852825164795,225
"(1, 4, 8)",5,OK,465.9875781404228,0.40498478862987614,1.1012401580810547,25
"(1, 4, 8)",8,OK,458.81235333945904,0.43786136826828376,1.1139161586761475,64
"(1, 4, 8)",10,OK,458.8115905347472,0.4380644407357623,1.1219370365142822,100
"(1, 4, 8)",15,OK,296.56640998204864,0.5760241298828297,1.1306860446929932,225
