triple,err_mHa,captured,retained_J_oppspin,source,status,jab_weight
"(1, 2, 3)",365.3931112773181,0.5176330377054384,0.0345235504939288,C1_new,OK,4.687150958038624
"(1, 2, 4)",294.5243494375287,0.5732385911630595,0.0337292630115381,C1_new,OK,4.409806189914862
"(1, 2, 5)",365.3931112773181,0.5176330377054383,0.0337292630115381,C1_new,OK,4.409806189914862
"(1, 2, 6)",365.3931112773181,0.5176330377054383,0.0345235504939288,C1_new,OK,4.687150958038625
"(1, 2, 7)",365.3931112773181,0.5176330377054384,0.0364224086038045,C1_new,OK,5.0617315866224395
"(1, 2, 8)",240.1625352889134,0.6137443107057516,0.0636281860892701,C1_new,OK,7.724618652937137
"(1, 2, 9)",233.34141210869143,0.6168087900914776,0.0980185846815463,C1_new,OK,8.606656673386103
"(1, 3, 4)",365.3773667024529,0.5188705860538558,0.0318304049016624,C1_new,OK,4.035225561331047
"(1, 3, 5)",365.4335079906108,0.5175877685217029,0.0318304049016624,C1_new,OK,4.035225561331047
"(1, 3, 6)",365.4504865056092,0.5174272757180145,0.0326246923840531,C1_new,OK,4.31257032945481
"(1, 3, 7)",365.4335079906108,0.5175877685217027,0.0345235504939288,C1_new,OK,4.687150958038625
"(1, 3, 9)",295.92940093880316,0.5734402956236083,0.0961197265716706,C1_new,OK,8.23207604480229
"(1, 4, 5)",365.3773667024529,0.5188705860538558,0.0310361174192717,C1_new,OK,3.7578807932072844
"(1, 4, 6)",365.4504865056092,0.5174272757180144,0.0318304049016624,C1_new,OK,4.035225561331047
"(1, 4, 7)",294.5243494375287,0.5732385911630595,0.0337292630115381,C1_new,OK,4.409806189914862
"(1, 4, 8)",296.56640998204864,0.5760241298828297,0.0609350404970037,C1_new,OK,7.0726932562295595
"(1, 4, 9)",295.92940093880316,0.5734402956236082,0.0953254390892799,C1_new,OK,7.954731276678526
"(1, 5, 6)",365.4504865056092,0.5174272757180144,0.0318304049016624,C1_new,OK,4.035225561331048
"(1, 5, 7)",365.4335079906108,0.5175877685217027,0.0337292630115381,C1_new,OK,4.409806189914862
"(1, 5, 8)",296.56640998204773,0.5760241298828006,0.0609350404970037,C1_new,OK,7.0726932562295595
"(1, 5, 9)",295.92940093880316,0.5734402956236082,0.0953254390892799,C1_new,OK,7.954731276678526
"(1, 6, 7)",458.2753501346808,0.4588397102591525,0.0345235504939288,C1_new,OK,4.687150958038625
"(1, 7, 8)",240.1625352889134,0.6137443107057515,0.0636281860892701,C1_new,OK,7.724618652937137
"(1, 7, 9)",230.3124333400728,0.6258653439561566,0.0980185846815462,C1_new,OK,8.606656673386103
"(2, 3, 4)",458.6996615694874,0.470193930372267,0.0046246274161968,C1_new,OK,1.3723384950163493
"(2, 3, 6)",458.6996615694874,0.470193930372267,0.0054189148985875,C1_new,OK,1.6496832631401122
"(2, 3, 7)",458.549396056509,0.4730280434619366,0.0073177730084632,C1_new,OK,2.024263891723927
"(2, 3, 8)",458.3386915538306,0.4590415324649288,0.0345235504939288,C1_new,OK,4.687150958038624
"(2, 3, 9)",301.5627342514975,0.5700632483773542,0.068913949086205,C1_new,OK,5.569188978487591
"(2, 4, 6)",458.6996615694874,0.470193930372267,0.0046246274161968,C1_new,OK,1.3723384950163493
"(2, 4, 7)",458.69520919153393,0.4700962892052299,0.0065234855260725,C1_new,OK,1.746919123600164
"(2, 4, 8)",446.27385466703015,0.4726305812957362,0.0337292630115381,C1_new,OK,4.409806189914862
"(2, 4, 9)",301.5627342514975,0.5700632483773542,0.0681196616038142,C1_new,OK,5.291844210363828
"(2, 5, 7)",458.62551271719366,0.4714804052538836,0.0065234855260725,C1_new,OK,1.746919123600164
"(2, 5, 8)",446.27385466703015,0.4726305812957362,0.0337292630115381,C1_new,OK,4.409806189914862
"(2, 5, 9)",238.28833543724937,0.6275684925998496,0.0681196616038142,C1_new,OK,5.291844210363828
"(2, 6, 7)",458.549396056509,0.4730280434619365,0.0073177730084632,C1_new,OK,2.024263891723927
"(2, 6, 8)",446.27385466703015,0.4726305812957362,0.0345235504939288,C1_new,OK,4.687150958038624
"(2, 6, 9)",238.28833543724937,0.6275684925998497,0.068913949086205,C1_new,OK,5.569188978487591
"(2, 7, 8)",365.3359286769646,0.5176993128688027,0.0364224086038045,C1_new,OK,5.0617315866224395
"(2, 7, 9)",236.38581837080696,0.6297827813983574,0.0708128071960806,C1_new,OK,5.943769607071405
"(2, 8, 9)",293.95766463686533,0.5643467347777683,0.0980185846815462,C1_new,OK,8.606656673386103
"(3, 4, 8)",458.3386915538306,0.4590415324649288,0.0318304049016624,C1_new,OK,4.035225561331047
"(3, 4, 9)",236.38581837080696,0.6297827813983574,0.0662208034939386,C1_new,OK,4.917263581780013
"(3, 5, 8)",458.35173990481337,0.4590313394325113,0.0318304049016624,C1_new,OK,4.035225561331047
"(3, 5, 9)",236.38581837080696,0.6297827813983574,0.0662208034939386,C1_new,OK,4.917263581780013
"(3, 6, 7)",458.6996615694874,0.470193930372267,0.0054189148985875,C1_new,OK,1.649683263140112
"(3, 6, 8)",458.3452761510429,0.459059116929777,0.0326246923840531,C1_new,OK,4.312570329454809
"(3, 6, 9)",236.38581837080696,0.6297827813983575,0.0670150909763293,C1_new,OK,5.194608349903776
"(3, 7, 8)",458.2881897578508,0.459357921052832,0.0345235504939288,C1_new,OK,4.687150958038624
"(3, 8, 9)",294.8068205631822,0.5735870187954646,0.0961197265716706,C1_new,OK,8.232076044802287
