ordering,triple,budget,status,err_mHa,captured,wall_s,dim
rand007,"(1, 6, 7)",8,OK,385.2231777025219,0.4249545502280057,1.1084609031677246,64
rand007,"(0, 2, 7)",8,OK,330.0181308827215,0.48485830101590416,1.1066386699676514,64
rand007,"(3, 6, 9)",8,OK,340.3761458456982,0.4837486560675791,1.1023011207580566,64
rand007,"(1, 2, 6)",8,OK,385.2231777025219,0.42495455022800566,1.0964410305023193,64
rand007,"(1, 5, 7)",8,OK,383.23373309193,0.4314824100095728,1.134289026260376,64
rand007,"(0, 2, 9)",8,OK,281.7690053549171,0.5612341079019963,1.1287519931793213,64
rand007,"(5, 7, 9)",8,OK,340.3761458456982,0.4837486560675791,1.1010541915893555,64
rand007,"(2, 3, 5)",8,OK,384.72182893454755,0.42892173559148156,1.0965170860290527,64
rand007,"(0, 5, 7)",8,OK,391.52061970531093,0.4388811515533666,1.12205171585083,64
rand007,"(1, 5, 6)",8,OK,385.2231777025219,0.4249545502280057,1.1191840171813965,64
rand007,"(0, 2, 6)",8,OK,391.52061970531093,0.4388811515533666,1.1039297580718994,64
rand007,"(5, 6, 7)",8,OK,470.62862411116504,0.3649952644156055,1.1028258800506592,64
rand007,"(2, 6, 9)",8,OK,340.3761458456982,0.4837486560675791,1.096897840499878,64
rand007,"(1, 3, 5)",8,OK,379.8710147056905,0.43843973429523525,1.1009302139282227,64
rand007,"(4, 6, 8)",8,OK,402.7820473699162,0.4215876222875695,1.0989210605621338,64
rand007,"(0, 6, 7)",8,OK,391.52061970531093,0.4388811515533666,1.104137897491455,64
rand007,"(2, 4, 7)",8,OK,384.72182893454755,0.42892173559148156,1.1006109714508057,64
rand007,"(3, 4, 6)",8,OK,385.1929708269468,0.4267250401357678,1.1013479232788086,64
rand007,"(0, 1, 9)",8,OK,330.22245548768313,0.5046032679833067,1.1039891242980957,64
rand007,"(0, 3, 4)",8,OK,330.0181308827215,0.48485830101590416,1.1028039455413818,64
rand007,"(3, 8, 9)",8,OK,342.66637084704945,0.4800662999202993,1.0985960960388184,64
rand007,"(5, 6, 8)",8,OK,402.7820473699162,0.4215876222875695,1.103672981262207,64
rand007,"(0, 5, 6)",8,OK,391.52061970531093,0.4388811515533666,1.1033332347869873,64
rand007,"(2, 3, 9)",8,OK,333.0843750223336,0.4835321190417098,1.1030290126800537,64
rand007,"(0, 4, 8)",8,OK,401.11933888706466,0.4223508558078549,1.1042077541351318,64
rand007,"(1, 2, 7)",8,OK,380.4628259856644,0.4382176710818434,1.1063261032104492,64
rand007,"(4, 5, 6)",8,OK,470.39068845184937,0.36689843125872484,1.1029059886932373,64
rand007,"(0, 4, 9)",8,OK,281.7690053549171,0.5612341079019963,1.11081862449646,64
rand007,"(0, 2, 3)",8,OK,330.0181308827215,0.48485830101590416,1.1060469150543213,64
rand007,"(2, 6, 7)",8,OK,384.72182893454755,0.4289217355914816,1.1020410060882568,64
rand007,"(0, 2, 4)",8,OK,379.8001788354899,0.44147001883517734,1.1026701927185059,64
rand007,"(4, 6, 9)",8,OK,340.3761458456982,0.4837486560675791,1.1037540435791016,64
rand007,"(0, 1, 3)",8,OK,330.15422823611385,0.48288741070200975,1.1020429134368896,64
rand007,"(1, 7, 9)",8,OK,277.67252386926253,0.5374235183130388,1.1083698272705078,64
rand007,"(2, 3, 7)",8,OK,384.72182893454755,0.4289217355914816,1.107996940612793,64
rand007,"(0, 1, 5)",8,OK,330.15422823611385,0.48288741070200975,1.1088569164276123,64
rand007,"(3, 5, 9)",8,OK,340.3761458456982,0.4837486560675791,1.1067008972167969,64
