ordering,triple,err_mHa,captured,retained_J_oppspin,s1_amp_os,s1_ampJ_os
rand007,"(0, 4, 9)",268.2063642335324,0.5955224169443551,0.129715837681556,0.316100181058383,0.4918552698823085
rand007,"(0, 2, 3)",212.1238972681727,0.6763101581038711,0.0689139490862049,0.29044067346404046,0.30358577671471
rand007,"(2, 6, 7)",256.01746921348314,0.5638144127688542,0.0073177730084632,0.27615288053644577,0.09804760877306813
rand007,"(0, 2, 4)",212.1238972681727,0.6763101581038711,0.0681196616038142,0.3032260795123736,0.29118282753713065
rand007,"(4, 6, 9)",269.1237568080016,0.5923666542545104,0.0662208034939386,0.30139672395297673,0.26804848740537085
rand007,"(0, 1, 3)",261.59552953727336,0.5995156824584572,0.0961197265716705,0.30322607951471653,0.45551399690317373
rand007,"(1, 7, 9)",189.72591267387796,0.6759621879798738,0.0980185846815462,0.3013967239566718,0.46864895865397593
rand007,"(2, 3, 7)",255.8458898518392,0.5655187337498514,0.0073177730084632,0.2757372163661109,0.09795462032178504
rand007,"(0, 1, 5)",261.59552953727336,0.5995156824584572,0.0953254390892798,0.31821810740620676,0.4432825776524351
rand007,"(3, 5, 9)",175.54212629681308,0.719213463812387,0.0662208034939386,0.30318768162579907,0.26812702888092854
