chain,permutation,triple,role,tag,err_lucj,full_capture,depth,two_qubit_count,n_unique_alpha,n_unique_beta,dim,status,err_mHa,captured,retained_J_samespin,S0
identity,01234567891011,"(2, 3, 8)",triple,identity_2-3-8,703.6240200809516,1.0000000000005316,5510,40080,284,282,3025,OK,284.7739230960542,0.7079604583674034,0.42224937674827345,0.8746024580838957
identity,01234567891011,"(3, 9, 10)",triple,identity_3-9-10,662.6370931990095,1.0000000000006286,5510,40080,319,320,3025,OK,271.9287665363481,0.7756405548661403,0.42224937674827345,1.6971263173370204
identity,01234567891011,"(0, 1, 11)",triple,identity_0-1-11,561.9773054554571,1.0000000000007685,5510,40080,388,380,3025,OK,201.95334111713237,0.8586394497583305,0.42224937674827345,3.639575520746445
identity,01234567891011,"(1, 4, 11)",triple,identity_1-4-11,613.0896189297346,1.0000000000007336,5510,40080,355,359,3025,OK,214.08910688433025,0.8290399284478027,0.42224937674827345,2.4543201606952554
identity,01234567891011,"(1, 4, 10)",triple,identity_1-4-10,626.1884010773429,1.0000000000005524,5510,40080,355,360,3025,OK,209.30602988528335,0.8506300889957912,0.42224937674827345,2.295808994094598
identity,01234567891011,"(1, 2, 6)",triple,identity_1-2-6,671.5266601404437,1.0000000000006248,5510,40080,326,306,3025,OK,273.0067146840156,0.7852681996400132,0.42224937674827345,1.4212095967534368
identity,01234567891011,"(0, 8, 11)",triple,identity_0-8-11,602.6136977616261,1.000000000000657,5438,40080,402,414,3025,OK,202.0433471720935,0.8626804489605241,0.42224937674827345,2.8170516614933208
identity,01234567891011,"(0, 2, 10)",triple,identity_0-2-10,615.0394831474841,1.0000000000007536,5438,40080,365,360,3025,OK,209.32299875812532,0.836429384926608,0.42224937674827345,2.6781613431908022
identity,01234567891011,"(2, 3, 7)",triple,identity_2-3-7,703.6455144193496,1.0000000000005311,5510,40080,284,266,3025,OK,306.5921979891755,0.6183611993141301,0.42224937674827345,0.6703821238864877
identity,01234567891011,"(2, 6, 7)",triple,identity_2-6-7,713.339001777058,1.000000000000517,5510,40080,264,257,3025,OK,348.2898488691717,0.5611802458323372,0.42224937674827345,0.39446540330290447
identity,01234567891011,"(3, 4, 8)",triple,identity_3-4-8,704.8027186087893,1.0000000000004936,5510,40080,280,278,3025,OK,262.2609030231615,0.7603180309561016,0.42224937674827345,0.650761275588349
identity,01234567891011,"(8, 10, 11)",triple,identity_8-10-11,617.6651469336321,1.0000000000007292,5438,40080,361,355,3025,OK,208.61798536816423,0.840450367408882,0.42224937674827345,2.658540494892664
identity,01234567891011,"(0, 3, 6)",triple,identity_0-3-6,667.8509330608904,1.0000000000007025,5510,40080,326,331,3025,OK,236.4042259391681,0.7900022603751268,0.42224937674827345,1.5600999150559556
identity,01234567891011,"(5, 8, 11)",triple,identity_5-8-11,668.0346267180539,1.0000000000006801,5510,40080,341,328,3025,OK,236.37300197606237,0.7900033450612968,0.42224937674827345,1.5600999150559565
identity,01234567891011,"(0, 1, 4)",triple,identity_0-1-4,617.6150227529433,1.0000000000007112,5510,40080,354,362,3025,OK,210.84381475293412,0.835508431815547,0.42224937674827345,2.4543201606952545
identity,01234567891011,"(6, 8, 11)",triple,identity_6-8-11,668.2678415477312,1.0000000000006972,5438,40080,330,325,3025,OK,236.52954211820543,0.7911125878158809,0.42224937674827345,1.5600999150559562
identity,01234567891011,"(6, 7, 8)",triple,identity_6-7-8,715.3926451314874,1.0000000000004814,5510,40080,262,265,3025,OK,333.2639682939771,0.6036960132632542,0.42224937674827345,0.37484455500476604
identity,01234567891011,"(2, 10, 11)",triple,identity_2-10-11,612.9364141434053,1.0000000000007487,5438,40080,349,350,3025,OK,207.43411696003022,0.8382248348868417,0.42224937674827345,2.6781613431908027
identity,01234567891011,"(1, 3, 4)",triple,identity_1-3-4,664.1590806220847,1.0000000000006597,5510,40080,325,305,3025,OK,250.1024476891871,0.7842102311717085,0.42224937674827345,1.4732851348414733
identity,01234567891011,"(1, 5, 8)",triple,identity_1-5-8,672.6134737832581,1.000000000000612,5510,40080,309,305,3025,OK,272.01195817497137,0.7824853159971775,0.42224937674827345,1.4015887484552985
identity,01234567891011,"(2, 3, 4)",triple,identity_2-3-4,705.6108473857421,1.000000000000533,5510,40080,286,274,3025,OK,281.56600416605215,0.663967023332373,0.42224937674827345,0.6703821238864874
identity,01234567891011,"(0, 7, 9)",triple,identity_0-7-9,652.385838639475,1.0000000000007017,5510,40080,337,330,3025,OK,220.51130090812876,0.8140447334548986,0.42224937674827345,1.6514171497402692
identity,01234567891011,"(0, 6, 9)",triple,identity_0-6-9,662.7440490588015,1.0000000000007083,5510,40080,341,332,3025,OK,219.7979082211532,0.8097230815581857,0.42224937674827345,1.5797207633540942
identity,01234567891011,"(3, 5, 6)",triple,identity_3-5-6,723.3832020510818,1.000000000000492,5510,40080,258,248,3025,OK,348.82425453815813,0.604973103154931,0.42224937674827345,0.30314816861859084
identity,01234567891011,"(1, 2, 7)",triple,identity_1-2-7,662.6130940267103,1.0000000000006344,5510,40080,310,316,3025,OK,228.64682024919603,0.8100065551358796,0.42224937674827345,1.4929059831396119
identity,01234567891011,"(1, 6, 8)",triple,identity_1-6-8,672.6681723766887,1.000000000000607,5510,40080,305,307,3025,OK,275.6283948442615,0.7794153361429532,0.42224937674827345,1.4015887484552985
identity,01234567891011,"(5, 7, 10)",triple,identity_5-7-10,672.778819771338,1.0000000000005924,5510,40080,285,303,3025,OK,265.11405711517,0.7641209383637928,0.42224937674827345,1.1973684142578906
identity,01234567891011,"(0, 2, 9)",triple,identity_0-2-9,653.9699256650238,1.0000000000007205,5510,40080,341,329,3025,OK,213.85675444116714,0.8161497807294814,0.42224937674827345,1.8752583322358158
identity,01234567891011,"(1, 2, 4)",triple,identity_1-2-4,662.9271849087672,1.00000000000065,5510,40080,313,314,3025,OK,226.4438118322687,0.8008003433664186,0.42224937674827345,1.4929059831396119
identity,01234567891011,default,default,identity_default,655.4204390354244,1.0000000000006946,5438,40080,334,335,3025,OK,240.79318115809656,0.7857650053717666,0.42224937674827345,1.6317963014421304
identity,01234567891011,"(5, 6, 9)",triple,identity_5-6-9,722.452759960106,1.0000000000004938,5510,40080,244,248,3025,OK,366.6930360082006,0.5493540507992094,0.42224937674827345,0.3227690169167293
identity,01234567891011,no_ab,no_ab,identity_noab,733.685745909952,1.0000000000006413,5438,39864,213,216,3025,OK,369.6061584450945,0.5445093739337182,0.42224937674827345,0.0
reverse,11109876543210,"(1, 3, 8)",triple,reverse_1-3-8,662.9615895394636,1.0000000000005955,5510,40080,313,323,3025,OK,258.2996701053162,0.8012781574942572,0.42224937674827345,1.6775054690388815
reverse,11109876543210,"(3, 4, 9)",triple,reverse_3-4-9,704.6381445297811,1.0000000000005334,5510,40080,283,287,3025,OK,296.9484199029466,0.6571836537563213,0.42224937674827345,0.6703821238864874
reverse,11109876543210,"(2, 6, 10)",triple,reverse_2-6-10,671.7639519479235,1.0000000000006255,5438,40080,312,314,3025,OK,264.02192856403417,0.7943540651645453,0.42224937674827345,1.421209596753437
reverse,11109876543210,"(1, 6, 9)",triple,reverse_1-6-9,671.7445051831419,1.0000000000006477,5510,40080,313,321,3025,OK,266.45354235915875,0.7921598487256148,0.42224937674827345,1.4212095967534368
reverse,11109876543210,"(4, 6, 9)",triple,reverse_4-6-9,713.3576206160797,1.0000000000005353,5510,40080,268,261,3025,OK,350.7726271291176,0.5603673135286191,0.42224937674827345,0.39446540330290425
reverse,11109876543210,"(4, 10, 11)",triple,reverse_4-10-11,613.1816774454819,1.0000000000007485,5438,40080,345,350,3025,OK,211.21125030504118,0.835540665037674,0.42224937674827345,2.4543201606952563
reverse,11109876543210,"(3, 6, 11)",triple,reverse_3-6-11,662.073013112149,1.0000000000007179,5510,40080,322,335,3025,OK,241.1528739280584,0.7839758572007147,0.42224937674827345,1.5600999150559562
reverse,11109876543210,"(0, 3, 11)",triple,reverse_0-3-11,602.5426954784052,1.0000000000006302,5510,40080,384,410,3025,OK,202.0433471720935,0.8626804489605239,0.42224937674827345,2.8170516614933208
reverse,11109876543210,"(5, 6, 11)",triple,reverse_5-6-11,674.2608865629336,1.0000000000006988,5510,40080,318,322,3025,OK,222.89820458809118,0.8028316278854065,0.42224937674827345,1.2841831944723732
reverse,11109876543210,"(1, 2, 8)",triple,reverse_1-2-8,662.55756011833,1.0000000000006601,5510,40080,322,312,3025,OK,253.79029578334666,0.8083983187949574,0.42224937674827345,1.6971263173370201
reverse,11109876543210,"(3, 6, 7)",triple,reverse_3-6-7,713.8348310759284,1.0000000000005151,5510,40080,266,256,3025,OK,340.8955183699618,0.5866486077661476,0.42224937674827345,0.374844555004766
reverse,11109876543210,"(0, 2, 8)",triple,reverse_0-2-8,652.6680696993026,1.0000000000007185,5438,40080,343,339,3025,OK,213.8821379271576,0.8164527059624126,0.42224937674827345,1.8556374839376772
reverse,11109876543210,"(0, 6, 7)",triple,reverse_0-6-7,663.3417768030085,1.0000000000006612,5510,40080,321,326,3025,OK,242.60380046598584,0.7864841978310484,0.42224937674827345,1.3558795808585475
reverse,11109876543210,"(3, 5, 11)",triple,reverse_3-5-11,661.9274341428536,1.0000000000007288,5510,40080,327,331,3025,OK,240.11028529002942,0.7873896114909342,0.42224937674827345,1.5600999150559562
reverse,11109876543210,"(4, 9, 10)",triple,reverse_4-9-10,662.7422041910904,1.0000000000006353,5510,40080,311,317,3025,OK,228.35201805219185,0.8100429500475225,0.42224937674827345,1.492905983139612
reverse,11109876543210,"(5, 6, 7)",triple,reverse_5-6-7,723.9656977249069,1.0000000000004516,5510,40080,245,241,3025,OK,355.21471773790836,0.5523377609378334,0.42224937674827345,0.09892783442118286
reverse,11109876543210,"(4, 9, 11)",triple,reverse_4-9-11,654.1057072377043,1.0000000000006826,5510,40080,327,342,3025,OK,218.07784550492215,0.810230120343442,0.42224937674827345,1.6514171497402697
reverse,11109876543210,"(4, 5, 9)",triple,reverse_4-5-9,713.3819756631965,1.0000000000005327,5510,40080,258,258,3025,OK,351.01608213517466,0.5604238168966742,0.42224937674827345,0.3944654033029043
reverse,11109876543210,"(2, 6, 11)",triple,reverse_2-6-11,663.006187393421,1.0000000000006644,5438,40080,333,337,3025,OK,215.01077103312127,0.8187401643292628,0.42224937674827345,1.5797207633540946
reverse,11109876543210,"(1, 3, 5)",triple,reverse_1-3-5,672.3044516711525,1.0000000000006062,5510,40080,307,295,3025,OK,276.73867237308514,0.7789622910412648,0.42224937674827345,1.4015887484552982
reverse,11109876543210,"(0, 5, 9)",triple,reverse_0-5-9,662.9179224050858,1.0000000000007108,5510,40080,336,323,3025,OK,215.6350025802567,0.8176228556544441,0.42224937674827345,1.5797207633540942
reverse,11109876543210,"(2, 4, 10)",triple,reverse_2-4-10,663.365207474726,1.0000000000006781,5438,40080,319,317,3025,OK,222.99732012925233,0.8163387883689388,0.42224937674827345,1.492905983139612
reverse,11109876543210,"(2, 3, 10)",triple,reverse_2-3-10,663.239031835019,1.000000000000657,5510,40080,325,325,3025,OK,258.83371960298973,0.8063701701050514,0.42224937674827345,1.6971263173370204
reverse,11109876543210,"(0, 1, 5)",triple,reverse_0-1-5,623.6280067573716,1.000000000000712,5510,40080,346,352,3025,OK,211.88167275931846,0.8333980427799963,0.42224937674827345,2.3826237743090797
reverse,11109876543210,"(7, 9, 11)",triple,reverse_7-9-11,659.5199014977879,1.0000000000007068,5510,40080,350,341,3025,OK,220.01963864431673,0.807560619033133,0.42224937674827345,1.6514171497402699
reverse,11109876543210,"(2, 3, 6)",triple,reverse_2-3-6,713.4125399657023,1.0000000000005167,5510,40080,261,262,3025,OK,335.3473279653372,0.5991387777354741,0.42224937674827345,0.5986857375003125
reverse,11109876543210,"(0, 1, 10)",triple,reverse_0-1-10,577.7023776181522,1.0000000000007703,5510,40080,394,390,3025,OK,206.08051721592346,0.8427231707950933,0.42224937674827345,3.4810643541457873
reverse,11109876543210,"(4, 5, 8)",triple,reverse_4-5-8,713.8823196191879,1.000000000000498,5510,40080,255,256,3025,OK,346.253369706119,0.5812789387222612,0.42224937674827345,0.3748445550047659
reverse,11109876543210,"(5, 9, 10)",triple,reverse_5-9-10,671.654186188789,1.0000000000006177,5510,40080,318,312,3025,OK,279.34732430230724,0.7550063699440839,0.42224937674827345,1.4212095967534373
reverse,11109876543210,"(2, 3, 8)",triple,reverse_2-3-8,703.6240200809516,1.0000000000005316,5510,40080,284,282,3025,OK,284.7739230960542,0.7079604583674034,0.42224937674827345,0.8746024580838957
reverse,11109876543210,"(2, 3, 11)",triple,reverse_2-3-11,651.1238076768677,1.0000000000007074,5510,40080,345,337,3025,OK,214.9442606919365,0.8174619420296773,0.42224937674827345,1.855637483937678
reverse,11109876543210,"(3, 9, 10)",triple,reverse_3-9-10,662.6370931990095,1.0000000000006286,5510,40080,319,320,3025,OK,271.9287665363481,0.7756405548661403,0.42224937674827345,1.6971263173370204
reverse,11109876543210,"(0, 1, 11)",triple,reverse_0-1-11,561.9773054554571,1.0000000000007685,5510,40080,388,380,3025,OK,201.95334111713237,0.8586394497583305,0.42224937674827345,3.639575520746445
reverse,11109876543210,"(1, 2, 6)",triple,reverse_1-2-6,671.5266601404437,1.0000000000006248,5510,40080,326,306,3025,OK,273.0067146840156,0.7852681996400132,0.42224937674827345,1.4212095967534368
reverse,11109876543210,"(1, 4, 11)",triple,reverse_1-4-11,613.0896189297346,1.0000000000007336,5510,40080,355,359,3025,OK,214.08910688433025,0.8290399284478027,0.42224937674827345,2.4543201606952554
reverse,11109876543210,"(1, 4, 10)",triple,reverse_1-4-10,626.1884010773429,1.0000000000005524,5510,40080,355,360,3025,OK,209.30602988528335,0.8506300889957912,0.42224937674827345,2.295808994094598
reverse,11109876543210,"(3, 4, 8)",triple,reverse_3-4-8,704.8027186087893,1.0000000000004936,5510,40080,280,278,3025,OK,262.2609030231615,0.7603180309561016,0.42224937674827345,0.650761275588349
reverse,11109876543210,"(0, 8, 11)",triple,reverse_0-8-11,602.6136977616261,1.000000000000657,5438,40080,402,414,3025,OK,202.0433471720935,0.8626804489605241,0.42224937674827345,2.8170516614933208
reverse,11109876543210,"(0, 2, 10)",triple,reverse_0-2-10,615.0394831474841,1.0000000000007536,5438,40080,365,360,3025,OK,209.32299875812532,0.836429384926608,0.42224937674827345,2.6781613431908022
reverse,11109876543210,"(2, 3, 7)",triple,reverse_2-3-7,703.6455144193496,1.0000000000005311,5510,40080,284,266,3025,OK,306.5921979891755,0.6183611993141301,0.42224937674827345,0.6703821238864877
reverse,11109876543210,"(2, 6, 7)",triple,reverse_2-6-7,713.339001777058,1.000000000000517,5510,40080,264,257,3025,OK,348.2898488691717,0.5611802458323372,0.42224937674827345,0.39446540330290447
reverse,11109876543210,"(0, 3, 6)",triple,reverse_0-3-6,667.8509330608904,1.0000000000007025,5510,40080,326,331,3025,OK,236.4042259391681,0.7900022603751268,0.42224937674827345,1.5600999150559556
reverse,11109876543210,"(8, 10, 11)",triple,reverse_8-10-11,617.6651469336321,1.0000000000007292,5438,40080,361,355,3025,OK,208.61798536816423,0.840450367408882,0.42224937674827345,2.658540494892664
reverse,11109876543210,"(5, 8, 11)",triple,reverse_5-8-11,668.0346267180539,1.0000000000006801,5510,40080,341,328,3025,OK,236.37300197606237,0.7900033450612968,0.42224937674827345,1.5600999150559565
reverse,11109876543210,"(0, 1, 4)",triple,reverse_0-1-4,617.6150227529433,1.0000000000007112,5510,40080,354,362,3025,OK,210.84381475293412,0.835508431815547,0.42224937674827345,2.4543201606952545
reverse,11109876543210,"(6, 7, 8)",triple,reverse_6-7-8,715.3926451314874,1.0000000000004814,5510,40080,262,265,3025,OK,333.2639682939771,0.6036960132632542,0.42224937674827345,0.37484455500476604
reverse,11109876543210,"(6, 8, 11)",triple,reverse_6-8-11,668.2678415477312,1.0000000000006972,5438,40080,330,325,3025,OK,236.52954211820543,0.7911125878158809,0.42224937674827345,1.5600999150559562
reverse,11109876543210,"(2, 10, 11)",triple,reverse_2-10-11,612.9364141434053,1.0000000000007487,5438,40080,349,350,3025,OK,207.43411696003022,0.8382248348868417,0.42224937674827345,2.6781613431908027
reverse,11109876543210,"(1, 3, 4)",triple,reverse_1-3-4,664.1590806220847,1.0000000000006597,5510,40080,325,305,3025,OK,250.1024476891871,0.7842102311717085,0.42224937674827345,1.4732851348414733
reverse,11109876543210,"(2, 3, 4)",triple,reverse_2-3-4,705.6108473857421,1.000000000000533,5510,40080,286,274,3025,OK,281.56600416605215,0.663967023332373,0.42224937674827345,0.6703821238864874
reverse,11109876543210,"(1, 5, 8)",triple,reverse_1-5-8,672.6134737832581,1.000000000000612,5510,40080,309,305,3025,OK,272.01195817497137,0.7824853159971775,0.42224937674827345,1.4015887484552985
reverse,11109876543210,"(3, 5, 6)",triple,reverse_3-5-6,723.3832020510818,1.000000000000492,5510,40080,258,248,3025,OK,348.82425453815813,0.604973103154931,0.42224937674827345,0.30314816861859084
reverse,11109876543210,"(0, 6, 9)",triple,reverse_0-6-9,662.7440490588015,1.0000000000007083,5510,40080,341,332,3025,OK,219.7979082211532,0.8097230815581857,0.42224937674827345,1.5797207633540942
reverse,11109876543210,"(0, 7, 9)",triple,reverse_0-7-9,652.385838639475,1.0000000000007017,5510,40080,337,330,3025,OK,220.51130090812876,0.8140447334548986,0.42224937674827345,1.6514171497402692
reverse,11109876543210,"(1, 6, 8)",triple,reverse_1-6-8,672.6681723766887,1.000000000000607,5510,40080,305,307,3025,OK,275.6283948442615,0.7794153361429532,0.42224937674827345,1.4015887484552985
reverse,11109876543210,"(1, 2, 7)",triple,reverse_1-2-7,662.6130940267103,1.0000000000006344,5510,40080,310,316,3025,OK,228.64682024919603,0.8100065551358796,0.42224937674827345,1.4929059831396119
reverse,11109876543210,"(5, 7, 10)",triple,reverse_5-7-10,672.778819771338,1.0000000000005924,5510,40080,285,303,3025,OK,265.11405711517,0.7641209383637928,0.42224937674827345,1.1973684142578906
reverse,11109876543210,"(0, 2, 9)",triple,reverse_0-2-9,653.9699256650238,1.0000000000007205,5510,40080,341,329,3025,OK,213.85675444116714,0.8161497807294814,0.42224937674827345,1.8752583322358158
