chain,triple,err_lucj,full_capture
identity,"(1, 3, 8)",662.9615895394636,1.0000000000005955
identity,"(1, 3, 9)",662.4220837229586,1.0000000000006866
identity,"(1, 3, 10)",626.1095293311882,1.0000000000006042
identity,"(1, 3, 11)",611.7202994450963,1.0000000000007434
identity,"(1, 4, 5)",672.7212310543109,1.0000000000005609
identity,"(1, 4, 6)",672.6910557626979,1.000000000000565
identity,"(1, 4, 7)",663.6648522035102,1.0000000000005862
identity,"(1, 4, 8)",663.061619774453,1.0000000000006155
identity,"(1, 4, 9)",662.6272081066418,1.0000000000006637
identity,"(1, 4, 10)",626.1884010773429,1.0000000000005524
identity,"(1, 4, 11)",613.0896189297346,1.0000000000007336
identity,"(1, 5, 6)",681.5623104730548,1.0000000000005616
identity,"(1, 5, 7)",672.8718218141694,1.0000000000005884
identity,"(1, 5, 8)",672.6134737832581,1.000000000000612
identity,"(1, 5, 9)",671.720062503482,1.0000000000006137
identity,"(1, 5, 10)",634.8742009245143,1.000000000000523
identity,"(1, 5, 11)",623.7091821008107,1.0000000000007585
identity,"(1, 6, 7)",672.9211792376191,1.0000000000006162
identity,"(1, 6, 8)",672.6681723766887,1.000000000000607
identity,"(1, 6, 9)",671.7445051831419,1.0000000000006477
identity,"(1, 6, 10)",634.8739505988306,1.0000000000005296
identity,"(1, 6, 11)",623.9053636627432,1.0000000000007068
identity,"(1, 7, 8)",664.7059564984374,1.000000000000622
identity,"(1, 7, 9)",663.3197527025914,1.0000000000006424
identity,"(1, 7, 10)",626.1781704147324,1.00000000000057
identity,"(1, 7, 11)",618.1333547324357,1.0000000000007598
identity,"(1, 8, 9)",663.241292341354,1.0000000000006646
identity,"(1, 8, 10)",626.1500950154186,1.0000000000005873
identity,"(1, 8, 11)",618.0719934404806,1.000000000000736
identity,"(1, 9, 10)",625.390443440665,1.000000000000668
identity,"(1, 9, 11)",615.0846602272395,1.0000000000007623
identity,"(1, 10, 11)",577.7552922108953,1.0000000000007887
identity,"(2, 3, 4)",705.6108473857421,1.000000000000533
identity,"(2, 3, 5)",713.4726584654345,1.0000000000005216
identity,"(2, 3, 6)",713.4125399657023,1.0000000000005167
identity,"(2, 3, 7)",703.6455144193496,1.0000000000005311
identity,"(2, 3, 8)",703.6240200809516,1.0000000000005316
identity,"(2, 3, 9)",703.4250790566148,1.0000000000004998
identity,"(2, 3, 10)",663.239031835019,1.000000000000657
identity,"(2, 3, 11)",651.1238076768677,1.0000000000007074
identity,"(2, 4, 5)",713.8666767359609,1.0000000000005158
identity,"(2, 4, 6)",713.811691166029,1.0000000000005584
identity,"(2, 4, 7)",704.3855016777343,1.000000000000544
identity,"(2, 4, 8)",703.7073284145663,1.0000000000005371
identity,"(2, 4, 9)",703.6221016237505,1.0000000000004965
