E_lucj,err_lucj,overlap,full_capture,triple,ordering,triple_str,err_sqd
-4.345381447984436,620.6896403413848,0.2756197490755254,1.0000000000004021,"(1, 5, 6)",rand007,"(1, 5, 6)",303.04575867559345
-4.365849249167095,600.221839158726,0.32169410172734325,1.0000000000004012,"(0, 2, 6)",rand007,"(0, 2, 6)",212.1238972681727
-4.41817253405428,547.8985542715407,0.3158045690659015,1.0000000000003963,"(5, 6, 7)",rand007,"(5, 6, 7)",255.9476032054704
-4.3991186034296375,566.9524848961834,0.3563483135990792,1.0000000000003983,"(2, 6, 9)",rand007,"(2, 6, 9)",232.94094787676656
-4.355587377941035,610.483710384786,0.280490126965421,1.0000000000004015,"(1, 3, 5)",rand007,"(1, 3, 5)",304.07945309189887
-4.3944944210157235,571.5766673100973,0.31121826052591856,1.0000000000004046,"(4, 6, 8)",rand007,"(4, 6, 8)",340.71379782044266
-4.3961391138927475,569.9319744330733,0.345246730222071,1.0000000000004,"(0, 6, 7)",rand007,"(0, 6, 7)",212.1238972681727
-4.417465353011685,548.605735314136,0.31879556027270894,1.000000000000398,"(2, 4, 7)",rand007,"(2, 4, 7)",256.01746921348314
-4.410463037509605,555.6080508162156,0.30627260055208905,1.0000000000003972,"(3, 4, 6)",rand007,"(3, 4, 6)",372.8896294803494
-4.35541653463383,610.6545536919912,0.3507752786482638,1.000000000000409,"(0, 1, 9)",rand007,"(0, 1, 9)",218.6538135657612
-4.391410878514653,574.6602098111682,0.3333925658095173,1.0000000000003944,"(0, 3, 4)",rand007,"(0, 3, 4)",212.1238972681727
-4.448935181490266,517.1359068355548,0.39912149965133853,1.0000000000004057,"(3, 8, 9)",rand007,"(3, 8, 9)",225.4373425633629
-4.389029259953268,577.0418283725531,0.30790599109677574,1.0000000000004026,"(5, 6, 8)",rand007,"(5, 6, 8)",340.52337391812057
-4.369872614922818,596.1984734030024,0.32007757587637486,1.0000000000004041,"(0, 5, 6)",rand007,"(0, 5, 6)",212.1238972681727
-4.409784781747091,556.2863065787295,0.3651093796394688,1.0000000000003935,"(2, 3, 9)",rand007,"(2, 3, 9)",181.36166671463272
-4.407593702677682,558.477385648139,0.3541359488819632,1.0000000000004001,"(0, 4, 8)",rand007,"(0, 4, 8)",219.0999715854449
-4.359197058519243,606.874029806578,0.29211064541174186,1.0000000000004097,"(1, 2, 7)",rand007,"(1, 2, 7)",260.76595742499273
-4.395578991392531,570.4920969332896,0.2966381463830966,1.000000000000401,"(4, 5, 6)",rand007,"(4, 5, 6)",372.8896294803494
-4.355047035663191,611.0240526626294,0.35152122869835245,1.0000000000004134,"(0, 4, 9)",rand007,"(0, 4, 9)",268.2063642335324
-4.38146007536639,584.6110129594306,0.3303534949278803,1.000000000000406,"(0, 2, 3)",rand007,"(0, 2, 3)",212.1238972681727
-4.4101472083466415,555.9238799791792,0.31590481214238836,1.000000000000399,"(2, 6, 7)",rand007,"(2, 6, 7)",256.01746921348314
-4.372978276139679,593.0928121861418,0.3256731299945534,1.0000000000004055,"(0, 2, 4)",rand007,"(0, 2, 4)",212.1238972681727
-4.409124045317143,556.9470430086776,0.35930962414440565,1.0000000000004088,"(4, 6, 9)",rand007,"(4, 6, 9)",269.1237568080016
-4.363237172406029,602.8339159197919,0.31868217021167,1.0000000000004061,"(0, 1, 3)",rand007,"(0, 1, 3)",261.59552953727336
-4.405279584664346,560.7915036614744,0.37267223723889803,1.000000000000408,"(1, 7, 9)",rand007,"(1, 7, 9)",189.72591267387796
-4.423222789807607,542.8482985182139,0.32375196361655695,1.0000000000004048,"(2, 3, 7)",rand007,"(2, 3, 7)",255.8458898518392
-4.350109382899766,615.9617054260549,0.31039481570944005,1.000000000000406,"(0, 1, 5)",rand007,"(0, 1, 5)",261.59552953727336
-4.412399448221573,553.6716401042474,0.3635998906600661,1.0000000000004035,"(3, 5, 9)",rand007,"(3, 5, 9)",175.54212629681308
