seed,ordering,perm,E_var,err_var_mHa,retained_J,n_unique,n_alpha_tot,n_beta_tot,top1,dim,E_sub,err_sub_mHa
2026,p21,5836412790,-108.62604256950794,218.2578623703506,0.216660340529506,134,37,39,0.981247,225,-108.8061807249911,38.11970688720123
2026,p22,9537612480,-108.64446717794875,199.83325392954043,0.22650533694689215,166,45,45,0.972053,225,-108.8135344724155,30.76595946279781
2026,p23,2938704165,-108.6161096688673,228.19076301099983,0.1386922984892243,73,26,25,0.989309,225,-108.7463023590033,97.99807287500073
2026,p24,0972835641,-108.65531805617749,188.98237570080312,0.24236881185368772,149,42,41,0.980931,225,-108.8071094403085,37.19099156980121
2026,p25,4135860729,-108.62871412520593,215.586306672364,0.1569475554232363,130,36,36,0.987005,225,-108.7849132110785,59.38722079979186
7,identity,0123456789,-108.65100860560429,193.29182627400598,0.28735360762012224,179,42,44,0.978811,225,-108.8051917670315,39.10866484679332
7,p01,2590783416,-108.63330906043248,210.99137144581448,0.21351062229676313,121,32,32,0.986063,225,-108.8185165086574,25.783923220899396
7,p02,2847319065,-108.59115386425978,253.14656761851495,0.23063359699480662,81,33,34,0.993099,225,-108.7876542153213,56.64621655699875
7,p03,3186970425,-108.62283366776428,221.46676411401245,0.2095571326739993,159,38,40,0.979041,225,-108.7943721017675,49.92833011080222
7,p04,3976501824,-108.59339540474853,250.90502712976104,0.23294068715981286,92,32,35,0.987863,225,-108.8235122547668,20.788177111498385
7,p05,0841723956,-108.62879408961064,215.50634226765908,0.20373249106822536,121,36,41,0.989166,225,-108.8135344724155,30.76595946279781
7,p06,7245831609,-108.64032686019662,203.97357168167218,0.2263090708330261,117,35,33,0.98152,225,-108.8079497994108,36.35063246748871
7,p07,2519086374,-108.61350002968425,230.80040219404907,0.3044550866294505,130,33,34,0.985545,225,-108.8235192818416,20.781150036697227
7,p08,5294863710,-108.64571947726827,198.5809546100228,0.2319621453446413,149,38,39,0.975875,225,-108.7956049662684,48.695465609895905
7,p09,1420693857,-108.61686291812923,227.4375137490665,0.14540540334722948,105,33,33,0.988818,225,-108.7939040084166,50.3964234616916
7,p10,2013948657,-108.6170659171217,227.23451475658862,0.2019501778630328,122,36,39,0.988956,225,-108.7945047575135,49.79567436480181
7,p11,2059483716,-108.6298705366428,214.42989523549727,0.15481570136774234,138,35,37,0.98622,225,-108.8024056552393,41.894776638997655
7,p12,0874562139,-108.63590001440605,208.40041747224802,0.20922862182805174,130,40,37,0.987667,225,-108.8073506663972,36.949765481097074
7,p13,8054372961,-108.6143513393681,229.94909251019635,0.1997790014454616,107,33,36,0.989594,225,-108.8159436254275,28.35680645080174
7,p14,6579301248,-108.59314368195288,251.15674992541415,0.18054520269627788,69,30,27,0.989765,225,-108.7781447359159,66.15569596239368
7,p15,8172640953,-108.60786111690781,236.43931497048243,0.2563210383146345,108,36,33,0.986791,225,-108.8068531950354,37.44723684289397
7,p16,0472635918,-108.63065618128186,213.6442505964311,0.27144760702025755,146,41,37,0.970345,225,-108.8159625641934,28.337867684896878
7,p17,6237098145,-108.60760449300592,236.69593887237284,0.31010495781007363,128,40,38,0.986461,225,-108.8135344724156,30.765959462698333
7,p18,9752803416,-108.67055627404666,173.744157831635,0.2608203349015658,251,49,45,0.949757,225,-108.8159255600464,28.37487183190035
7,p19,0836497215,-108.65795767049146,186.34276138683958,0.23706894720772745,136,36,38,0.974825,225,-108.8136269796844,30.673452193894946
7,p20,2756819403,-108.63777534889714,206.5250829811589,0.27242614883542915,210,44,48,0.965088,225,-108.8122881500046,32.01228187369054
7,p21,5836412790,-108.62604256950794,218.2578623703506,0.216660340529506,141,36,39,0.981301,225,-108.8021836695874,42.11676229090244
7,p22,9537612480,-108.64446717794875,199.83325392954043,0.22650533694689215,166,47,43,0.972138,225,-108.8135344724155,30.76595946279781
7,p23,2938704165,-108.6161096688673,228.19076301099983,0.1386922984892243,84,30,26,0.989405,225,-108.7463023590033,97.99807287500073
7,p24,0972835641,-108.65531805617749,188.98237570080312,0.24236881185368772,147,43,38,0.980994,225,-108.8012333841275,43.06704775079595
7,p25,4135860729,-108.62871412520593,215.586306672364,0.1569475554232363,117,35,34,0.986987,225,-108.7880018805116,56.29855136669448
1234,identity,0123456789,-108.65100860560429,193.29182627400598,0.28735360762012224,161,45,42,0.978933,225,-108.8083287541133,35.97167776499077
1234,p01,2590783416,-108.63330906043248,210.99137144581448,0.21351062229676313,121,35,35,0.98606,225,-108.8185165086574,25.783923220899396
1234,p02,2847319065,-108.59115386425978,253.14656761851495,0.23063359699480662,82,34,36,0.9931,225,-108.8078260450986,36.47438677970172
1234,p03,3186970425,-108.62283366776428,221.46676411401245,0.2095571326739993,156,40,42,0.979161,225,-108.7943721017675,49.92833011080222
1234,p04,3976501824,-108.59339540474853,250.90502712976104,0.23294068715981286,97,37,34,0.987765,225,-108.8016934760049,42.60695587339569
1234,p05,0841723956,-108.62879408961064,215.50634226765908,0.20373249106822536,112,33,38,0.989018,225,-108.8135344724155,30.76595946279781
1234,p06,7245831609,-108.64032686019662,203.97357168167218,0.2263090708330261,117,33,33,0.981618,225,-108.8079497994108,36.35063246748871
1234,p07,2519086374,-108.61350002968425,230.80040219404907,0.3044550866294505,135,39,37,0.985524,225,-108.8222589171851,22.041514693199815
1234,p08,5294863710,-108.64571947726827,198.5809546100228,0.2319621453446413,157,41,39,0.975949,225,-108.7956049662684,48.695465609895905
1234,p09,1420693857,-108.61686291812923,227.4375137490665,0.14540540334722948,115,35,34,0.988725,225,-108.7939040084166,50.3964234616916
1234,p10,2013948657,-108.6170659171217,227.23451475658862,0.2019501778630328,118,37,38,0.988828,225,-108.7986788360591,45.621595819199
1234,p11,2059483716,-108.6298705366428,214.42989523549727,0.15481570136774234,135,38,35,0.986178,225,-108.8024056552393,41.894776638997655
1234,p12,0874562139,-108.63590001440605,208.40041747224802,0.20922862182805174,120,36,39,0.987587,225,-108.8074257961212,36.87463575710126
1234,p13,8054372961,-108.6143513393681,229.94909251019635,0.1997790014454616,107,40,38,0.989482,225,-108.8158268600806,28.473571797690056
1234,p14,6579301248,-108.59314368195288,251.15674992541415,0.18054520269627788,78,33,32,0.98965,225,-108.7964739854315,47.82644644679124
1234,p15,8172640953,-108.60786111690781,236.43931497048243,0.2563210383146345,110,35,34,0.986735,225,-108.8070261653548,37.274266523496635
1234,p16,0472635918,-108.63065618128186,213.6442505964311,0.27144760702025755,157,41,35,0.970458,225,-108.8159625641934,28.337867684896878
1234,p17,6237098145,-108.60760449300592,236.69593887237284,0.31010495781007363,132,40,40,0.986426,225,-108.8135344724156,30.765959462698333
1234,p18,9752803416,-108.67055627404666,173.744157831635,0.2608203349015658,254,46,50,0.949858,225,-108.8159255600464,28.37487183190035
1234,p19,0836497215,-108.65795767049146,186.34276138683958,0.23706894720772745,157,38,44,0.974879,225,-108.8136269796844,30.673452193894946
1234,p20,2756819403,-108.63777534889714,206.5250829811589,0.27242614883542915,199,41,45,0.965097,225,-108.8135875426335,30.712889244796315
1234,p21,5836412790,-108.62604256950794,218.2578623703506,0.216660340529506,158,41,44,0.981378,225,-108.8021050553507,42.195376527601525
1234,p22,9537612480,-108.64446717794875,199.83325392954043,0.22650533694689215,143,38,35,0.972219,225,-108.8135344724155,30.76595946279781
1234,p23,2938704165,-108.6161096688673,228.19076301099983,0.1386922984892243,78,29,27,0.989289,225,-108.7463023590033,97.99807287500073
1234,p24,0972835641,-108.65531805617749,188.98237570080312,0.24236881185368772,146,41,43,0.981084,225,-108.8012333841275,43.06704775079595
1234,p25,4135860729,-108.62871412520593,215.586306672364,0.1569475554232363,125,34,38,0.986932,225,-108.7849132110785,59.38722079979186
55555,identity,0123456789,-108.65100860560429,193.29182627400598,0.28735360762012224,163,42,41,0.978673,225,-108.8051917670315,39.10866484679332
55555,p01,2590783416,-108.63330906043248,210.99137144581448,0.21351062229676313,126,39,38,0.985861,225,-108.8203042990433,23.99613283499491
55555,p02,2847319065,-108.59115386425978,253.14656761851495,0.23063359699480662,83,31,34,0.992968,225,-108.8072556232831,37.044808595197765
55555,p03,3186970425,-108.62283366776428,221.46676411401245,0.2095571326739993,157,38,42,0.978917,225,-108.7936903108467,50.61012103159612
55555,p04,3976501824,-108.59339540474853,250.90502712976104,0.23294068715981286,96,35,33,0.987577,225,-108.8065930096128,37.70742226549828
55555,p05,0841723956,-108.62879408961064,215.50634226765908,0.20373249106822536,122,37,40,0.988947,225,-108.8079497994108,36.35063246748871
55555,p06,7245831609,-108.64032686019662,203.97357168167218,0.2263090708330261,125,34,33,0.981342,225,-108.8079497994108,36.35063246748871
55555,p07,2519086374,-108.61350002968425,230.80040219404907,0.3044550866294505,132,35,40,0.985293,225,-108.8235192818416,20.781150036697227
55555,p08,5294863710,-108.64571947726827,198.5809546100228,0.2319621453446413,145,38,40,0.975742,225,-108.7956049662684,48.695465609895905
55555,p09,1420693857,-108.61686291812923,227.4375137490665,0.14540540334722948,112,35,33,0.988608,225,-108.7939040084166,50.3964234616916
55555,p10,2013948657,-108.6170659171217,227.23451475658862,0.2019501778630328,130,42,40,0.988723,225,-108.7945047575135,49.79567436480181
55555,p11,2059483716,-108.6298705366428,214.42989523549727,0.15481570136774234,130,32,32,0.985985,225,-108.8024056552393,41.894776638997655
55555,p12,0874562139,-108.63590001440605,208.40041747224802,0.20922862182805174,134,37,40,0.987407,225,-108.8073506663972,36.949765481097074
55555,p13,8054372961,-108.6143513393681,229.94909251019635,0.1997790014454616,109,37,36,0.989335,225,-108.8158268600806,28.473571797690056
55555,p14,6579301248,-108.59314368195288,251.15674992541415,0.18054520269627788,85,30,31,0.989508,225,-108.7781447359159,66.15569596239368
55555,p15,8172640953,-108.60786111690781,236.43931497048243,0.2563210383146345,115,32,35,0.986561,225,-108.810371035846,33.92939603229195
55555,p16,0472635918,-108.63065618128186,213.6442505964311,0.27144760702025755,156,38,36,0.970242,225,-108.8159625641934,28.337867684896878
55555,p17,6237098145,-108.60760449300592,236.69593887237284,0.31010495781007363,121,38,36,0.986243,225,-108.8135344724156,30.765959462698333
55555,p18,9752803416,-108.67055627404666,173.744157831635,0.2608203349015658,254,45,50,0.949924,225,-108.8159255600464,28.37487183190035
55555,p19,0836497215,-108.65795767049146,186.34276138683958,0.23706894720772745,159,41,39,0.974719,225,-108.8136269796844,30.673452193894946
55555,p20,2756819403,-108.63777534889714,206.5250829811589,0.27242614883542915,206,43,42,0.964985,225,-108.8122881500046,32.01228187369054
55555,p21,5836412790,-108.62604256950794,218.2578623703506,0.216660340529506,136,36,35,0.981114,225,-108.8021836695874,42.11676229090244
55555,p22,9537612480,-108.64446717794875,199.83325392954043,0.22650533694689215,158,42,43,0.972038,225,-108.8135344724155,30.76595946279781
55555,p23,2938704165,-108.6161096688673,228.19076301099983,0.1386922984892243,83,28,26,0.989163,225,-108.7463023590033,97.99807287500073
55555,p24,0972835641,-108.65531805617749,188.98237570080312,0.24236881185368772,149,39,37,0.980816,225,-108.8012333841275,43.06704775079595
55555,p25,4135860729,-108.62871412520593,215.586306672364,0.1569475554232363,124,40,39,0.986762,225,-108.7880018805116,56.29855136669448
31415,identity,0123456789,-108.65100860560429,193.29182627400598,0.28735360762012224,152,39,42,0.978789,225,-108.8051917670315,39.10866484679332
31415,p01,2590783416,-108.63330906043248,210.99137144581448,0.21351062229676313,123,35,32,0.985993,225,-108.8216243648774,22.676067000901412
31415,p02,2847319065,-108.59115386425978,253.14656761851495,0.23063359699480662,75,31,31,0.992976,225,-108.7855143445019,58.78608737639013
31415,p03,3186970425,-108.62283366776428,221.46676411401245,0.2095571326739993,167,41,39,0.979031,225,-108.7943721017675,49.92833011080222
31415,p04,3976501824,-108.59339540474853,250.90502712976104,0.23294068715981286,92,34,33,0.987716,225,-108.8067266699201,37.573761958199725
31415,p05,0841723956,-108.62879408961064,215.50634226765908,0.20373249106822536,114,38,38,0.988961,225,-108.8135344724155,30.76595946279781
31415,p06,7245831609,-108.64032686019662,203.97357168167218,0.2263090708330261,124,35,35,0.981549,225,-108.8079497994108,36.35063246748871
31415,p07,2519086374,-108.61350002968425,230.80040219404907,0.3044550866294505,134,45,37,0.985492,225,-108.8237668048725,20.533627005789867
31415,p08,5294863710,-108.64571947726827,198.5809546100228,0.2319621453446413,152,37,40,0.975848,225,-108.7956049662684,48.695465609895905
31415,p09,1420693857,-108.61686291812923,227.4375137490665,0.14540540334722948,96,31,30,0.988675,225,-108.793754750479,50.54568139929927
31415,p10,2013948657,-108.6170659171217,227.23451475658862,0.2019501778630328,124,37,37,0.988793,225,-108.7986788360591,45.621595819199
31415,p11,2059483716,-108.6298705366428,214.42989523549727,0.15481570136774234,125,33,38,0.986155,225,-108.8011208065973,43.179625280998835
31415,p12,0874562139,-108.63590001440605,208.40041747224802,0.20922862182805174,133,37,39,0.98754,225,-108.8070999238724,37.20050800589547
31415,p13,8054372961,-108.6143513393681,229.94909251019635,0.1997790014454616,106,36,34,0.989366,225,-108.8191192863193,25.18114555898876
31415,p14,6579301248,-108.59314368195288,251.15674992541415,0.18054520269627788,75,29,30,0.989561,225,-108.7796880921091,64.612339769198
31415,p15,8172640953,-108.60786111690781,236.43931497048243,0.2563210383146345,112,36,32,0.986696,225,-108.810371035846,33.92939603229195
31415,p16,0472635918,-108.63065618128186,213.6442505964311,0.27144760702025755,148,34,39,0.970246,225,-108.8159625641934,28.337867684896878
31415,p17,6237098145,-108.60760449300592,236.69593887237284,0.31010495781007363,131,39,37,0.986397,225,-108.8135344724156,30.765959462698333
31415,p18,9752803416,-108.67055627404666,173.744157831635,0.2608203349015658,244,48,51,0.949956,225,-108.8159255600464,28.37487183190035
31415,p19,0836497215,-108.65795767049146,186.34276138683958,0.23706894720772745,151,42,43,0.97483,225,-108.8136269796844,30.673452193894946
31415,p20,2756819403,-108.63777534889714,206.5250829811589,0.27242614883542915,191,41,41,0.965007,225,-108.8134832394555,30.81719242280201
31415,p21,5836412790,-108.62604256950794,218.2578623703506,0.216660340529506,138,37,41,0.981311,225,-108.8061807249911,38.11970688720123
31415,p22,9537612480,-108.64446717794875,199.83325392954043,0.22650533694689215,157,44,41,0.972055,225,-108.8135344724155,30.76595946279781
31415,p23,2938704165,-108.6161096688673,228.19076301099983,0.1386922984892243,78,26,25,0.98919,225,-108.7463023590033,97.99807287500073
31415,p24,0972835641,-108.65531805617749,188.98237570080312,0.24236881185368772,153,48,40,0.980983,225,-108.8012333841274,43.067047750895426
31415,p25,4135860729,-108.62871412520593,215.586306672364,0.1569475554232363,117,34,37,0.986899,225,-108.7880018805116,56.29855136669448
