ordering,captured,cap_alpha,cap_beta,cap_product,missed_mHa_proxy,err_sub_mHa,err_var_mHa,retained_J,top1,n_unique
q027,0.9621596203140544,0.9702271841914208,0.9702271841914202,0.9413407889440126,0.03784037968594556,50.01752723259756,208.43857383857767,0.2158387424959229,0.980218,140
q028,0.9416369838297721,0.9586785679457772,0.9586785679457768,0.9190645966385658,0.05836301617022788,56.51369582909638,263.5809886804168,0.2254874730575577,0.989719,79
q029,0.9732629130100204,0.9832016558153728,0.9832016558153724,0.9666854959980904,0.026737086989979564,36.47362491660999,193.11220806753224,0.2351118636099106,0.964294,166
q030,0.9756177601903575,0.9826261202868024,0.9826261202868017,0.9655540922698929,0.024382239809642492,28.60171521200527,233.5508808878899,0.253174058023799,0.987734,121
q031,0.9760073913995033,0.9836090014225995,0.9836090014225991,0.967486667679563,0.02399260860049668,30.123197630004483,232.10964713375404,0.3066084366418637,0.981152,148
q032,0.9665786241559158,0.9726440229877441,0.9726440229877436,0.9460363954537827,0.03342137584408422,42.18845572260932,213.346317840589,0.2125320802513389,0.986628,131
q033,0.9767411212285889,0.9851341591035051,0.9851341591035049,0.9704893114325699,0.023258878771411085,30.88200145670328,207.28256350118104,0.2790966220946623,0.978311,165
q034,0.9669181958947773,0.9747049203947377,0.9747049203947372,0.9500496818417115,0.033081804105222656,45.82443187379681,187.19928991856705,0.2360693754794731,0.971109,185
q035,0.9603564151286597,0.9679941574816104,0.9679941574816098,0.9370126889185322,0.03964358487134034,49.503810482804056,223.3202294453065,0.1978008880913164,0.985771,135
q036,0.9748504416832,0.9821045906801299,0.9821045906801293,0.9645294270349849,0.02514955831679999,30.91832850270748,254.06516851515448,0.2341150295345996,0.978173,160
q037,0.8618640152564152,0.8857898544942842,0.8956143631269413,0.7933261163972043,0.1381359847435848,84.80398355609964,268.5694580064677,0.2245299611879951,0.992309,73
q038,0.965761818163147,0.9873880480361986,0.9727352230081233,0.9604671331020472,0.03423818183685301,47.26805205361018,193.81451663579696,0.2274202166414283,0.973724,190
q039,0.9620134386649792,0.9701899900929393,0.9701899900929387,0.9412686168765371,0.03798656133502076,50.778081926196705,210.01868638316523,0.2138606289757566,0.982766,142
q040,0.9561154367995784,0.9632862356541122,0.9779181984593034,0.9420151401715133,0.043884563200421556,53.14181707720422,261.75491503688875,0.2235303894644051,0.98556,110
q041,0.970704970909354,0.9809477668826793,0.9809477668826789,0.962258521352115,0.029295029090645963,36.35063205649658,216.03236450788188,0.2647555321693043,0.983462,125
q042,0.9612859477564915,0.9699969985672394,0.969996998567239,0.9408941772294527,0.038714052243508545,51.68517474589862,224.59741281554105,0.2604703281281441,0.989245,108
q043,0.9667284751562581,0.9736744716912408,0.9736744716912403,0.9480419768232164,0.03327152484374185,43.883654936607286,205.6597895898875,0.2179888887868499,0.98178,159
