triple,err_mHa,captured,retained_J_oppspin,source,status
"(0, 5, 7)",295.8198576831057,0.5749080116609866,0.06811966160381425,C1_new,OK
"(0, 5, 8)",374.3630554883097,0.4943643243316059,0.09532543908927983,C1_new,OK
"(0, 6, 7)",295.8198576831057,0.5749080116609865,0.06891394908620498,C1_new,OK
"(0, 6, 8)",372.931064268756,0.4962774758602947,0.09611972657167055,C1_new,OK
"(0, 7, 8)",300.31919403956664,0.5554887797095325,0.09801858468154624,C1_new,OK
"(1, 2, 3)",365.3931112773181,0.5176330377054384,0.03452355049392884,C1_new,OK
"(1, 2, 4)",294.5243494375287,0.5732385911630595,0.03372926301153811,C1_new,OK
"(1, 2, 5)",365.3931112773181,0.5176330377054383,0.03372926301153811,C1_new,OK
"(1, 2, 6)",365.3931112773181,0.5176330377054383,0.03452355049392884,C1_new,OK
"(1, 2, 7)",365.3931112773181,0.5176330377054384,0.03642240860380452,C1_new,OK
"(1, 2, 8)",240.1625352889134,0.6137443107057516,0.06362818608927011,C1_new,OK
"(1, 2, 9)",233.34141210869143,0.6168087900914776,0.09801858468154631,C1_new,OK
"(1, 3, 4)",365.3773667024529,0.5188705860538558,0.03183040490166244,C1_new,OK
"(1, 3, 5)",365.4335079906108,0.5175877685217029,0.03183040490166244,C1_new,OK
"(1, 3, 6)",365.4504865056092,0.5174272757180145,0.032624692384053154,C1_new,OK
"(1, 3, 7)",365.4335079906108,0.5175877685217027,0.03452355049392884,C1_new,OK
"(1, 3, 9)",295.92940093880316,0.5734402956236083,0.09611972657167062,C1_new,OK
"(1, 4, 5)",365.3773667024529,0.5188705860538558,0.03103611741927172,C1_new,OK
"(1, 4, 6)",365.4504865056092,0.5174272757180144,0.03183040490166244,C1_new,OK
"(1, 4, 7)",294.5243494375287,0.5732385911630595,0.03372926301153811,C1_new,OK
"(1, 4, 8)",296.56640998204864,0.5760241298828297,0.06093504049700372,C1_new,OK
"(1, 4, 9)",295.92940093880316,0.5734402956236082,0.0953254390892799,C1_new,OK
"(1, 5, 6)",365.4504865056092,0.5174272757180144,0.03183040490166244,C1_new,OK
"(1, 5, 7)",365.4335079906108,0.5175877685217027,0.03372926301153811,C1_new,OK
"(1, 5, 8)",296.56640998204773,0.5760241298828006,0.06093504049700372,C1_new,OK
"(1, 5, 9)",295.92940093880316,0.5734402956236082,0.0953254390892799,C1_new,OK
"(1, 6, 7)",458.2753501346808,0.45883971025915254,0.03452355049392884,C1_new,OK
"(1, 7, 8)",240.1625352889134,0.6137443107057515,0.06362818608927011,C1_new,OK
"(1, 7, 9)",230.3124333400728,0.6258653439561566,0.09801858468154628,C1_new,OK
"(2, 3, 4)",458.6996615694874,0.470193930372267,0.004624627416196836,C1_new,OK
"(2, 3, 6)",458.6996615694874,0.470193930372267,0.005418914898587555,C1_new,OK
"(2, 3, 7)",458.549396056509,0.4730280434619366,0.007317773008463233,C1_new,OK
"(2, 3, 8)",458.3386915538306,0.4590415324649288,0.03452355049392883,C1_new,OK
"(2, 3, 9)",301.5627342514975,0.5700632483773542,0.068913949086205,C1_new,OK
