logical_two_q_gates,logical_depth,triple,seed
10868,4821,"(0, 3, 9)",44
10868,4821,"(0, 3, 9)",55
10772,4901,"(0, 4, 5)",11
10772,4901,"(0, 4, 5)",22
10772,4901,"(0, 4, 5)",33
10772,4901,"(0, 4, 5)",44
10772,4901,"(0, 4, 5)",55
10820,4922,"(0, 4, 6)",11
10820,4922,"(0, 4, 6)",22
10820,4922,"(0, 4, 6)",33
10820,4922,"(0, 4, 6)",44
10820,4922,"(0, 4, 6)",55
10820,4949,"(0, 4, 7)",11
10820,4949,"(0, 4, 7)",22
10820,4949,"(0, 4, 7)",33
10820,4949,"(0, 4, 7)",44
10820,4949,"(0, 4, 7)",55
10820,5004,"(0, 4, 8)",11
10820,5004,"(0, 4, 8)",22
10820,5004,"(0, 4, 8)",33
10820,5004,"(0, 4, 8)",44
10820,5004,"(0, 4, 8)",55
10820,4901,"(0, 4, 9)",11
10820,4901,"(0, 4, 9)",22
10820,4901,"(0, 4, 9)",33
10820,4901,"(0, 4, 9)",44
10820,4901,"(0, 4, 9)",55
10820,4907,"(0, 5, 6)",11
10820,4907,"(0, 5, 6)",22
10820,4907,"(0, 5, 6)",33
10820,4907,"(0, 5, 6)",44
10820,4907,"(0, 5, 6)",55
10820,4911,"(0, 5, 7)",11
10820,4911,"(0, 5, 7)",22
10820,4911,"(0, 5, 7)",33
10820,4911,"(0, 5, 7)",44
10820,4911,"(0, 5, 7)",55
10820,4982,"(0, 5, 8)",11
10820,4982,"(0, 5, 8)",22
10820,4982,"(0, 5, 8)",33
10820,4982,"(0, 5, 8)",44
10820,4982,"(0, 5, 8)",55
10820,4862,"(0, 5, 9)",11
10820,4862,"(0, 5, 9)",22
10820,4862,"(0, 5, 9)",33
10820,4862,"(0, 5, 9)",44
10820,4862,"(0, 5, 9)",55
10868,4940,"(0, 6, 7)",11
10868,4940,"(0, 6, 7)",22
10868,4940,"(0, 6, 7)",33
10868,4940,"(0, 6, 7)",44
10868,4940,"(0, 6, 7)",55
10868,4991,"(0, 6, 8)",11
10868,4991,"(0, 6, 8)",22
10868,4991,"(0, 6, 8)",33
10868,4991,"(0, 6, 8)",44
10868,4991,"(0, 6, 8)",55
10868,4904,"(0, 6, 9)",11
10868,4904,"(0, 6, 9)",22
10868,4904,"(0, 6, 9)",33
10868,4904,"(0, 6, 9)",44
10868,4904,"(0, 6, 9)",55
10868,4978,"(0, 7, 8)",11
10868,4978,"(0, 7, 8)",22
10868,4978,"(0, 7, 8)",33
10868,4978,"(0, 7, 8)",44
10868,4978,"(0, 7, 8)",55
10868,4888,"(0, 7, 9)",11
10868,4888,"(0, 7, 9)",22
10868,4888,"(0, 7, 9)",33
10868,4888,"(0, 7, 9)",44
10868,4888,"(0, 7, 9)",55
10868,4976,"(0, 8, 9)",11
10868,4976,"(0, 8, 9)",22
10868,4976,"(0, 8, 9)",33
10868,4976,"(0, 8, 9)",44
10868,4976,"(0, 8, 9)",55
10868,4933,"(1, 2, 3)",11
10868,4933,"(1, 2, 3)",22
10868,4933,"(1, 2, 3)",33
10868,4933,"(1, 2, 3)",44
10868,4933,"(1, 2, 3)",55
10820,4978,"(1, 2, 4)",11
10820,4978,"(1, 2, 4)",22
10820,4978,"(1, 2, 4)",33
10820,4978,"(1, 2, 4)",44
10820,4978,"(1, 2, 4)",55
10820,4941,"(1, 2, 5)",11
10820,4941,"(1, 2, 5)",22
10820,4941,"(1, 2, 5)",33
10820,4941,"(1, 2, 5)",44
10820,4941,"(1, 2, 5)",55
10868,4973,"(1, 2, 6)",11
10868,4973,"(1, 2, 6)",22
10868,4973,"(1, 2, 6)",33
10868,4973,"(1, 2, 6)",44
10868,4973,"(1, 2, 6)",55
10868,4938,"(1, 2, 7)",11
10868,4938,"(1, 2, 7)",22
10868,4938,"(1, 2, 7)",33
10868,4938,"(1, 2, 7)",44
10868,4938,"(1, 2, 7)",55
10868,4983,"(1, 2, 8)",11
10868,4983,"(1, 2, 8)",22
10868,4983,"(1, 2, 8)",33
10868,4983,"(1, 2, 8)",44
10868,4983,"(1, 2, 8)",55
10868,4932,"(1, 2, 9)",11
10868,4932,"(1, 2, 9)",22
10868,4932,"(1, 2, 9)",33
10868,4932,"(1, 2, 9)",44
10868,4932,"(1, 2, 9)",55
10820,4910,"(1, 3, 4)",11
10820,4910,"(1, 3, 4)",22
10820,4910,"(1, 3, 4)",33
10820,4910,"(1, 3, 4)",44
10820,4910,"(1, 3, 4)",55
10820,4868,"(1, 3, 5)",11
10820,4868,"(1, 3, 5)",22
10820,4868,"(1, 3, 5)",33
10820,4868,"(1, 3, 5)",44
10820,4868,"(1, 3, 5)",55
10868,4913,"(1, 3, 6)",11
10868,4913,"(1, 3, 6)",22
10868,4913,"(1, 3, 6)",33
10868,4913,"(1, 3, 6)",44
10868,4913,"(1, 3, 6)",55
10868,4889,"(1, 3, 7)",11
10868,4889,"(1, 3, 7)",22
10868,4889,"(1, 3, 7)",33
10868,4889,"(1, 3, 7)",44
10868,4889,"(1, 3, 7)",55
10868,4979,"(1, 3, 8)",11
10868,4979,"(1, 3, 8)",22
10868,4979,"(1, 3, 8)",33
10868,4979,"(1, 3, 8)",44
10868,4979,"(1, 3, 8)",55
10868,4829,"(1, 3, 9)",11
10868,4829,"(1, 3, 9)",22
10868,4829,"(1, 3, 9)",33
10868,4829,"(1, 3, 9)",44
10868,4829,"(1, 3, 9)",55
10772,4910,"(1, 4, 5)",11
10772,4910,"(1, 4, 5)",22
10772,4910,"(1, 4, 5)",33
10772,4910,"(1, 4, 5)",44
10772,4910,"(1, 4, 5)",55
10820,4929,"(1, 4, 6)",11
10820,4929,"(1, 4, 6)",22
10820,4929,"(1, 4, 6)",33
10820,4929,"(1, 4, 6)",44
10820,4929,"(1, 4, 6)",55
10820,4949,"(1, 4, 7)",11
10820,4949,"(1, 4, 7)",22
10820,4949,"(1, 4, 7)",33
10820,4949,"(1, 4, 7)",44
10820,4949,"(1, 4, 7)",55
10820,5004,"(1, 4, 8)",11
10820,5004,"(1, 4, 8)",22
10820,5004,"(1, 4, 8)",33
10820,5004,"(1, 4, 8)",44
10820,5004,"(1, 4, 8)",55
10820,4910,"(1, 4, 9)",11
10820,4910,"(1, 4, 9)",22
10820,4910,"(1, 4, 9)",33
10820,4910,"(1, 4, 9)",44
10820,4910,"(1, 4, 9)",55
10820,4913,"(1, 5, 6)",11
10820,4913,"(1, 5, 6)",22
10820,4913,"(1, 5, 6)",33
10820,4913,"(1, 5, 6)",44
10820,4913,"(1, 5, 6)",55
10820,4911,"(1, 5, 7)",11
10820,4911,"(1, 5, 7)",22
10820,4911,"(1, 5, 7)",33
10820,4911,"(1, 5, 7)",44
10820,4911,"(1, 5, 7)",55
10820,4982,"(1, 5, 8)",11
10820,4982,"(1, 5, 8)",22
10820,4982,"(1, 5, 8)",33
10820,4982,"(1, 5, 8)",44
10820,4982,"(1, 5, 8)",55
10820,4868,"(1, 5, 9)",11
10820,4868,"(1, 5, 9)",22
10820,4868,"(1, 5, 9)",33
10820,4868,"(1, 5, 9)",44
10820,4868,"(1, 5, 9)",55
10868,4941,"(1, 6, 7)",11
10868,4941,"(1, 6, 7)",22
10868,4941,"(1, 6, 7)",33
10868,4941,"(1, 6, 7)",44
10868,4941,"(1, 6, 7)",55
10868,4991,"(1, 6, 8)",11
10868,4991,"(1, 6, 8)",22
10868,4991,"(1, 6, 8)",33
10868,4991,"(1, 6, 8)",44
10868,4991,"(1, 6, 8)",55
10868,4911,"(1, 6, 9)",11
10868,4911,"(1, 6, 9)",22
10868,4911,"(1, 6, 9)",33
10868,4911,"(1, 6, 9)",44
10868,4911,"(1, 6, 9)",55
10868,4978,"(1, 7, 8)",11
10868,4978,"(1, 7, 8)",22
10868,4978,"(1, 7, 8)",33
10868,4978,"(1, 7, 8)",44
10868,4978,"(1, 7, 8)",55
10868,4888,"(1, 7, 9)",11
10868,4888,"(1, 7, 9)",22
10868,4888,"(1, 7, 9)",33
10868,4888,"(1, 7, 9)",44
10868,4888,"(1, 7, 9)",55
10868,4976,"(1, 8, 9)",11
10868,4976,"(1, 8, 9)",22
10868,4976,"(1, 8, 9)",33
10868,4976,"(1, 8, 9)",44
10868,4976,"(1, 8, 9)",55
10820,4978,"(2, 3, 4)",11
10820,4978,"(2, 3, 4)",22
10820,4978,"(2, 3, 4)",33
10820,4978,"(2, 3, 4)",44
10820,4978,"(2, 3, 4)",55
10820,4941,"(2, 3, 5)",11
10820,4941,"(2, 3, 5)",22
10820,4941,"(2, 3, 5)",33
10820,4941,"(2, 3, 5)",44
10820,4941,"(2, 3, 5)",55
10868,4973,"(2, 3, 6)",11
10868,4973,"(2, 3, 6)",22
10868,4973,"(2, 3, 6)",33
10868,4973,"(2, 3, 6)",44
10868,4973,"(2, 3, 6)",55
10868,4939,"(2, 3, 7)",11
10868,4939,"(2, 3, 7)",22
10868,4939,"(2, 3, 7)",33
10868,4939,"(2, 3, 7)",44
10868,4939,"(2, 3, 7)",55
10868,4984,"(2, 3, 8)",11
10868,4984,"(2, 3, 8)",22
10868,4984,"(2, 3, 8)",33
10868,4984,"(2, 3, 8)",44
10868,4984,"(2, 3, 8)",55
10868,4933,"(2, 3, 9)",11
10868,4933,"(2, 3, 9)",22
10868,4933,"(2, 3, 9)",33
10868,4933,"(2, 3, 9)",44
10868,4933,"(2, 3, 9)",55
10772,4978,"(2, 4, 5)",11
10772,4978,"(2, 4, 5)",22
10772,4978,"(2, 4, 5)",33
10772,4978,"(2, 4, 5)",44
10772,4978,"(2, 4, 5)",55
10820,4987,"(2, 4, 6)",11
10820,4987,"(2, 4, 6)",22
10820,4987,"(2, 4, 6)",33
10820,4987,"(2, 4, 6)",44
10820,4987,"(2, 4, 6)",55
10820,4981,"(2, 4, 7)",11
10820,4981,"(2, 4, 7)",22
10820,4981,"(2, 4, 7)",33
10820,4981,"(2, 4, 7)",44
10820,4981,"(2, 4, 7)",55
10820,5008,"(2, 4, 8)",11
10820,5008,"(2, 4, 8)",22
10820,5008,"(2, 4, 8)",33
10820,5008,"(2, 4, 8)",44
10820,5008,"(2, 4, 8)",55
10820,4978,"(2, 4, 9)",11
10820,4978,"(2, 4, 9)",22
10820,4978,"(2, 4, 9)",33
10820,4978,"(2, 4, 9)",44
10820,4978,"(2, 4, 9)",55
10820,4973,"(2, 5, 6)",11
10820,4973,"(2, 5, 6)",22
10820,4973,"(2, 5, 6)",33
10820,4973,"(2, 5, 6)",44
10820,4973,"(2, 5, 6)",55
10820,4944,"(2, 5, 7)",11
10820,4944,"(2, 5, 7)",22
10820,4944,"(2, 5, 7)",33
10820,4944,"(2, 5, 7)",44
10820,4944,"(2, 5, 7)",55
10820,4988,"(2, 5, 8)",11
10820,4988,"(2, 5, 8)",22
10820,4988,"(2, 5, 8)",33
10820,4988,"(2, 5, 8)",44
10820,4988,"(2, 5, 8)",55
10820,4941,"(2, 5, 9)",11
10820,4941,"(2, 5, 9)",22
10820,4941,"(2, 5, 9)",33
10820,4941,"(2, 5, 9)",44
10820,4941,"(2, 5, 9)",55
10868,4976,"(2, 6, 7)",11
10868,4976,"(2, 6, 7)",22
10868,4976,"(2, 6, 7)",33
10868,4976,"(2, 6, 7)",44
10868,4976,"(2, 6, 7)",55
10868,4997,"(2, 6, 8)",11
10868,4997,"(2, 6, 8)",22
10868,4997,"(2, 6, 8)",33
10868,4997,"(2, 6, 8)",44
10868,4997,"(2, 6, 8)",55
10868,4973,"(2, 6, 9)",11
10868,4973,"(2, 6, 9)",22
10868,4973,"(2, 6, 9)",33
10868,4973,"(2, 6, 9)",44
10868,4973,"(2, 6, 9)",55
10868,4984,"(2, 7, 8)",11
10868,4984,"(2, 7, 8)",22
10868,4984,"(2, 7, 8)",33
10868,4984,"(2, 7, 8)",44
10868,4984,"(2, 7, 8)",55
10868,4938,"(2, 7, 9)",11
10868,4938,"(2, 7, 9)",22
10868,4938,"(2, 7, 9)",33
10868,4938,"(2, 7, 9)",44
10868,4938,"(2, 7, 9)",55
10868,4983,"(2, 8, 9)",11
10868,4983,"(2, 8, 9)",22
10868,4983,"(2, 8, 9)",33
10868,4983,"(2, 8, 9)",44
10868,4983,"(2, 8, 9)",55
10772,4901,"(3, 4, 5)",11
10772,4901,"(3, 4, 5)",22
10772,4901,"(3, 4, 5)",33
10772,4901,"(3, 4, 5)",44
10772,4901,"(3, 4, 5)",55
10820,4922,"(3, 4, 6)",11
10820,4922,"(3, 4, 6)",22
10820,4922,"(3, 4, 6)",33
10820,4922,"(3, 4, 6)",44
10820,4922,"(3, 4, 6)",55
10820,4949,"(3, 4, 7)",11
10820,4949,"(3, 4, 7)",22
10820,4949,"(3, 4, 7)",33
10820,4949,"(3, 4, 7)",44
10820,4949,"(3, 4, 7)",55
10820,5004,"(3, 4, 8)",11
10820,5004,"(3, 4, 8)",22
10820,5004,"(3, 4, 8)",33
10820,5004,"(3, 4, 8)",44
10820,5004,"(3, 4, 8)",55
10820,4901,"(3, 4, 9)",11
10820,4901,"(3, 4, 9)",22
10820,4901,"(3, 4, 9)",33
10820,4901,"(3, 4, 9)",44
10820,4901,"(3, 4, 9)",55
10820,4908,"(3, 5, 6)",11
10820,4908,"(3, 5, 6)",22
10820,4908,"(3, 5, 6)",33
10820,4908,"(3, 5, 6)",44
10820,4908,"(3, 5, 6)",55
10820,4911,"(3, 5, 7)",11
10820,4911,"(3, 5, 7)",22
10820,4911,"(3, 5, 7)",33
10820,4911,"(3, 5, 7)",44
10820,4911,"(3, 5, 7)",55
10820,4983,"(3, 5, 8)",11
10820,4983,"(3, 5, 8)",22
10820,4983,"(3, 5, 8)",33
10820,4983,"(3, 5, 8)",44
10820,4983,"(3, 5, 8)",55
10820,4862,"(3, 5, 9)",11
10820,4862,"(3, 5, 9)",22
10820,4862,"(3, 5, 9)",33
10820,4862,"(3, 5, 9)",44
10820,4862,"(3, 5, 9)",55
10868,4943,"(3, 6, 7)",11
10868,4943,"(3, 6, 7)",22
10868,4943,"(3, 6, 7)",33
10868,4943,"(3, 6, 7)",44
10868,4943,"(3, 6, 7)",55
10868,4992,"(3, 6, 8)",11
10868,4992,"(3, 6, 8)",22
10868,4992,"(3, 6, 8)",33
10868,4992,"(3, 6, 8)",44
10868,4992,"(3, 6, 8)",55
10868,4907,"(3, 6, 9)",11
10868,4907,"(3, 6, 9)",22
10868,4907,"(3, 6, 9)",33
10868,4907,"(3, 6, 9)",44
10868,4907,"(3, 6, 9)",55
10868,4980,"(3, 7, 8)",11
10868,4980,"(3, 7, 8)",22
10868,4980,"(3, 7, 8)",33
10868,4980,"(3, 7, 8)",44
10868,4980,"(3, 7, 8)",55
10868,4889,"(3, 7, 9)",11
10868,4889,"(3, 7, 9)",22
10868,4889,"(3, 7, 9)",33
10868,4889,"(3, 7, 9)",44
10868,4889,"(3, 7, 9)",55
10868,4979,"(3, 8, 9)",11
10868,4979,"(3, 8, 9)",22
10868,4979,"(3, 8, 9)",33
10868,4979,"(3, 8, 9)",44
10868,4979,"(3, 8, 9)",55
10772,4922,"(4, 5, 6)",11
10772,4922,"(4, 5, 6)",22
10772,4922,"(4, 5, 6)",33
10772,4922,"(4, 5, 6)",44
10772,4922,"(4, 5, 6)",55
10772,4949,"(4, 5, 7)",11
10772,4949,"(4, 5, 7)",22
10772,4949,"(4, 5, 7)",33
10772,4949,"(4, 5, 7)",44
10772,4949,"(4, 5, 7)",55
10772,5004,"(4, 5, 8)",11
10772,5004,"(4, 5, 8)",22
10772,5004,"(4, 5, 8)",33
10772,5004,"(4, 5, 8)",44
10772,5004,"(4, 5, 8)",55
10772,4901,"(4, 5, 9)",11
10772,4901,"(4, 5, 9)",22
10772,4901,"(4, 5, 9)",33
10772,4901,"(4, 5, 9)",44
10772,4901,"(4, 5, 9)",55
10820,4958,"(4, 6, 7)",11
10820,4958,"(4, 6, 7)",22
10820,4958,"(4, 6, 7)",33
10820,4958,"(4, 6, 7)",44
10820,4958,"(4, 6, 7)",55
10820,5004,"(4, 6, 8)",11
10820,5004,"(4, 6, 8)",22
10820,5004,"(4, 6, 8)",33
10820,5004,"(4, 6, 8)",44
10820,5004,"(4, 6, 8)",55
10820,4922,"(4, 6, 9)",11
10820,4922,"(4, 6, 9)",22
10820,4922,"(4, 6, 9)",33
10820,4922,"(4, 6, 9)",44
10820,4922,"(4, 6, 9)",55
10820,5004,"(4, 7, 8)",11
10820,5004,"(4, 7, 8)",22
10820,5004,"(4, 7, 8)",33
10820,5004,"(4, 7, 8)",44
10820,5004,"(4, 7, 8)",55
10820,4949,"(4, 7, 9)",11
10820,4949,"(4, 7, 9)",22
10820,4949,"(4, 7, 9)",33
10820,4949,"(4, 7, 9)",44
10820,4949,"(4, 7, 9)",55
10820,5004,"(4, 8, 9)",11
10820,5004,"(4, 8, 9)",22
10820,5004,"(4, 8, 9)",33
10820,5004,"(4, 8, 9)",44
10820,5004,"(4, 8, 9)",55
10820,4943,"(5, 6, 7)",11
10820,4943,"(5, 6, 7)",22
10820,4943,"(5, 6, 7)",33
10820,4943,"(5, 6, 7)",44
10820,4943,"(5, 6, 7)",55
10820,4991,"(5, 6, 8)",11
10820,4991,"(5, 6, 8)",22
10820,4991,"(5, 6, 8)",33
10820,4991,"(5, 6, 8)",44
10820,4991,"(5, 6, 8)",55
10820,4907,"(5, 6, 9)",11
10820,4907,"(5, 6, 9)",22
10820,4907,"(5, 6, 9)",33
10820,4907,"(5, 6, 9)",44
10820,4907,"(5, 6, 9)",55
10820,4982,"(5, 7, 8)",11
10820,4982,"(5, 7, 8)",22
10820,4982,"(5, 7, 8)",33
10820,4982,"(5, 7, 8)",44
10820,4982,"(5, 7, 8)",55
10820,4911,"(5, 7, 9)",11
10820,4911,"(5, 7, 9)",22
10820,4911,"(5, 7, 9)",33
10820,4911,"(5, 7, 9)",44
10820,4911,"(5, 7, 9)",55
10820,4982,"(5, 8, 9)",11
10820,4982,"(5, 8, 9)",22
10820,4982,"(5, 8, 9)",33
10820,4982,"(5, 8, 9)",44
10820,4982,"(5, 8, 9)",55
10868,4991,"(6, 7, 8)",11
10868,4991,"(6, 7, 8)",22
10868,4991,"(6, 7, 8)",33
10868,4991,"(6, 7, 8)",44
10868,4991,"(6, 7, 8)",55
10868,4940,"(6, 7, 9)",11
10868,4940,"(6, 7, 9)",22
10868,4940,"(6, 7, 9)",33
10868,4940,"(6, 7, 9)",44
10868,4940,"(6, 7, 9)",55
10868,4991,"(6, 8, 9)",11
10868,4991,"(6, 8, 9)",22
10868,4991,"(6, 8, 9)",33
10868,4991,"(6, 8, 9)",44
10868,4991,"(6, 8, 9)",55
10868,4978,"(7, 8, 9)",11
10868,4978,"(7, 8, 9)",22
10868,4978,"(7, 8, 9)",33
10868,4978,"(7, 8, 9)",44
10868,4978,"(7, 8, 9)",55
