ordering,err_mHa,captured,s1_amp,s1_amp_ss,s1_amp_os,s1_ampJ,s1_ampJ_ss,s1_ampJ_os,s2,s2_ss,s2_os,s2_soft_ss,retained_J,retained_J_samespin,retained_J_oppspin
rand016,231.19780067005635,0.625435093665625,0.24952400458506396,0.21043669126078615,0.2886113179093418,0.20209501429595778,0.1360518703123683,0.26813815827954723,0.6488105544131612,0.29762110882632226,1.0,0.21228780961254776,0.16081896377947089,0.28521551895513725,0.03642240860380452
rand017,310.2158350971731,0.5125647416414865,0.2646532329334597,0.24069514795145305,0.2886113179154664,0.2085565850836471,0.16706868768629618,0.25004448248099803,0.6106476050781742,0.22129521015634834,1.0,0.2512722130203757,0.1797034201460392,0.32488328979814957,0.03452355049392883
rand018,368.62632040340947,0.4630469626272693,0.24040203434199164,0.17982300889799516,0.3009810597859881,0.18586592157811968,0.15235892438811646,0.2193729187681229,0.6745562073762432,0.34911241475248644,1.0,0.3070149037181873,0.1831565799701871,0.3344827550387118,0.03183040490166243
rand019,223.32164939343002,0.6312146729315644,0.22794637884950636,0.15216231851528209,0.30373043918373066,0.27464764931098123,0.09352667129675626,0.4557686273252062,0.6027660036586685,0.28172343018443563,0.9238085771329013,0.19030135257834066,0.1833247819800906,0.27052983738851066,0.09611972657167055
rand020,282.53129319782386,0.5684291038229096,0.23866909181563656,0.1719054822757424,0.3054327013555307,0.22892588684982393,0.1664974162356765,0.29135435746397137,0.5563362454361303,0.1860826787464179,0.9265898121258427,0.18650119176062008,0.2079389983822861,0.347758335160758,0.06811966160381425
rand021,253.82250945855577,0.5730664539202792,0.24385011925748556,0.19917761609440235,0.28852262242056875,0.15684657861202442,0.2462351618783924,0.06745799534565645,0.6581269412379492,0.31625388247589853,1.0,0.2522133125118108,0.17089105509169145,0.33715748276718605,0.004624627416196836
rand022,219.99422376478608,0.6287325005144542,0.2507886797896786,0.1978469203881498,0.3037304391912074,0.33147614057469316,0.18900802774016756,0.47394425340921875,0.649647213385152,0.2992944267703039,1.0,0.19749397383413245,0.22650139002188643,0.35498419536222664,0.09801858468154624
rand023,278.53585589537477,0.553005561582188,0.2326791571009517,0.16171657051685212,0.30364174368505126,0.30487902449968357,0.15415106364491024,0.4556069853544569,0.5577030990341492,0.11540619806829838,1.0,0.17215688119997913,0.21567078735028275,0.335221848128895,0.09611972657167056
rand024,270.9723757653517,0.5593760285580663,0.23444095079517085,0.1529088139128634,0.31597308767747834,0.15796529105451923,0.10878908259165423,0.20714149951738425,0.6506389306172062,0.3012778612344125,1.0,0.19145352683960415,0.15752688132737133,0.28401764523547096,0.031036117419271713
rand025,217.74903345125907,0.6329481610645167,0.22611322798770012,0.16149721171779904,0.29072924425760116,0.12505292040550736,0.16438263973996833,0.08572320107104639,0.6007213053032335,0.20144261060646698,1.0,0.1723206557756954,0.17317232833721377,0.33982117114835503,0.006523485526072514
rand026,214.71815322486876,0.6692422400428353,0.2656133881743765,0.21291997344721297,0.31830680290154,0.3305267879631274,0.16902677611710554,0.49202679980914926,0.6626671785865831,0.3253343571731661,1.0,0.25659105921221054,0.23441934722168747,0.3391228567618189,0.12971583768155603
